category,SHEF_A,SHEF_A_CODE
1 signal light out,Street Lights,A81
2 signal lights out,Street Lights,A81
Abandoned and Untaxed Vehicles,Abandoned Vehicles,A1
Abandoned car,Abandoned Vehicles,A1
Abandoned vehicle,Abandoned Vehicles,A1
Abandoned vehicles,Abandoned Vehicles,A1
Access to a Countryside Pathway,Countryside RoW,A14
Accumulated Litter,Accumulated Litter,A2
Admin,Admin,A3
All signal lights out,Street Lights,A81
Allotment issue,Open Spaces/Parks,A53
Bad Parking,Parking,A56
Barrier/Bollard on a public right of way,Barriers/Bollards on RoW,A4
Belisha Beacon broken,Pavement /Footway Defects,A57
Bench/cycle rack/litter bin/planter,Benches/Bicycle Racks,A5
Benches / bicycle racks,Benches/Bicycle Racks,A5
Bin Repair,Bin Repair/Replacement,A7
Blocked  Drains,Blocked Drains,A8
Blocked drain,Blocked Drains,A8
Blocked drain / Flooding,Blocked Drains,A8
Blocked drainage gullies,Blocked Drains,A8
Blocked drains,Blocked Drains,A8
Blocked drains and gullies,Blocked Drains,A8
Blocked or damaged drain,Blocked Drains,A8
Bollard light not working,Street Signs,A83
Bollards,Barriers/Bollards on RoW,A4
Bollards (lit),Street Signs,A83
Bollards (unlit),Street Signs,A83
Bollards on a road or footway,Barriers/Bollards on RoW,A4
Bollards or railings,Street Signs,A83
Bridge,Bridge/Culvert Defects,A9
Bridge or culvert defect,Bridge/Culvert Defects,A9
"Bridge, Subway or Culvert in an open spa",Bridge/Culvert Defects,A9
"Bridge, Subway or Culvert in an open space",Bridge/Culvert Defects,A9
"Bridge, Subway or Culvert on a public ri",Bridge/Culvert Defects,A9
"Bridge, Subway or Culvert on a public right of way",Bridge/Culvert Defects,A9
"Bridge, Subway or Culvert on a road or f",Bridge/Culvert Defects,A9
"Bridge, Subway Or Culvert on a road or footway",Bridge/Culvert Defects,A9
Bridges,Bridge/Culvert Defects,A9
Bridges/Subways,Bridge/Culvert Defects,A9
Broken Fire Hydrant Covers,Broken Fire Hydrant,A10
Broken Flags/Kerbs,Broken Kerbs,A11
Broken manhole cover,Manhole Defects,A49
Bus shelters,Bus Stops Damage,A12
Bus stop damage,Bus Stops Damage,A12
Bus stop/shelter issue,Bus Stops Damage,A12
Bus stops,Bus Stops Damage,A12
C.C.T.V Faults,C.C.T.V Faults,A13
Car Park Barrier / Equipment,Parking,A56
Car parking,Parking,A56
Car parking issues,Parking,A56
Car parks,Parking,A56
Car parks (council run),Parking,A56
Car parks (only council run ones),Parking,A56
Car Parks and ticket machines,Parking,A56
Carparks,Parking,A56
Carriageway defect,Road Surface Defects,A69
Council car parks,Parking,A56
Countryside Paths / Public Rights of Way,Countryside RoW,A14
Countryside Paths / Public Rights of Way (usually not tarmac),Pavement /Footway Defects,A57
Crash Barriers,Street Signs,A83
Crossing not working,Street Signs,A83
Damage Public Litter Bin,Bin Repair/Replacement,A7
"Damage to bins, benches, and infrastructure",Bin Repair/Replacement,A7
Damage to pavement,Pavement /Footway Defects,A57
Damage to road,Road Surface Defects,A69
Damaged bollard or post,Barriers/Bollards on RoW,A4
"Damaged dyke, ditch or culvert",Bridge/Culvert Defects,A9
Damaged equipment,Open Spaces/Parks,A53
"Damaged Railing, manhole, or drain cover",Road Surface Defects,A69
"Damaged road edge, encroaches less than 100mm",Road Surface Defects,A69
"Damaged road edge, encroaches more than 100mm",Road Surface Defects,A69
Damaged road sign,Road Surface Defects,A69
Damaged street nameplate,Street Name Plates,A82
Damaged/missing boundary markers,Road Surface Defects,A69
Damaged/missing cats eye,Road Surface Defects,A69
Damaged/missing paving slab,Road Surface Defects,A69
Dangerous Building,Dangerous Building/Structure,A15
Dangerous structure,Dangerous Building/Structure,A15
Dead animal,Dead Animals,A16
Dead animals,Dead Animals,A16
Debris & spillage,Debris/Spillage,A17
Debris / Obstructions,Debris/Spillage,A17
Debris/Spillage,Debris/Spillage,A17
Defective road markings or signs,Road Markings,A67
Demo,Demo,A18
Discarded Syringes,Discarded Syringes,A19
Ditch issue,Bridge/Culvert Defects,A9
Dog and litter bins,Dog Litter Bin,A21
Dog Bin,Dog Litter Bin,A21
Dog Bin overflow,Dog Litter Bin,A21
Dog bin overflowing,Dog Litter Bin,A21
Dog fouling,Dog Fouling,A20
Dog Mess,Dog Fouling,A20
Dog Waste Bin,Dog Litter Bin,A21
Dog Waste Bin on a verge or open space,Dog Litter Bin,A21
Dogs and Dogs Fouling,Dog Fouling,A20
Drain or Gully,Blocked Drains,A8
Drainage,Blocked Drains,A8
Drainage or Flooding on a public right o,Blocked Drains,A8
Drainage Or Flooding on a public right of way,Blocked Drains,A8
Drains,Blocked Drains,A8
Dumped cylinder,Dumped Rubbish,A22
Dumped rubbish,Dumped Rubbish,A22
Dying or diseased tree,Fallen/Dangerous Trees,A24
Enforcement,Parking,A56
Environmental health,Environmental Health,A23
Excessive or dangerous littering,Accumulated Litter,A2
Exposed cables/wires,Environmental Health,A23
Faded road markings,Road Markings,A67
Fallen tree across road or pavement,Fallen/Dangerous Trees,A24
Fault with temporary traffic signals,Street Signs,A83
Faulty street light,Street Lights,A81
Faulty street sign,Street Signs,A83
Fences,Fences,A25
Fences & barriers,Fences,A25
Fire hydrants,Broken Fire Hydrant,A10
Flooded subway,Blocked Drains,A8
Flooding,Flooding,A26
Flooding of a road or pavement,Blocked Drains,A8
Flooding on a road or footway,Flooding,A26
Flooding or standing water on road,Flooding,A26
Floral displays,Floral displays,A27
Fly Posting,Flyposting,A28
Fly tipping,Fly-tipping,A29
Fly Tipping on a public right of way,Fly-tipping,A29
"Fly Tipping on a road, footway, verge or",Fly-tipping,A29
"Fly Tipping on a road, footway, verge or open space",Fly-tipping,A29
Flyposting,Flyposting,A28
Fly-Posting,Flyposting,A28
Flyposting (not by roadside),Flyposting,A28
Flyposting (on road or roadside),Flyposting,A28
Flytipping,Fly-tipping,A29
Fly-Tipping,Fly-tipping,A29
Flytipping and dumped rubbish,Fly-tipping,A29
Footpath / pavement problem,Pavement /Footway Defects,A57
Footpaths & rights of way,Right of Way,A66
Footpaths/ Rights of way (usually not ta,Right of Way,A66
Footpaths/ Rights of way (usually not tarmac),Right of Way,A66
Footway Defect,Pavement /Footway Defects,A57
Footway Defect on a road or footway,Pavement /Footway Defects,A57
Footway or Footpath,Right of Way,A66
Garden Waste,Garden Waste,A30
Gates/Stiles on a public right of way,Gates/Stiles RoW,A31
General Highways Enquiry,General Highways Enquiries,A32
Graffiti,Graffiti,A33
Graffiti (Offensive),Graffiti,A33
Graffiti and flyposting,Graffiti,A33
Graffiti on bridges/subways,Graffiti,A33
Graffiti on council buildings,Graffiti,A33
Graffiti on Council Property,Graffiti,A33
Grafitti,Graffiti,A33
Grass and Hedges,Grass/Weed Control,A34
Grass Cutting,Grass/Weed Control,A34
Grass Cutting on a public right of way,Grass/Weed Control,A34
Grass Cutting on a verge or open space,Grass/Weed Control,A34
Grass needs cutting,Grass/Weed Control,A34
Grass verges,Grass/Weed Control,A34
Grass/Weeds,Grass/Weed Control,A34
Grids and Drains,Grids and Drains,A35
Grit bin issue,Grit Bins,A36
Grit bin refills,Grit Bins,A36
Grit Bins,Grit Bins,A36
Gritting,Gritting,A37
Grounds Maintenance,Grounds Maintenance,A38
Gullies,Gullies,A39
Gully,Gullies,A39
Gully and Catchpits,Gullies,A39
Gully or Manhole,Manhole Covers,A48
Gully or manhole defect,Gully/Manhole Defects,A40
Gully/Drainage,Gullies,A39
Hazardous or fallen trees,Fallen/Dangerous Trees,A24
Hazardous spillage on road,Spillage on Road,A78
Hedge problem,Fallen/Dangerous Trees,A24
Hedges / trees on rights of way,Trees and Hedges RoW,A87
Hedges / Trees on road or verge,Trees and Hedges RoW,A87
Highway Condition,Highway Condition,A41
Highway Condition (Assets),Highway Condition,A41
Highway Condition Enquiry,Highway Condition,A41
Highway Drainage or Flooding,Highway Drainage,A42
Highway Improvements on a road or footwa,Highway Condition,A41
Highway Improvements on a road or footway,Highway Condition,A41
Highway Schemes,General Highways Enquiries,A32
Highways,General Highways Enquiries,A32
Highways Drainage,Highway Drainage,A42
Highways Drainage on a road or footway,Highway Drainage,A42
Highways Maintenance,Highway Condition,A41
Household bins left out,Accumulated Litter,A2
Ice,Ice & Snow,A43
Ice & snow,Ice & Snow,A43
Ice/Snow,Ice & Snow,A43
Illegal advertising,Flyposting,A28
Illegal parking,Parking,A56
Illegally parked vehicle,Parking,A56
Illuminated Sign,Street Lights,A81
Iluminated Bollard,Street Lights,A81
Inspection Covers,Manhole Covers,A48
Japanese knotweed / ragwort,Grass/Weed Control,A34
Kerb damage / issue,Broken Kerbs,A11
Kerbs,Broken Kerbs,A11
Leafing,Leafing,A44
Leaves,Leafing,A44
Lewisham Homes,Lewisham Homes,A45
Light on during the day,Street Lights,A81
Lines and Markings (Council Car Park),Road Markings,A67
Lit Bollards (Electrical),Barriers/Bollards on RoW,A4
Lit signs & bollards,Barriers/Bollards on RoW,A4
Lit Signs (Electrical),Lit Signs,A46
Litter,Litter/Litter Bin,A47
Litter bin,Litter/Litter Bin,A47
Litter bin damaged,Litter/Litter Bin,A47
Litter bin full,Litter/Litter Bin,A47
Litter Bin on a verge or open space,Litter/Litter Bin,A47
Litter Bin overflow,Litter/Litter Bin,A47
Litter Bin overflow in Parks & Open spaces,Litter/Litter Bin,A47
Litter Bin Overflowing,Litter/Litter Bin,A47
Litter in Parks & Open spaces,Litter/Litter Bin,A47
Litter in the street,Litter/Litter Bin,A47
Loose chippings,Pavement /Footway Defects,A57
Loose/missing/chipped kerbstone,Broken Kerbs,A11
Manhole,Manhole Covers,A48
Manhole / Drain cover,Manhole Covers,A48
Manhole Cover,Manhole Covers,A48
Manhole covers,Manhole Covers,A48
Manhole/drain cover on pavement/verge,Manhole Covers,A48
Manhole/drain cover on road/cycleway,Manhole Covers,A48
Manholes,Gully/Manhole Defects,A40
Miscellaneous,Other,A54
Missed bin collection,Missed Bin Collection,A50
Missed Collection,Missed Bin Collection,A50
Missed Collection (Green Waste),Missed Bin Collection,A50
Missed Food Waste Collection,Missed Bin Collection,A50
Missed Grass Cutting,Grass/Weed Control,A34
Missing Gully/Manhole,Manhole Covers,A48
Missing safety fence,Pavement /Footway Defects,A57
Missing/Broken Sign on a public right of,Street Signs,A83
Missing/Broken Sign on a public right of way,Street Signs,A83
Motorways Defects,Highway Condition,A41
Mud / Slippery surface,Road Surface Defects,A69
Mud and Debris,Debris/Spillage,A17
Mud or Debris on the road,Debris/Spillage,A17
Multiple potholes (various sizes),Potholes,A60
Needles,Environmental Health,A23
Noise nuisance,Noise,A51
