category,SHEF_C,SHEF_C_CODE
2 signal lights out,Road Safety & Defects,C7
Abandoned and Untaxed Vehicles,Abandoned Vehicles & Parking,C8
Abandoned car,Abandoned Vehicles & Parking,C8
Abandoned vehicle,Abandoned Vehicles & Parking,C8
Abandoned vehicles,Abandoned Vehicles & Parking,C8
Access to a Countryside Pathway,Access,C1
Accumulated Litter,Environmental Health,C3
Admin,Other,C5
All signal lights out,Road Safety & Defects,C7
Allotment issue,Public Space,C6
Bad Parking,Abandoned Vehicles & Parking,C8
Barrier/Bollard on a public right of way,Access,C1
Belisha Beacon broken,Access,C1
Bench/cycle rack/litter bin/planter,Environmental Disruptions,C2
Benches / bicycle racks,Environmental Disruptions,C2
Bin Repair,Environmental Health,C3
Blocked  Drains,Environmental Health,C3
Blocked drain,Environmental Health,C3
Blocked drain / Flooding,Environmental Health,C3
Blocked drainage gullies,Environmental Health,C3
Blocked drains,Environmental Health,C3
Blocked drains and gullies,Environmental Health,C3
Blocked or damaged drain,Environmental Health,C3
Bollard light not working,Road Safety & Defects,C7
Bollards,Access,C1
Bollards (lit),Road Safety & Defects,C7
Bollards (unlit),Road Safety & Defects,C7
Bollards on a road or footway,Access,C1
Bollards or railings,Road Safety & Defects,C7
Bridge,Environmental Disruptions,C2
Bridge or culvert defect,Environmental Disruptions,C2
"Bridge, Subway or Culvert in an open spa",Environmental Disruptions,C2
"Bridge, Subway or Culvert in an open space",Environmental Disruptions,C2
"Bridge, Subway or Culvert on a public ri",Environmental Disruptions,C2
"Bridge, Subway or Culvert on a public right of way",Environmental Disruptions,C2
"Bridge, Subway or Culvert on a road or f",Environmental Disruptions,C2
"Bridge, Subway Or Culvert on a road or footway",Environmental Disruptions,C2
Bridges,Environmental Disruptions,C2
Bridges/Subways,Environmental Disruptions,C2
Broken Fire Hydrant Covers,Environmental Disruptions,C2
Broken Flags/Kerbs,Environmental Disruptions,C2
Broken manhole cover,Environmental Health,C3
Bus shelters,Environmental Disruptions,C2
Bus stop damage,Environmental Disruptions,C2
Bus stop/shelter issue,Environmental Disruptions,C2
Bus stops,Environmental Disruptions,C2
C.C.T.V Faults,Environmental Disruptions,C2
Car Park Barrier / Equipment,Abandoned Vehicles & Parking,C8
Car parking,Abandoned Vehicles & Parking,C8
Car parking issues,Abandoned Vehicles & Parking,C8
Car parks,Abandoned Vehicles & Parking,C8
Car parks (council run),Abandoned Vehicles & Parking,C8
Car parks (only council run ones),Abandoned Vehicles & Parking,C8
Car Parks and ticket machines,Abandoned Vehicles & Parking,C8
Carparks,Abandoned Vehicles & Parking,C8
Carriageway defect,Road Safety & Defects,C7
Council car parks,Abandoned Vehicles & Parking,C8
Countryside Paths / Public Rights of Way,Access,C1
Countryside Paths / Public Rights of Way (usually not tarmac),Access,C1
Crash Barriers,Road Safety & Defects,C7
Crossing not working,Road Safety & Defects,C7
Damage Public Litter Bin,Environmental Health,C3
"Damage to bins, benches, and infrastructure",Environmental Health,C3
Damage to pavement,Road Safety & Defects,C7
Damage to road,Road Safety & Defects,C7
Damaged bollard or post,Road Safety & Defects,C7
"Damaged dyke, ditch or culvert",Environmental Disruptions,C2
Damaged equipment,Public Space,C6
"Damaged Railing, manhole, or drain cover",Road Safety & Defects,C7
"Damaged road edge, encroaches less than 100mm",Road Safety & Defects,C7
