SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3236.0,4902.0,5055.0,5311.0,5042.0,4628.0,4496.0,4132.0,4239.0,3404.0
Accumulated Litter,53.0,184.0,239.0,280.0,260.0,421.0,447.0,325.0,322.0,187.0
Admin,36.0,265.0,268.0,200.0,251.0,175.0,102.0,69.0,14.0,
Barriers/Bollards on RoW,15.0,38.0,27.0,49.0,28.0,61.0,31.0,27.0,30.0,51.0
Benches/Bicycle Racks,3.0,4.0,1.0,6.0,5.0,22.0,32.0,5.0,4.0,7.0
Bin Collection,7.0,63.0,109.0,91.0,70.0,63.0,70.0,47.0,43.0,48.0
Bin Repair/Replacement,38.0,105.0,166.0,137.0,91.0,66.0,62.0,28.0,13.0,17.0
Blocked Drains,475.0,752.0,889.0,1467.0,1359.0,1708.0,2122.0,2320.0,2642.0,2365.0
Bridge/Culvert Defects,38.0,58.0,91.0,160.0,135.0,175.0,182.0,215.0,175.0,121.0
Broken Fire Hydrant,,1.0,,,,,1.0,,,
Broken Kerbs,20.0,53.0,49.0,86.0,43.0,92.0,81.0,131.0,137.0,211.0
Bus Stops Damage,521.0,652.0,599.0,731.0,535.0,533.0,545.0,519.0,462.0,558.0
C.C.T.V Faults,3.0,,,,,,,,,
Countryside RoW,,,3.0,,3.0,11.0,9.0,2.0,5.0,1.0
Dangerous Building/Structure,8.0,77.0,90.0,94.0,68.0,76.0,63.0,46.0,44.0,22.0
Dead Animals,24.0,116.0,125.0,227.0,274.0,159.0,171.0,121.0,106.0,66.0
Debris/Spillage,34.0,64.0,90.0,139.0,190.0,156.0,174.0,189.0,161.0,133.0
Demo,1.0,13.0,9.0,4.0,3.0,12.0,,1.0,,
Discarded Syringes,,2.0,,3.0,,1.0,1.0,,,
Dog Fouling,2666.0,2875.0,2601.0,3051.0,3066.0,2661.0,2576.0,2626.0,2179.0,1973.0
Dog Litter Bin,8.0,6.0,12.0,31.0,27.0,19.0,32.0,36.0,22.0,33.0
Dumped Rubbish,152.0,1556.0,1517.0,2043.0,1727.0,1376.0,1217.0,1128.0,1073.0,450.0
Environmental Health,3.0,5.0,7.0,19.0,9.0,6.0,1.0,3.0,2.0,
Fallen/Dangerous Trees,1725.0,2388.0,2779.0,3030.0,3261.0,3461.0,3801.0,3822.0,4040.0,4066.0
