SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2861.0,4375.0,4528.0,4949.0,4118.0,3920.0,3777.0,3560.0,3499.0,2774.0
Accumulated Litter,52.0,185.0,248.0,273.0,272.0,519.0,374.0,318.0,294.0,183.0
Admin,36.0,265.0,290.0,261.0,193.0,153.0,109.0,73.0,,
Barriers/Bollards on RoW,15.0,35.0,20.0,38.0,24.0,57.0,16.0,21.0,32.0,47.0
Benches/Bicycle Racks,3.0,3.0,1.0,6.0,6.0,20.0,30.0,4.0,4.0,7.0
Bin Collection,5.0,55.0,93.0,86.0,51.0,64.0,52.0,53.0,27.0,43.0
Bin Repair/Replacement,21.0,100.0,140.0,136.0,36.0,54.0,24.0,20.0,9.0,16.0
Blocked Drains,312.0,578.0,617.0,883.0,908.0,1310.0,1772.0,1855.0,2345.0,2122.0
Bridge/Culvert Defects,16.0,31.0,41.0,94.0,65.0,85.0,113.0,109.0,100.0,98.0
Broken Fire Hydrant,,1.0,,,,,1.0,,,
Broken Kerbs,5.0,10.0,13.0,22.0,20.0,41.0,41.0,85.0,60.0,116.0
Bus Stops Damage,438.0,574.0,553.0,671.0,451.0,436.0,446.0,417.0,393.0,464.0
C.C.T.V Faults,3.0,,,,,,,,,
Countryside RoW,,,3.0,,3.0,11.0,8.0,2.0,4.0,1.0
Dangerous Building/Structure,8.0,65.0,84.0,90.0,52.0,74.0,50.0,40.0,35.0,19.0
Dead Animals,7.0,84.0,58.0,123.0,113.0,109.0,86.0,83.0,101.0,54.0
Debris/Spillage,26.0,53.0,57.0,82.0,120.0,125.0,136.0,148.0,179.0,97.0
Demo,1.0,13.0,10.0,3.0,3.0,12.0,1.0,,,
Discarded Syringes,,2.0,,3.0,,1.0,1.0,,,
Dog Fouling,1892.0,2174.0,1975.0,2340.0,2244.0,1855.0,1835.0,1803.0,1626.0,1316.0
Dog Litter Bin,1.0,,6.0,5.0,10.0,12.0,7.0,27.0,20.0,33.0
Dumped Rubbish,142.0,1500.0,1457.0,2181.0,1522.0,1198.0,1173.0,1116.0,989.0,353.0
Environmental Health,2.0,5.0,8.0,13.0,9.0,5.0,,3.0,2.0,
Fallen/Dangerous Trees,1400.0,2080.0,2332.0,2529.0,2575.0,2904.0,3087.0,3243.0,3260.0,3388.0
Fences,3.0,15.0,18.0,20.0,16.0,34.0,18.0,19.0,24.0,15.0
Flooding,51.0,69.0,95.0,158.0,128.0,251.0,204.0,222.0,196.0,138.0
Floral displays,,3.0,2.0,10.0,5.0,3.0,1.0,7.0,14.0,4.0
Fly-tipping,28840.0,34962.0,35301.0,33558.0,25912.0,23654.0,16235.0,13750.0,10810.0,7296.0
Flyposting,504.0,670.0,588.0,575.0,532.0,574.0,542.0,485.0,526.0,486.0
Garden Waste,41.0,419.0,655.0,676.0,550.0,544.0,228.0,217.0,2.0,
Gates/Stiles RoW,,,1.0,2.0,,2.0,20.0,17.0,26.0,8.0
General Highways Enquiries,39.0,132.0,278.0,283.0,310.0,324.0,544.0,423.0,518.0,183.0
Graffiti,1898.0,3675.0,3847.0,4551.0,3293.0,2816.0,2886.0,2690.0,2412.0,1898.0
Grass/Weed Control,55.0,171.0,142.0,271.0,405.0,520.0,886.0,842.0,1135.0,1394.0
Grids and Drains,33.0,29.0,12.0,6.0,28.0,25.0,3.0,23.0,32.0,1.0
Grit Bins,1.0,3.0,4.0,7.0,4.0,8.0,8.0,7.0,6.0,7.0
Gritting,10.0,8.0,7.0,12.0,18.0,7.0,16.0,4.0,5.0,2.0
Grounds Maintenance,,,,1.0,1.0,5.0,3.0,7.0,5.0,10.0
Gullies,60.0,92.0,83.0,84.0,60.0,100.0,149.0,127.0,198.0,179.0
Gully/Manhole Defects,27.0,58.0,45.0,71.0,61.0,147.0,138.0,139.0,149.0,70.0
Highway Condition,7803.0,9297.0,9900.0,10723.0,12139.0,13484.0,14208.0,13300.0,13202.0,13107.0
Highway Drainage,,2.0,2.0,2.0,13.0,15.0,56.0,21.0,47.0,53.0
Ice & Snow,1.0,7.0,4.0,6.0,7.0,12.0,11.0,13.0,12.0,14.0
Leafing,2.0,26.0,44.0,65.0,73.0,72.0,69.0,83.0,60.0,46.0
Lewisham Homes,19.0,211.0,242.0,164.0,41.0,25.0,34.0,5.0,,
Lit Signs,,,,,,,,,1.0,
Litter/Litter Bin,80.0,325.0,298.0,391.0,336.0,838.0,534.0,587.0,531.0,549.0
Manhole Covers,43.0,92.0,149.0,174.0,186.0,232.0,422.0,357.0,412.0,350.0
Manhole Defects,2.0,7.0,8.0,22.0,17.0,34.0,14.0,10.0,14.0,5.0
Missed Bin Collection,47.0,464.0,662.0,588.0,244.0,250.0,140.0,50.0,1.0,
Noise,10.0,12.0,22.0,23.0,12.0,6.0,10.0,5.0,2.0,1.0
Obstruction,135.0,267.0,354.0,658.0,347.0,401.0,454.0,480.0,477.0,301.0
Open Spaces/Parks,2039.0,2974.0,2856.0,2750.0,2130.0,2005.0,2118.0,2075.0,2115.0,1929.0
Other,7678.0,7542.0,7336.0,7662.0,7896.0,8198.0,8394.0,7514.0,7415.0,6947.0
Overgrown Vegetation,190.0,404.0,540.0,737.0,820.0,793.0,1252.0,1393.0,1712.0,1350.0
Parking,4115.0,5060.0,4899.0,5004.0,4745.0,4393.0,4135.0,4462.0,4013.0,3577.0
Pavement /Footway Defects,6555.0,7596.0,7607.0,8801.0,8913.0,9073.0,9989.0,10140.0,11020.0,11895.0
Pest Control,2.0,8.0,5.0,2.0,1.0,,,9.0,2.0,1.0
Phoenix HA,15.0,32.0,34.0,1.0,,,,,,
Potholes,12217.0,13431.0,15960.0,20432.0,27003.0,31648.0,36629.0,36423.0,36622.0,35186.0
Property Damage,6.0,3.0,8.0,4.0,20.0,13.0,21.0,17.0,23.0,20.0
Protected Trees,,,,,1.0,,,,2.0,
Public Toilets,57.0,76.0,77.0,72.0,99.0,87.0,113.0,81.0,78.0,64.0
Recycling,100.0,126.0,139.0,73.0,61.0,78.0,140.0,65.0,17.0,9.0
Retaining Wall,7.0,7.0,10.0,5.0,1.0,3.0,8.0,2.0,11.0,3.0
Right of Way,103.0,149.0,453.0,676.0,964.0,903.0,811.0,664.0,453.0,288.0
Road Markings,59.0,138.0,167.0,314.0,275.0,513.0,402.0,560.0,491.0,497.0
Road Safety,2.0,3.0,7.0,10.0,7.0,15.0,13.0,14.0,10.0,8.0
Road Surface Defects,238.0,701.0,830.0,1339.0,1517.0,1450.0,2551.0,3182.0,4200.0,3396.0
Road Works,9.0,25.0,40.0,58.0,72.0,97.0,150.0,184.0,152.0,90.0
Road/Pavement Defects,98.0,1045.0,1532.0,1699.0,1124.0,1092.0,1061.0,903.0,836.0,332.0
Rubbish,6779.0,6930.0,6467.0,5941.0,4353.0,4139.0,3402.0,3711.0,2876.0,2505.0
Salt Bins,,,,,,2.0,7.0,4.0,5.0,6.0
Shopping Trolley,83.0,188.0,251.0,183.0,85.0,51.0,12.0,12.0,,
Sign or Marking,,,,,,1.0,3.0,3.0,6.0,3.0
Skips,1.0,15.0,11.0,12.0,10.0,11.0,13.0,6.0,9.0,6.0
Spillage on Road,2.0,14.0,13.0,55.0,32.0,29.0,35.0,56.0,51.0,43.0
Street Cleaning,4956.0,6241.0,5888.0,6643.0,6005.0,5426.0,5167.0,5445.0,4994.0,3381.0
Street Furniture,37.0,142.0,160.0,159.0,118.0,112.0,130.0,115.0,97.0,48.0
Street Lights,8468.0,9295.0,9589.0,10045.0,10990.0,10802.0,12208.0,13039.0,13892.0,15192.0
Street Name Plates,421.0,474.0,485.0,570.0,558.0,579.0,711.0,738.0,751.0,788.0
Street Signs,1599.0,2180.0,2471.0,3069.0,3300.0,3804.0,4301.0,4153.0,4048.0,3924.0
To Let Signs,1.0,,1.0,2.0,14.0,3.0,2.0,,,
Trade Waste,7.0,45.0,60.0,53.0,21.0,49.0,17.0,6.0,,
Traffic Lights,1549.0,1609.0,1575.0,1709.0,1572.0,1479.0,1576.0,1480.0,1513.0,1397.0
Trees and Hedges RoW,14.0,30.0,66.0,68.0,101.0,155.0,213.0,190.0,197.0,138.0
Trees on RoW,1.0,16.0,27.0,55.0,58.0,104.0,65.0,62.0,86.0,136.0
Trip Hazard,41.0,60.0,53.0,85.0,54.0,86.0,107.0,67.0,86.0,35.0
Untaxed Vehcile,,13.0,28.0,23.0,10.0,12.0,10.0,6.0,6.0,2.0
Utility Works,10.0,45.0,45.0,56.0,44.0,80.0,84.0,71.0,98.0,81.0
Vehicle Access,1.0,,2.0,,1.0,8.0,5.0,2.0,3.0,1.0
Zebra Crossing,,3.0,2.0,1.0,,1.0,,,,
