SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2715.0,3340.0,3766.0,3840.0,4358.0,4049.0,3863.0,3602.0,3371.0,3241.0
Accumulated Litter,128.0,61.0,65.0,119.0,297.0,348.0,399.0,313.0,509.0,479.0
Admin,,32.0,72.0,150.0,223.0,283.0,208.0,185.0,115.0,112.0
Barriers/Bollards on RoW,24.0,19.0,18.0,30.0,30.0,26.0,32.0,39.0,64.0,23.0
Benches/Bicycle Racks,7.0,12.0,5.0,11.0,7.0,3.0,5.0,1.0,26.0,7.0
Bin Collection,3.0,4.0,34.0,55.0,76.0,72.0,83.0,56.0,89.0,57.0
Bin Repair/Replacement,8.0,18.0,40.0,82.0,112.0,116.0,79.0,50.0,31.0,20.0
Blocked Drains,439.0,620.0,710.0,886.0,1132.0,1227.0,1919.0,1835.0,1860.0,2052.0
Bridge/Culvert Defects,37.0,93.0,47.0,60.0,77.0,80.0,94.0,88.0,100.0,76.0
Broken Fire Hydrant,,,1.0,,,,,,,1.0
Broken Kerbs,13.0,28.0,19.0,37.0,33.0,23.0,36.0,46.0,77.0,101.0
Bus Stops Damage,383.0,418.0,410.0,515.0,415.0,384.0,429.0,344.0,368.0,377.0
C.C.T.V Faults,3.0,,,,,,,,,
Countryside RoW,1.0,1.0,5.0,7.0,13.0,2.0,,3.0,,
Dangerous Building/Structure,,4.0,19.0,48.0,71.0,69.0,81.0,65.0,77.0,83.0
Dead Animals,13.0,40.0,51.0,72.0,116.0,65.0,118.0,118.0,116.0,109.0
Debris/Spillage,58.0,87.0,91.0,74.0,116.0,103.0,109.0,174.0,117.0,94.0
Demo,,2.0,4.0,4.0,7.0,6.0,7.0,3.0,9.0,1.0
Discarded Syringes,,2.0,2.0,1.0,1.0,1.0,,,,
Dog Fouling,1521.0,1630.0,1728.0,1759.0,1746.0,1426.0,1578.0,1320.0,1487.0,1050.0
Dog Litter Bin,3.0,4.0,3.0,10.0,11.0,11.0,12.0,17.0,31.0,19.0
Dumped Rubbish,1.0,417.0,428.0,1404.0,1642.0,1035.0,2024.0,1261.0,1840.0,1579.0
Environmental Health,13.0,19.0,4.0,2.0,1.0,,2.0,4.0,2.0,
Fallen/Dangerous Trees,1757.0,2065.0,2059.0,2299.0,2506.0,2545.0,2755.0,2779.0,2810.0,3035.0
Fences,16.0,22.0,36.0,21.0,19.0,14.0,21.0,19.0,11.0,3.0
