SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2519.0,3507.0,3963.0,4311.0,4042.0,3767.0,3562.0,3346.0,3728.0,3400.0
Accumulated Litter,24.0,167.0,235.0,381.0,224.0,454.0,377.0,295.0,297.0,264.0
Admin,33.0,166.0,294.0,256.0,111.0,256.0,108.0,69.0,69.0,18.0
Barriers/Bollards on RoW,8.0,19.0,32.0,45.0,28.0,22.0,37.0,26.0,46.0,42.0
Benches/Bicycle Racks,3.0,1.0,4.0,4.0,9.0,14.0,3.0,10.0,1.0,35.0
Bin Collection,5.0,30.0,68.0,73.0,66.0,57.0,54.0,54.0,54.0,68.0
Bin Repair/Replacement,19.0,49.0,133.0,131.0,73.0,56.0,48.0,15.0,20.0,12.0
Blocked Drains,294.0,489.0,626.0,757.0,906.0,1102.0,1312.0,1961.0,2289.0,2944.0
Bridge/Culvert Defects,17.0,28.0,42.0,52.0,37.0,109.0,74.0,136.0,124.0,133.0
Broken Fire Hydrant,,1.0,,,,,,,,1.0
Broken Kerbs,6.0,13.0,18.0,24.0,20.0,42.0,33.0,67.0,59.0,131.0
Bus Stops Damage,363.0,389.0,460.0,465.0,531.0,337.0,364.0,352.0,376.0,406.0
C.C.T.V Faults,3.0,,,,,,,,,
Countryside RoW,,1.0,,2.0,4.0,3.0,4.0,11.0,5.0,2.0
Dangerous Building/Structure,4.0,43.0,62.0,72.0,76.0,64.0,53.0,47.0,38.0,58.0
Dead Animals,10.0,67.0,61.0,89.0,128.0,76.0,85.0,82.0,103.0,117.0
Debris/Spillage,28.0,52.0,64.0,71.0,86.0,100.0,123.0,151.0,183.0,165.0
Demo,1.0,4.0,8.0,12.0,2.0,12.0,2.0,1.0,,1.0
Discarded Syringes,,2.0,1.0,2.0,1.0,,1.0,,,
Dog Fouling,1515.0,1666.0,1769.0,1766.0,1677.0,1820.0,1484.0,1304.0,1238.0,1006.0
Dog Litter Bin,1.0,4.0,9.0,3.0,10.0,10.0,18.0,11.0,26.0,29.0
Dumped Rubbish,104.0,1314.0,933.0,1517.0,2190.0,1297.0,1233.0,923.0,1305.0,815.0
Environmental Health,2.0,5.0,6.0,9.0,13.0,4.0,,3.0,4.0,1.0
Fallen/Dangerous Trees,1337.0,1747.0,2152.0,2215.0,2362.0,2484.0,2555.0,3006.0,3257.0,3495.0
Fences,4.0,21.0,13.0,28.0,18.0,23.0,13.0,17.0,22.0,23.0
Flooding,56.0,62.0,109.0,120.0,136.0,195.0,169.0,195.0,210.0,260.0
Floral displays,,2.0,4.0,7.0,7.0,4.0,2.0,7.0,7.0,9.0
Fly-tipping,22388.0,24740.0,31394.0,30485.0,22494.0,22744.0,20010.0,15301.0,14411.0,14155.0
Flyposting,435.0,478.0,542.0,568.0,453.0,497.0,511.0,411.0,655.0,585.0
