SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3444.0,3573.0,3668.0,3754.0,4174.0,4303.0,4311.0,4810.0,4849.0,4786.0
Accumulated Litter,92.0,127.0,139.0,184.0,276.0,289.0,404.0,376.0,345.0,486.0
Admin,,,14.0,19.0,87.0,173.0,196.0,242.0,376.0,273.0
Barriers/Bollards on RoW,8.0,28.0,37.0,24.0,42.0,43.0,46.0,40.0,38.0,51.0
Benches/Bicycle Racks,7.0,7.0,5.0,6.0,26.0,12.0,10.0,9.0,5.0,2.0
Bin Collection,27.0,25.0,25.0,36.0,26.0,45.0,43.0,87.0,129.0,168.0
Bin Repair/Replacement,28.0,28.0,37.0,19.0,44.0,61.0,88.0,112.0,144.0,162.0
Blocked Drains,4118.0,1826.0,1229.0,1455.0,1250.0,1303.0,1471.0,1386.0,972.0,1067.0
Bridge/Culvert Defects,584.0,171.0,87.0,103.0,94.0,74.0,63.0,116.0,35.0,23.0
Broken Fire Hydrant,1.0,,,,,,1.0,,,
Broken Kerbs,209.0,119.0,93.0,117.0,86.0,97.0,53.0,55.0,37.0,37.0
Bus Stops Damage,280.0,392.0,454.0,507.0,621.0,494.0,508.0,499.0,486.0,469.0
C.C.T.V Faults,,,1.0,,,,2.0,,,
Countryside RoW,18.0,6.0,4.0,2.0,,1.0,2.0,,1.0,
Dangerous Building/Structure,5.0,14.0,18.0,33.0,37.0,38.0,66.0,80.0,132.0,165.0
Dead Animals,230.0,134.0,132.0,114.0,141.0,177.0,125.0,137.0,90.0,109.0
Debris/Spillage,374.0,164.0,121.0,89.0,111.0,112.0,109.0,110.0,69.0,71.0
Demo,,,,2.0,1.0,12.0,5.0,6.0,10.0,7.0
Discarded Syringes,,1.0,1.0,1.0,1.0,1.0,2.0,,,
Dog Fouling,1431.0,1999.0,1844.0,1957.0,2174.0,2193.0,2287.0,2293.0,2556.0,2495.0
Dog Litter Bin,27.0,21.0,28.0,18.0,26.0,30.0,14.0,32.0,16.0,14.0
Dumped Rubbish,284.0,533.0,493.0,1037.0,1336.0,1009.0,1401.0,1692.0,1723.0,2731.0
Environmental Health,3.0,9.0,9.0,3.0,7.0,12.0,3.0,2.0,4.0,3.0
Fallen/Dangerous Trees,4514.0,3692.0,3255.0,2903.0,2974.0,2816.0,2588.0,2491.0,2453.0,2074.0
Fences,53.0,36.0,23.0,25.0,21.0,30.0,15.0,20.0,11.0,2.0
Flooding,2037.0,572.0,377.0,393.0,270.0,333.0,239.0,216.0,211.0,133.0
Floral displays,,4.0,5.0,6.0,3.0,3.0,15.0,4.0,3.0,6.0
Fly-tipping,25621.0,13845.0,14004.0,13522.0,19287.0,17957.0,24433.0,30803.0,38179.0,38755.0
Flyposting,811.0,569.0,482.0,488.0,626.0,424.0,557.0,684.0,650.0,711.0
Garden Waste,1.0,1.0,63.0,36.0,208.0,335.0,432.0,542.0,937.0,777.0
Gates/Stiles RoW,61.0,12.0,12.0,,,1.0,3.0,6.0,,
General Highways Enquiries,156.0,248.0,255.0,273.0,286.0,293.0,388.0,369.0,433.0,426.0
Graffiti,1083.0,1893.0,2255.0,2892.0,3307.0,3750.0,4723.0,4498.0,5423.0,5872.0
Grass/Weed Control,1726.0,977.0,723.0,665.0,695.0,550.0,404.0,456.0,180.0,130.0
Grids and Drains,1.0,7.0,7.0,13.0,22.0,43.0,25.0,13.0,37.0,24.0
Grit Bins,116.0,32.0,17.0,11.0,8.0,13.0,4.0,10.0,6.0,4.0
Gritting,1.0,8.0,6.0,4.0,12.0,17.0,14.0,11.0,11.0,12.0
Grounds Maintenance,11.0,7.0,4.0,1.0,4.0,5.0,1.0,1.0,,
Gullies,818.0,306.0,239.0,276.0,290.0,147.0,204.0,216.0,146.0,171.0
Gully/Manhole Defects,195.0,116.0,80.0,80.0,60.0,55.0,91.0,63.0,95.0,117.0
Highway Condition,21935.0,13422.0,11690.0,10415.0,10730.0,11008.0,10316.0,10553.0,10313.0,10171.0
Highway Drainage,96.0,37.0,34.0,8.0,9.0,7.0,8.0,9.0,3.0,
Ice & Snow,26.0,9.0,7.0,17.0,9.0,4.0,9.0,7.0,1.0,2.0
Leafing,6.0,35.0,42.0,45.0,59.0,70.0,108.0,106.0,62.0,58.0
Lewisham Homes,,,114.0,18.0,40.0,22.0,81.0,155.0,186.0,125.0
Lit Signs,1.0,,,,,,,,,
Litter/Litter Bin,334.0,279.0,309.0,373.0,549.0,507.0,540.0,747.0,1067.0,621.0
Manhole Covers,939.0,502.0,355.0,358.0,404.0,420.0,391.0,361.0,247.0,193.0
Manhole Defects,24.0,20.0,12.0,20.0,15.0,14.0,25.0,33.0,18.0,16.0
Missed Bin Collection,,1.0,68.0,100.0,187.0,163.0,323.0,369.0,727.0,508.0
Noise,,2.0,6.0,11.0,5.0,14.0,11.0,13.0,17.0,24.0
Obstruction,1617.0,638.0,484.0,565.0,705.0,619.0,601.0,580.0,518.0,417.0
Open Spaces/Parks,1535.0,2328.0,2456.0,2448.0,2570.0,2488.0,2480.0,2473.0,2338.0,2130.0
Other,13427.0,10029.0,8968.0,8978.0,8707.0,9219.0,9151.0,9394.0,9541.0,9898.0
Overgrown Vegetation,3014.0,2127.0,1752.0,1946.0,1517.0,1693.0,1359.0,1355.0,826.0,686.0
Parking,2635.0,4034.0,4188.0,4655.0,4673.0,4975.0,5216.0,5569.0,5415.0,4866.0
Pavement /Footway Defects,9708.0,10292.0,10088.0,9645.0,10021.0,9951.0,9373.0,10125.0,9401.0,9681.0
Pest Control,,,5.0,7.0,7.0,,5.0,,4.0,3.0
Phoenix HA,,,,,21.0,3.0,19.0,16.0,8.0,15.0
Potholes,81341.0,38240.0,28360.0,25361.0,23982.0,22767.0,20957.0,19941.0,16691.0,13316.0
Property Damage,18.0,17.0,14.0,17.0,14.0,21.0,11.0,11.0,7.0,5.0
Protected Trees,,1.0,1.0,,,1.0,,,,
Public Toilets,92.0,78.0,68.0,61.0,70.0,78.0,98.0,86.0,115.0,106.0
Recycling,60.0,3.0,33.0,45.0,132.0,26.0,113.0,127.0,189.0,224.0
Retaining Wall,3.0,,8.0,5.0,8.0,2.0,6.0,2.0,8.0,15.0
Right of Way,2985.0,827.0,364.0,277.0,297.0,209.0,233.0,149.0,139.0,66.0
Road Markings,1655.0,629.0,475.0,502.0,396.0,457.0,353.0,439.0,225.0,133.0
Road Safety,158.0,48.0,31.0,22.0,12.0,15.0,10.0,11.0,5.0,2.0
Road Surface Defects,5486.0,2569.0,2518.0,2687.0,2163.0,2045.0,2277.0,1974.0,1216.0,1026.0
Road Works,559.0,366.0,174.0,194.0,248.0,223.0,173.0,171.0,128.0,108.0
Road/Pavement Defects,198.0,399.0,376.0,653.0,823.0,1033.0,1070.0,1386.0,2272.0,3204.0
Rubbish,2988.0,2820.0,3117.0,3307.0,4011.0,4345.0,4990.0,5942.0,7004.0,7953.0
Salt Bins,11.0,2.0,2.0,,3.0,2.0,,2.0,2.0,1.0
Shopping Trolley,,11.0,9.0,13.0,110.0,56.0,173.0,150.0,224.0,119.0
Sign or Marking,8.0,2.0,1.0,,1.0,1.0,2.0,,1.0,
Skips,1.0,8.0,1.0,9.0,9.0,3.0,14.0,12.0,14.0,33.0
Spillage on Road,64.0,58.0,39.0,57.0,55.0,55.0,61.0,48.0,38.0,37.0
Street Cleaning,3967.0,3648.0,4336.0,4654.0,5485.0,5512.0,7318.0,6781.0,6422.0,7560.0
Street Furniture,174.0,162.0,119.0,154.0,189.0,258.0,260.0,230.0,312.0,357.0
Street Lights,12571.0,14921.0,14182.0,13879.0,13768.0,13320.0,12503.0,11481.0,10079.0,8563.0
Street Name Plates,964.0,1005.0,895.0,820.0,754.0,704.0,744.0,613.0,581.0,460.0
Street Signs,7347.0,4241.0,3376.0,3301.0,3109.0,3085.0,2992.0,3086.0,2881.0,2823.0
To Let Signs,,1.0,1.0,1.0,,,,14.0,4.0,2.0
Trade Waste,,,,5.0,17.0,19.0,29.0,46.0,82.0,60.0
Traffic Lights,1331.0,1353.0,1506.0,1703.0,1599.0,1660.0,1829.0,1862.0,1866.0,1831.0
Trees and Hedges RoW,277.0,199.0,116.0,101.0,66.0,96.0,137.0,53.0,86.0,41.0
Trees on RoW,123.0,93.0,79.0,81.0,36.0,70.0,35.0,45.0,29.0,19.0
Trenches,,,,,,,,1.0,,
Trip Hazard,305.0,196.0,118.0,178.0,134.0,150.0,132.0,179.0,167.0,60.0
Untaxed Vehcile,,5.0,8.0,6.0,14.0,22.0,15.0,12.0,32.0,27.0
Utility Works,203.0,154.0,90.0,62.0,122.0,137.0,155.0,144.0,87.0,93.0
