SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3221.0,4651.0,4977.0,5681.0,4890.0,4361.0,3788.0,3542.0,3364.0,3197.0
Accumulated Litter,50.0,250.0,308.0,318.0,567.0,343.0,308.0,183.0,179.0,212.0
Admin,53.0,302.0,224.0,339.0,175.0,157.0,42.0,56.0,32.0,
Barriers/Bollards on RoW,7.0,47.0,32.0,34.0,53.0,47.0,37.0,44.0,25.0,31.0
Benches/Bicycle Racks,,6.0,2.0,7.0,3.0,23.0,6.0,3.0,1.0,38.0
Bin Collection,14.0,81.0,113.0,74.0,84.0,71.0,51.0,25.0,57.0,41.0
Bin Repair/Replacement,34.0,160.0,135.0,155.0,64.0,75.0,52.0,25.0,14.0,9.0
Blocked Drains,494.0,722.0,1053.0,1395.0,1440.0,1779.0,2228.0,2224.0,2367.0,2375.0
Bridge/Culvert Defects,30.0,34.0,86.0,149.0,102.0,197.0,254.0,193.0,182.0,123.0
Broken Fire Hydrant,,1.0,,,,,,,1.0,
Broken Kerbs,25.0,43.0,71.0,73.0,64.0,88.0,120.0,111.0,127.0,181.0
Bus Stops Damage,397.0,563.0,543.0,651.0,519.0,435.0,463.0,373.0,357.0,409.0
C.C.T.V Faults,3.0,,,,,,,,,
Countryside RoW,,1.0,,3.0,3.0,7.0,2.0,14.0,4.0,
Dangerous Building/Structure,25.0,85.0,90.0,99.0,73.0,63.0,46.0,35.0,31.0,41.0
Dead Animals,32.0,125.0,166.0,173.0,204.0,199.0,204.0,119.0,90.0,77.0
Debris/Spillage,28.0,68.0,113.0,155.0,112.0,167.0,214.0,152.0,168.0,153.0
Demo,,9.0,9.0,10.0,4.0,10.0,,,1.0,
Discarded Syringes,,1.0,1.0,3.0,2.0,,,,,
Dog Fouling,1903.0,2356.0,2377.0,2662.0,2644.0,2336.0,2080.0,1900.0,1628.0,1343.0
Dog Litter Bin,4.0,15.0,19.0,29.0,25.0,34.0,35.0,20.0,20.0,25.0
Dumped Rubbish,905.0,1136.0,2141.0,2007.0,1866.0,1091.0,689.0,1135.0,714.0,555.0
Environmental Health,2.0,6.0,6.0,16.0,9.0,6.0,3.0,4.0,3.0,
Fallen/Dangerous Trees,1563.0,2360.0,2591.0,2955.0,2990.0,3228.0,3498.0,3331.0,3544.0,3700.0
Fences,4.0,22.0,26.0,31.0,36.0,29.0,30.0,23.0,15.0,20.0
Flooding,106.0,187.0,352.0,502.0,420.0,750.0,701.0,752.0,602.0,409.0
Floral displays,1.0,3.0,7.0,9.0,3.0,1.0,,13.0,4.0,8.0
Fly-tipping,28805.0,37297.0,33864.0,35317.0,26887.0,20802.0,15133.0,13832.0,13134.0,11335.0
Flyposting,502.0,728.0,638.0,608.0,674.0,515.0,606.0,476.0,625.0,630.0
Garden Waste,74.0,520.0,540.0,851.0,530.0,477.0,111.0,135.0,94.0,
Gates/Stiles RoW,,,,4.0,1.0,,10.0,22.0,41.0,17.0
General Highways Enquiries,47.0,198.0,378.0,334.0,458.0,445.0,338.0,291.0,368.0,270.0
Graffiti,2207.0,4248.0,5102.0,4784.0,4329.0,3301.0,2842.0,3191.0,2541.0,3151.0
Grass/Weed Control,92.0,182.0,290.0,406.0,476.0,594.0,804.0,938.0,1364.0,1360.0
Grids and Drains,32.0,24.0,12.0,20.0,7.0,22.0,16.0,21.0,37.0,1.0
Grit Bins,4.0,6.0,20.0,40.0,31.0,42.0,23.0,16.0,29.0,10.0
Gritting,9.0,6.0,9.0,17.0,16.0,16.0,7.0,7.0,5.0,4.0
Grounds Maintenance,,,,,3.0,2.0,5.0,1.0,12.0,11.0
Gullies,68.0,104.0,200.0,171.0,129.0,216.0,293.0,469.0,502.0,661.0
Gully/Manhole Defects,29.0,48.0,45.0,95.0,93.0,102.0,76.0,184.0,149.0,131.0
Highway Condition,7862.0,9530.0,9984.0,10766.0,11210.0,12725.0,13735.0,14102.0,15421.0,15218.0
Highway Drainage,,2.0,3.0,5.0,19.0,9.0,45.0,22.0,67.0,39.0
Ice & Snow,1.0,7.0,7.0,5.0,5.0,12.0,14.0,4.0,9.0,27.0
Leafing,10.0,28.0,58.0,95.0,59.0,55.0,107.0,77.0,46.0,56.0
Lewisham Homes,34.0,316.0,189.0,110.0,40.0,18.0,,20.0,14.0,
Lit Signs,,,,,,,,,1.0,
Litter/Litter Bin,176.0,375.0,482.0,491.0,655.0,534.0,593.0,535.0,377.0,1108.0
Manhole Covers,121.0,243.0,404.0,448.0,470.0,535.0,622.0,433.0,491.0,403.0
Manhole Defects,2.0,14.0,19.0,28.0,36.0,39.0,31.0,18.0,8.0,2.0
Missed Bin Collection,72.0,566.0,552.0,591.0,335.0,184.0,52.0,52.0,42.0,
Noise,8.0,8.0,12.0,18.0,17.0,14.0,11.0,6.0,6.0,3.0
Obstruction,268.0,412.0,630.0,1046.0,742.0,892.0,867.0,791.0,628.0,468.0
Open Spaces/Parks,2125.0,2845.0,2945.0,3042.0,2156.0,2348.0,1866.0,1998.0,1898.0,2023.0
Other,8955.0,8927.0,9786.0,9635.0,9854.0,10376.0,9769.0,10379.0,10156.0,9475.0
