SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,8826.0,7086.0,5417.0,4151.0,3785.0,3212.0,2911.0,2593.0,2192.0,1499.0
Accumulated Litter,1074.0,613.0,240.0,247.0,131.0,186.0,57.0,101.0,60.0,9.0
Admin,1069.0,271.0,40.0,,,,,,,
Barriers/Bollards on RoW,85.0,73.0,33.0,36.0,30.0,19.0,9.0,29.0,36.0,7.0
Benches/Bicycle Racks,,44.0,8.0,3.0,6.0,2.0,12.0,7.0,6.0,1.0
Bin Collection,307.0,151.0,53.0,16.0,27.0,12.0,13.0,24.0,8.0,
Bin Repair/Replacement,408.0,66.0,20.0,35.0,42.0,40.0,46.0,40.0,25.0,1.0
Blocked Drains,1605.0,1758.0,1175.0,1065.0,1326.0,1601.0,1731.0,2102.0,2554.0,1160.0
Bridge/Culvert Defects,57.0,52.0,51.0,63.0,114.0,139.0,139.0,174.0,388.0,173.0
Broken Fire Hydrant,,,,1.0,,,,,1.0,
Broken Kerbs,3.0,21.0,48.0,57.0,90.0,112.0,114.0,130.0,148.0,180.0
Bus Stops Damage,834.0,706.0,567.0,489.0,400.0,399.0,402.0,286.0,336.0,291.0
C.C.T.V Faults,,2.0,1.0,,,,,,,
Countryside RoW,,,,1.0,4.0,6.0,13.0,6.0,4.0,
Dangerous Building/Structure,327.0,177.0,48.0,23.0,7.0,4.0,2.0,,,
Dead Animals,272.0,260.0,163.0,107.0,100.0,96.0,99.0,205.0,74.0,13.0
Debris/Spillage,160.0,124.0,86.0,73.0,121.0,145.0,141.0,199.0,169.0,112.0
Demo,33.0,10.0,,,,,,,,
Discarded Syringes,,2.0,3.0,2.0,,,,,,
Dog Fouling,2172.0,2169.0,1985.0,2299.0,1967.0,2388.0,2133.0,1995.0,1960.0,2161.0
Dog Litter Bin,16.0,14.0,14.0,22.0,22.0,44.0,26.0,33.0,29.0,6.0
Dumped Rubbish,6110.0,3987.0,1450.0,499.0,125.0,47.0,12.0,9.0,,
Environmental Health,,9.0,21.0,8.0,4.0,6.0,2.0,3.0,2.0,
Fallen/Dangerous Trees,3013.0,3172.0,2697.0,2701.0,2982.0,3173.0,3258.0,3152.0,3114.0,2498.0
Fences,3.0,15.0,36.0,34.0,28.0,35.0,17.0,36.0,24.0,8.0
Flooding,80.0,202.0,214.0,196.0,275.0,339.0,445.0,599.0,1273.0,1158.0
Floral displays,12.0,15.0,17.0,2.0,,3.0,,,,
Fly-tipping,98515.0,38781.0,18228.0,13330.0,11851.0,11467.0,11896.0,11874.0,11277.0,9187.0
Flyposting,1432.0,801.0,511.0,476.0,479.0,479.0,480.0,451.0,466.0,427.0
Garden Waste,2406.0,828.0,98.0,,,,,,,
Gates/Stiles RoW,,,,,1.0,5.0,7.0,10.0,40.0,32.0
General Highways Enquiries,1057.0,987.0,538.0,167.0,102.0,57.0,50.0,81.0,53.0,35.0
Graffiti,10997.0,7931.0,4967.0,2650.0,2292.0,1815.0,1690.0,1193.0,1161.0,1000.0
Grass/Weed Control,266.0,434.0,436.0,424.0,601.0,711.0,820.0,938.0,1183.0,693.0
Grids and Drains,4.0,6.0,15.0,19.0,26.0,32.0,23.0,4.0,29.0,34.0
Grit Bins,,5.0,2.0,8.0,8.0,20.0,13.0,32.0,91.0,42.0
Gritting,19.0,37.0,12.0,6.0,5.0,11.0,3.0,2.0,1.0,
Grounds Maintenance,,,,2.0,2.0,3.0,9.0,4.0,14.0,
Gullies,139.0,231.0,147.0,111.0,93.0,182.0,231.0,263.0,511.0,905.0
Gully/Manhole Defects,53.0,157.0,81.0,87.0,138.0,114.0,127.0,113.0,65.0,17.0
Highway Condition,10928.0,11060.0,10183.0,10343.0,10808.0,12715.0,13430.0,12915.0,14406.0,13765.0
Highway Drainage,,,,,11.0,11.0,45.0,39.0,98.0,7.0
Ice & Snow,1.0,15.0,9.0,6.0,9.0,12.0,13.0,10.0,10.0,6.0
Leafing,161.0,258.0,106.0,34.0,19.0,1.0,9.0,3.0,,
Lewisham Homes,681.0,42.0,18.0,,,,,,,
Lit Signs,,,,,,,,,1.0,
Litter/Litter Bin,889.0,1157.0,1261.0,471.0,338.0,304.0,256.0,325.0,199.0,126.0
Manhole Covers,253.0,412.0,312.0,254.0,440.0,421.0,483.0,541.0,686.0,368.0
Manhole Defects,54.0,45.0,9.0,7.0,6.0,15.0,19.0,14.0,18.0,10.0
Missed Bin Collection,2078.0,342.0,26.0,,,,,,,
Noise,,13.0,36.0,11.0,28.0,8.0,2.0,1.0,1.0,3.0
Obstruction,909.0,1086.0,736.0,409.0,345.0,381.0,393.0,624.0,1173.0,688.0
Open Spaces/Parks,4457.0,3514.0,2790.0,2321.0,2170.0,1699.0,1718.0,1601.0,1503.0,1473.0
Other,9638.0,13149.0,11093.0,9853.0,9359.0,9137.0,9084.0,8777.0,9334.0,7888.0
Overgrown Vegetation,1017.0,1999.0,1860.0,1299.0,1267.0,1348.0,1453.0,1690.0,2225.0,2117.0
Parking,5735.0,6158.0,6202.0,5101.0,4629.0,4309.0,3987.0,3656.0,3440.0,3009.0
Pavement /Footway Defects,11824.0,12754.0,11028.0,9602.0,9383.0,9453.0,8800.0,8436.0,8918.0,8087.0
Pest Control,,3.0,12.0,5.0,2.0,5.0,,4.0,,
Phoenix HA,82.0,,,,,,,,,
Potholes,11924.0,17351.0,20137.0,22281.0,27112.0,33121.0,35994.0,39948.0,45698.0,37390.0
Property Damage,,11.0,13.0,21.0,29.0,16.0,12.0,15.0,13.0,5.0
Protected Trees,,,1.0,,2.0,,,,,
Public Toilets,116.0,120.0,85.0,82.0,75.0,110.0,76.0,64.0,78.0,46.0
Recycling,179.0,645.0,58.0,21.0,32.0,10.0,6.0,,1.0,
Retaining Wall,13.0,13.0,10.0,6.0,3.0,2.0,6.0,4.0,,
Right of Way,86.0,229.0,269.0,342.0,706.0,1156.0,861.0,900.0,694.0,303.0
Road Markings,67.0,351.0,431.0,426.0,618.0,668.0,616.0,617.0,981.0,489.0
Road Safety,,3.0,7.0,7.0,15.0,20.0,29.0,36.0,122.0,75.0
Road Surface Defects,1349.0,4421.0,4278.0,2560.0,1666.0,1600.0,1469.0,2021.0,2777.0,1820.0
Road Works,108.0,140.0,111.0,209.0,237.0,245.0,299.0,350.0,326.0,319.0
Road/Pavement Defects,5754.0,3259.0,1088.0,608.0,257.0,80.0,80.0,43.0,62.0,183.0
Rubbish,12197.0,8354.0,5478.0,3815.0,3369.0,3251.0,2837.0,2509.0,2505.0,2162.0
Salt Bins,,,3.0,1.0,4.0,8.0,2.0,5.0,2.0,
Shopping Trolley,589.0,112.0,90.0,21.0,47.0,5.0,1.0,,,
Sign or Marking,,,,,2.0,1.0,2.0,1.0,9.0,1.0
Skips,48.0,30.0,8.0,9.0,,4.0,1.0,2.0,1.0,1.0
Spillage on Road,80.0,104.0,99.0,45.0,37.0,33.0,31.0,61.0,16.0,6.0
