SHEF_A,Not Reported Fixed,Reported Fixed
Abandoned Vehicles,22541.0,15824.0
Accumulated Litter,1540.0,1178.0
Admin,37.0,1343.0
Barriers/Bollards on RoW,184.0,121.0
Benches/Bicycle Racks,19.0,65.0
Bin Collection,315.0,214.0
Bin Repair/Replacement,161.0,395.0
Blocked Drains,8917.0,3785.0
Bridge/Culvert Defects,604.0,148.0
Broken Fire Hydrant,1.0,1.0
Broken Kerbs,279.0,134.0
Bus Stops Damage,3356.0,1487.0
C.C.T.V Faults,1.0,2.0
Countryside RoW,27.0,5.0
Dangerous Building/Structure,370.0,147.0
Dead Animals,331.0,487.0
Debris/Spillage,700.0,323.0
Demo,30.0,13.0
Discarded Syringes,4.0,3.0
Dog Fouling,14236.0,4903.0
Dog Litter Bin,69.0,52.0
Dumped Rubbish,4548.0,7083.0
Environmental Health,32.0,15.0
Fallen/Dangerous Trees,19707.0,7091.0
Fences,134.0,48.0
Flooding,1114.0,398.0
Floral displays,21.0,28.0
Fly-tipping,114918.0,115420.0
Flyposting,3121.0,2361.0
Garden Waste,157.0,3175.0
Gates/Stiles RoW,72.0,4.0
General Highways Enquiries,2318.0,716.0
Graffiti,16685.0,13289.0
Grass/Weed Control,4508.0,1313.0
Grids and Drains,163.0,29.0
Grit Bins,28.0,27.0
Gritting,66.0,23.0
Grounds Maintenance,27.0,5.0
Gullies,594.0,538.0
Gully/Manhole Defects,654.0,251.0
Highway Condition,89664.0,27516.0
Highway Drainage,165.0,46.0
Ice & Snow,67.0,20.0
Leafing,338.0,202.0
Lewisham Homes,430.0,311.0
Lit Signs,1.0,
Litter/Litter Bin,2341.0,2128.0
Manhole Covers,1637.0,780.0
Manhole Defects,101.0,32.0
Missed Bin Collection,279.0,2167.0
Noise,80.0,23.0
Obstruction,2634.0,1240.0
Open Spaces/Parks,15211.0,7785.0
Other,56936.0,19663.0
Overgrown Vegetation,6088.0,3103.0
Parking,38240.0,6167.0
Pavement /Footway Defects,65359.0,26244.0
Pest Control,28.0,2.0
Phoenix HA,61.0,21.0
Potholes,172457.0,93145.0
Property Damage,93.0,42.0
Protected Trees,2.0,1.0
Public Toilets,569.0,236.0
Recycling,528.0,280.0
Retaining Wall,36.0,21.0
Right of Way,4575.0,889.0
Road Markings,2430.0,986.0
Road Safety,75.0,14.0
Road Surface Defects,10852.0,8552.0
Road Works,652.0,225.0
Road/Pavement Defects,5907.0,3815.0
Rubbish,27569.0,19546.0
Salt Bins,20.0,4.0
Shopping Trolley,525.0,340.0
Sign or Marking,9.0,7.0
Skips,59.0,35.0
Spillage on Road,202.0,128.0
Street Cleaning,29869.0,24283.0
Street Furniture,684.0,434.0
Street Lights,63260.0,50280.0
Street Name Plates,4304.0,1771.0
Street Signs,22708.0,10143.0
To Let Signs,13.0,10.0
Trade Waste,102.0,156.0
Traffic Lights,9175.0,6288.0
Trees and Hedges RoW,746.0,426.0
Trees on RoW,397.0,213.0
Trip Hazard,482.0,192.0
Untaxed Vehcile,65.0,45.0
Utility Works,361.0,253.0
Vehicle Access,20.0,3.0
Zebra Crossing,4.0,3.0
