SHEF_A,Female,Male
Abandoned Vehicles,11075.0,25591.0
Accumulated Litter,899.0,1335.0
Admin,10.0,83.0
Barriers/Bollards on RoW,61.0,206.0
Benches/Bicycle Racks,8.0,50.0
Bin Collection,158.0,330.0
Bin Repair/Replacement,150.0,287.0
Blocked Drains,2808.0,8206.0
Bridge/Culvert Defects,202.0,454.0
Broken Fire Hydrant,,2.0
Broken Kerbs,123.0,210.0
Bus Stops Damage,1181.0,3567.0
C.C.T.V Faults,,3.0
Countryside RoW,7.0,16.0
Dangerous Building/Structure,151.0,351.0
Dead Animals,298.0,393.0
Debris/Spillage,274.0,591.0
Demo,9.0,26.0
Discarded Syringes,1.0,4.0
Dog Fouling,8948.0,12322.0
Dog Litter Bin,41.0,59.0
Dumped Rubbish,3139.0,7195.0
Environmental Health,12.0,29.0
Fallen/Dangerous Trees,9215.0,17008.0
Fences,54.0,105.0
Flooding,371.0,916.0
Floral displays,18.0,16.0
Fly-tipping,61832.0,136365.0
Flyposting,934.0,4019.0
Garden Waste,269.0,278.0
Gates/Stiles RoW,30.0,38.0
General Highways Enquiries,674.0,1775.0
Graffiti,5842.0,25461.0
Grass/Weed Control,1949.0,2926.0
Grids and Drains,31.0,142.0
Grit Bins,22.0,22.0
Gritting,24.0,56.0
Grounds Maintenance,11.0,21.0
Gullies,190.0,740.0
Gully/Manhole Defects,177.0,644.0
Highway Condition,25471.0,93167.0
Highway Drainage,31.0,154.0
Ice & Snow,29.0,48.0
Leafing,152.0,268.0
Lewisham Homes,275.0,359.0
Lit Signs,,1.0
Litter/Litter Bin,1129.0,2701.0
Manhole Covers,621.0,1453.0
Manhole Defects,34.0,78.0
Missed Bin Collection,485.0,1636.0
Noise,17.0,55.0
Obstruction,1055.0,2191.0
Open Spaces/Parks,6995.0,14186.0
Other,28516.0,53967.0
Overgrown Vegetation,2863.0,4938.0
Parking,13636.0,29772.0
Pavement /Footway Defects,26575.0,63309.0
Pest Control,14.0,16.0
Phoenix HA,8.0,47.0
Potholes,66214.0,207104.0
Property Damage,45.0,68.0
Protected Trees,1.0,
Public Toilets,220.0,604.0
Recycling,219.0,603.0
Retaining Wall,16.0,34.0
Right of Way,1177.0,2493.0
Road Markings,837.0,2095.0
Road Safety,28.0,46.0
Road Surface Defects,4216.0,11996.0
Road Works,219.0,515.0
Road/Pavement Defects,1854.0,7599.0
Rubbish,17148.0,29395.0
Salt Bins,10.0,10.0
Shopping Trolley,170.0,435.0
Sign or Marking,1.0,12.0
Skips,28.0,51.0
Spillage on Road,106.0,151.0
Street Cleaning,15487.0,34604.0
Street Furniture,194.0,813.0
Street Lights,29032.0,88416.0
Street Name Plates,1925.0,4690.0
Street Signs,6266.0,26125.0
To Let Signs,12.0,6.0
Trade Waste,97.0,119.0
Traffic Lights,3510.0,12619.0
Trees and Hedges RoW,319.0,689.0
Trees on RoW,195.0,311.0
Trenches,,1.0
Trip Hazard,181.0,362.0
Untaxed Vehcile,17.0,96.0
Utility Works,111.0,426.0
Vehicle Access,8.0,13.0
Verge Damage,27.0,73.0
Zebra Crossing,3.0,9.0
