SHEF_A,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Abandoned Vehicles,3020.0,2847.0,3092.0,2762.0,2955.0,3227.0,3636.0,3473.0,3620.0,3577.0,3314.0,2842.0
Accumulated Litter,236.0,209.0,233.0,171.0,198.0,257.0,297.0,188.0,237.0,215.0,250.0,227.0
Admin,62.0,40.0,19.0,16.0,5.0,351.0,495.0,138.0,84.0,53.0,41.0,76.0
Barriers/Bollards on RoW,22.0,17.0,21.0,13.0,21.0,25.0,14.0,24.0,54.0,31.0,31.0,32.0
Benches/Bicycle Racks,16.0,8.0,4.0,2.0,6.0,5.0,5.0,5.0,10.0,13.0,7.0,3.0
Bin Collection,68.0,68.0,41.0,35.0,37.0,56.0,58.0,29.0,51.0,36.0,24.0,26.0
Bin Repair/Replacement,49.0,36.0,46.0,39.0,36.0,63.0,41.0,51.0,68.0,45.0,44.0,38.0
Blocked Drains,1256.0,1264.0,1033.0,604.0,711.0,937.0,797.0,1124.0,846.0,1375.0,1303.0,1452.0
Bridge/Culvert Defects,63.0,63.0,45.0,58.0,50.0,67.0,42.0,60.0,61.0,100.0,67.0,76.0
Broken Fire Hydrant,,,,,,,,,,,1.0,1.0
Broken Kerbs,23.0,44.0,17.0,20.0,22.0,30.0,39.0,45.0,43.0,39.0,46.0,45.0
Bus Stops Damage,385.0,438.0,407.0,311.0,320.0,379.0,366.0,476.0,410.0,458.0,521.0,372.0
C.C.T.V Faults,,,,,,,1.0,,,,,2.0
Countryside RoW,,,,6.0,5.0,3.0,5.0,4.0,4.0,4.0,,1.0
Dangerous Building/Structure,49.0,46.0,53.0,36.0,44.0,42.0,39.0,35.0,54.0,37.0,40.0,42.0
Dead Animals,57.0,57.0,60.0,61.0,64.0,75.0,84.0,80.0,92.0,78.0,62.0,48.0
Debris/Spillage,87.0,109.0,112.0,67.0,60.0,73.0,103.0,88.0,79.0,90.0,89.0,66.0
Demo,3.0,7.0,3.0,7.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,2.0
Discarded Syringes,1.0,,1.0,,2.0,,1.0,,1.0,1.0,,
Dog Fouling,2513.0,2685.0,2484.0,1614.0,1073.0,1148.0,1076.0,1042.0,1294.0,1382.0,1321.0,1507.0
Dog Litter Bin,11.0,14.0,9.0,4.0,10.0,14.0,5.0,9.0,13.0,12.0,11.0,9.0
Dumped Rubbish,974.0,924.0,970.0,895.0,816.0,1120.0,1109.0,1144.0,1087.0,910.0,844.0,838.0
Environmental Health,5.0,5.0,6.0,2.0,1.0,4.0,8.0,4.0,5.0,4.0,,3.0
Fallen/Dangerous Trees,1285.0,1746.0,1388.0,1165.0,2268.0,3759.0,3788.0,3528.0,2909.0,2261.0,1550.0,1151.0
Fences,15.0,21.0,19.0,16.0,9.0,16.0,20.0,9.0,14.0,10.0,15.0,18.0
Flooding,113.0,172.0,82.0,58.0,47.0,104.0,72.0,113.0,104.0,200.0,200.0,247.0
Floral displays,1.0,3.0,2.0,3.0,7.0,8.0,14.0,6.0,3.0,2.0,,
Fly-tipping,17482.0,15789.0,17830.0,18081.0,18505.0,19568.0,22348.0,21575.0,21767.0,19975.0,19396.0,18022.0
Flyposting,364.0,433.0,586.0,402.0,433.0,427.0,479.0,513.0,496.0,532.0,442.0,375.0
Garden Waste,46.0,38.0,31.0,34.0,50.0,320.0,1182.0,827.0,421.0,181.0,140.0,62.0
Gates/Stiles RoW,1.0,1.0,1.0,3.0,4.0,7.0,14.0,13.0,10.0,7.0,5.0,10.0
General Highways Enquiries,235.0,253.0,293.0,193.0,236.0,264.0,291.0,223.0,299.0,276.0,231.0,240.0
Graffiti,2556.0,2236.0,2674.0,2557.0,2491.0,2685.0,2470.0,2304.0,2541.0,2678.0,2549.0,2233.0
Grass/Weed Control,187.0,150.0,155.0,182.0,720.0,1278.0,1009.0,767.0,632.0,368.0,228.0,145.0
Grids and Drains,16.0,24.0,13.0,19.0,10.0,12.0,12.0,21.0,24.0,10.0,12.0,19.0
Grit Bins,9.0,6.0,2.0,,3.0,1.0,3.0,3.0,7.0,5.0,5.0,11.0
Gritting,15.0,19.0,11.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,9.0,22.0
Grounds Maintenance,1.0,2.0,3.0,8.0,2.0,3.0,2.0,5.0,,1.0,3.0,2.0
Gullies,99.0,102.0,94.0,54.0,63.0,71.0,69.0,86.0,99.0,128.0,130.0,137.0
Gully/Manhole Defects,100.0,75.0,71.0,59.0,67.0,84.0,67.0,75.0,87.0,58.0,65.0,97.0
Highway Condition,11496.0,12507.0,12148.0,8958.0,8596.0,9764.0,9247.0,8832.0,8436.0,8906.0,9028.0,9262.0
Highway Drainage,28.0,21.0,20.0,13.0,8.0,22.0,12.0,10.0,15.0,22.0,23.0,17.0
Ice & Snow,35.0,11.0,5.0,2.0,1.0,1.0,,,2.0,4.0,10.0,16.0
Leafing,52.0,21.0,18.0,5.0,9.0,19.0,9.0,26.0,29.0,52.0,200.0,100.0
Lewisham Homes,48.0,48.0,44.0,47.0,47.0,93.0,108.0,84.0,93.0,50.0,47.0,32.0
Lit Signs,,,,,,,,1.0,,,,
Litter/Litter Bin,332.0,385.0,441.0,323.0,364.0,370.0,437.0,338.0,377.0,342.0,392.0,368.0
Manhole Covers,211.0,226.0,197.0,175.0,183.0,172.0,186.0,192.0,242.0,219.0,185.0,229.0
Manhole Defects,12.0,13.0,9.0,13.0,11.0,8.0,14.0,9.0,12.0,15.0,8.0,9.0
Missed Bin Collection,144.0,153.0,220.0,150.0,176.0,254.0,207.0,185.0,170.0,341.0,260.0,186.0
Noise,5.0,7.0,11.0,9.0,5.0,17.0,13.0,13.0,8.0,9.0,2.0,4.0
Obstruction,251.0,266.0,205.0,173.0,252.0,337.0,404.0,430.0,453.0,376.0,423.0,304.0
Open Spaces/Parks,1158.0,1257.0,1415.0,1670.0,2530.0,3532.0,3053.0,2495.0,2124.0,1587.0,1191.0,984.0
Other,5911.0,6200.0,6278.0,5480.0,6119.0,7341.0,7874.0,7556.0,6563.0,6155.0,5691.0,5431.0
Overgrown Vegetation,334.0,356.0,348.0,347.0,860.0,1474.0,1579.0,1238.0,1062.0,719.0,474.0,400.0
Parking,3409.0,3705.0,3786.0,3065.0,3332.0,3872.0,4098.0,3742.0,4224.0,4092.0,3807.0,3275.0
Pavement /Footway Defects,6687.0,6910.0,6779.0,5959.0,7087.0,9815.0,10076.0,8826.0,8650.0,7688.0,7143.0,5983.0
Pest Control,1.0,3.0,3.0,3.0,1.0,,5.0,2.0,3.0,4.0,4.0,1.0
Phoenix HA,6.0,13.0,3.0,4.0,4.0,17.0,13.0,8.0,5.0,6.0,1.0,2.0
Potholes,37670.0,46858.0,45699.0,26736.0,18413.0,14825.0,11571.0,10075.0,9450.0,10543.0,13075.0,20687.0
Property Damage,15.0,11.0,15.0,9.0,10.0,12.0,12.0,9.0,6.0,14.0,14.0,8.0
Protected Trees,,,,,,1.0,,,1.0,1.0,,
Public Toilets,68.0,83.0,63.0,79.0,68.0,66.0,90.0,78.0,68.0,60.0,39.0,43.0
Recycling,33.0,65.0,56.0,60.0,75.0,99.0,85.0,73.0,89.0,73.0,46.0,54.0
Retaining Wall,6.0,2.0,4.0,5.0,2.0,6.0,5.0,6.0,10.0,2.0,5.0,4.0
Right of Way,430.0,465.0,344.0,364.0,377.0,525.0,604.0,657.0,529.0,370.0,422.0,377.0
Road Markings,299.0,307.0,247.0,217.0,222.0,216.0,286.0,296.0,335.0,336.0,343.0,312.0
Road Safety,2.0,3.0,2.0,5.0,10.0,9.0,16.0,12.0,15.0,5.0,5.0,5.0
Road Surface Defects,1795.0,2090.0,2005.0,1377.0,1424.0,1492.0,1427.0,1516.0,1445.0,1477.0,1584.0,1772.0
Road Works,122.0,95.0,80.0,44.0,51.0,54.0,65.0,64.0,70.0,102.0,79.0,51.0
Road/Pavement Defects,1035.0,1329.0,1168.0,794.0,757.0,887.0,661.0,524.0,631.0,657.0,701.0,578.0
Rubbish,3734.0,3651.0,4082.0,3773.0,3878.0,4459.0,4780.0,4410.0,3893.0,3678.0,3408.0,3369.0
Salt Bins,8.0,6.0,,,,1.0,,,2.0,1.0,6.0,
Shopping Trolley,63.0,71.0,60.0,72.0,70.0,72.0,81.0,80.0,118.0,66.0,53.0,59.0
Sign or Marking,1.0,3.0,2.0,2.0,,,2.0,1.0,3.0,2.0,,
Skips,1.0,10.0,13.0,8.0,7.0,9.0,8.0,11.0,6.0,5.0,8.0,8.0
Spillage on Road,34.0,31.0,25.0,28.0,19.0,25.0,32.0,28.0,28.0,29.0,31.0,20.0
Street Cleaning,4995.0,4657.0,4754.0,3676.0,3420.0,4142.0,4723.0,4507.0,4772.0,4352.0,5129.0,5025.0
Street Furniture,83.0,105.0,106.0,72.0,80.0,88.0,87.0,121.0,109.0,84.0,91.0,92.0
Street Lights,14625.0,10759.0,8672.0,5676.0,4804.0,4644.0,5302.0,6653.0,9190.0,13479.0,16124.0,13612.0
Street Name Plates,454.0,578.0,588.0,458.0,508.0,544.0,519.0,564.0,505.0,493.0,456.0,408.0
Street Signs,2849.0,3018.0,2978.0,2345.0,2336.0,2578.0,2575.0,2840.0,2825.0,2978.0,2949.0,2580.0
To Let Signs,,,4.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,
Trade Waste,19.0,29.0,17.0,18.0,17.0,14.0,22.0,29.0,32.0,16.0,25.0,20.0
Traffic Lights,1360.0,1400.0,1215.0,1080.0,1199.0,1331.0,1348.0,1186.0,1279.0,1423.0,1416.0,1226.0
Trees and Hedges RoW,40.0,43.0,47.0,42.0,101.0,186.0,196.0,151.0,140.0,115.0,50.0,61.0
Trees on RoW,23.0,65.0,31.0,33.0,63.0,108.0,66.0,60.0,59.0,48.0,37.0,17.0
Trip Hazard,34.0,53.0,50.0,25.0,48.0,62.0,78.0,52.0,72.0,55.0,73.0,72.0
Untaxed Vehcile,7.0,8.0,13.0,7.0,5.0,15.0,17.0,9.0,5.0,8.0,10.0,6.0
Utility Works,48.0,58.0,59.0,42.0,45.0,56.0,53.0,52.0,47.0,62.0,42.0,50.0
Vehicle Access,1.0,,1.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0
Zebra Crossing,,,,,,1.0,,2.0,1.0,,2.0,1.0
