SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,151.0,170.0,150.0,206.0,158.0,140.0,95.0,110.0,101.0,112.0
Bus Stops Damage,50.0,50.0,54.0,64.0,42.0,44.0,36.0,77.0,65.0,55.0
Dog Fouling,403.0,281.0,170.0,479.0,181.0,185.0,214.0,128.0,140.0,238.0
Fallen/Dangerous Trees,64.0,53.0,67.0,86.0,79.0,96.0,99.0,116.0,94.0,125.0
Fly-tipping,465.0,543.0,445.0,535.0,561.0,528.0,642.0,445.0,436.0,403.0
Flyposting,5.0,13.0,5.0,5.0,10.0,11.0,11.0,8.0,12.0,12.0
Graffiti,62.0,58.0,51.0,69.0,84.0,94.0,78.0,76.0,92.0,109.0
Highway Condition,541.0,522.0,450.0,677.0,770.0,902.0,1128.0,1075.0,1046.0,1337.0
Open Spaces/Parks,116.0,92.0,103.0,138.0,150.0,107.0,88.0,107.0,115.0,119.0
Other,434.0,375.0,424.0,414.0,423.0,427.0,473.0,427.0,416.0,521.0
Parking,236.0,272.0,220.0,233.0,188.0,192.0,216.0,154.0,193.0,168.0
Pavement /Footway Defects,363.0,394.0,387.0,402.0,425.0,486.0,552.0,577.0,570.0,600.0
Potholes,1827.0,1741.0,1387.0,1829.0,2026.0,2789.0,3169.0,3590.0,3105.0,4017.0
Public Toilets,5.0,1.0,2.0,11.0,3.0,10.0,8.0,6.0,3.0,6.0
Rubbish,347.0,313.0,408.0,370.0,360.0,338.0,628.0,370.0,349.0,409.0
Street Cleaning,169.0,150.0,150.0,151.0,136.0,170.0,182.0,174.0,121.0,201.0
Street Lights,699.0,741.0,658.0,711.0,789.0,929.0,978.0,987.0,996.0,1071.0
Street Name Plates,18.0,17.0,11.0,35.0,30.0,24.0,39.0,25.0,28.0,27.0
Street Signs,111.0,80.0,114.0,126.0,124.0,192.0,300.0,224.0,251.0,262.0
Traffic Lights,125.0,91.0,93.0,122.0,107.0,156.0,154.0,137.0,141.0,147.0
