SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,183.0,180.0,225.0,264.0,196.0,158.0,156.0,138.0,158.0,144.0
Bus Stops Damage,63.0,56.0,68.0,91.0,63.0,49.0,53.0,60.0,72.0,86.0
Dog Fouling,487.0,363.0,289.0,279.0,553.0,290.0,224.0,309.0,205.0,313.0
Fallen/Dangerous Trees,82.0,86.0,81.0,147.0,128.0,139.0,106.0,139.0,148.0,154.0
Fly-tipping,584.0,592.0,547.0,762.0,583.0,614.0,495.0,525.0,501.0,537.0
Flyposting,13.0,11.0,8.0,17.0,13.0,15.0,17.0,13.0,19.0,8.0
Graffiti,96.0,117.0,111.0,103.0,107.0,118.0,106.0,110.0,131.0,177.0
Highway Condition,843.0,764.0,679.0,930.0,1066.0,1277.0,1330.0,1372.0,1462.0,1727.0
Open Spaces/Parks,145.0,132.0,165.0,181.0,178.0,162.0,106.0,128.0,130.0,170.0
Other,627.0,620.0,664.0,683.0,650.0,740.0,582.0,637.0,675.0,734.0
Parking,302.0,305.0,239.0,323.0,255.0,279.0,210.0,196.0,205.0,237.0
Pavement /Footway Defects,525.0,554.0,480.0,622.0,590.0,659.0,604.0,732.0,842.0,741.0
Potholes,2886.0,2414.0,2017.0,2484.0,2570.0,3218.0,3788.0,4012.0,4249.0,5010.0
Public Toilets,6.0,5.0,4.0,4.0,8.0,7.0,8.0,8.0,8.0,5.0
Rubbish,475.0,389.0,349.0,556.0,472.0,410.0,405.0,486.0,705.0,561.0
Street Cleaning,219.0,209.0,177.0,262.0,216.0,224.0,206.0,213.0,148.0,270.0
Street Lights,999.0,908.0,895.0,1125.0,987.0,1277.0,1223.0,1354.0,1349.0,1547.0
Street Name Plates,23.0,37.0,28.0,43.0,39.0,69.0,37.0,34.0,40.0,45.0
Street Signs,149.0,129.0,126.0,190.0,175.0,296.0,261.0,297.0,327.0,389.0
Traffic Lights,186.0,142.0,137.0,157.0,150.0,183.0,213.0,157.0,181.0,229.0
