SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,147.0,157.0,207.0,184.0,136.0,134.0,122.0,105.0,101.0,100.0
Bus Stops Damage,47.0,54.0,57.0,48.0,54.0,41.0,38.0,60.0,89.0,49.0
Dog Fouling,369.0,311.0,191.0,175.0,447.0,202.0,202.0,155.0,232.0,135.0
Fallen/Dangerous Trees,56.0,55.0,73.0,84.0,79.0,90.0,122.0,98.0,93.0,129.0
Fly-tipping,482.0,508.0,406.0,709.0,534.0,498.0,560.0,644.0,354.0,308.0
Flyposting,6.0,10.0,8.0,4.0,17.0,7.0,9.0,16.0,6.0,9.0
Graffiti,54.0,65.0,50.0,74.0,78.0,96.0,77.0,91.0,84.0,104.0
Highway Condition,512.0,511.0,482.0,778.0,651.0,871.0,1171.0,1251.0,991.0,1230.0
Open Spaces/Parks,110.0,87.0,109.0,159.0,126.0,112.0,106.0,92.0,111.0,123.0
Other,420.0,355.0,409.0,476.0,454.0,408.0,484.0,440.0,453.0,435.0
Parking,228.0,234.0,231.0,265.0,201.0,198.0,264.0,173.0,153.0,125.0
Pavement /Footway Defects,366.0,344.0,402.0,447.0,452.0,475.0,595.0,589.0,526.0,560.0
Potholes,1689.0,1645.0,1515.0,2062.0,1883.0,2448.0,4100.0,3542.0,2998.0,3598.0
Public Toilets,7.0,,2.0,9.0,5.0,9.0,14.0,2.0,1.0,6.0
Rubbish,339.0,300.0,322.0,421.0,496.0,329.0,390.0,641.0,352.0,302.0
Street Cleaning,161.0,138.0,168.0,199.0,113.0,178.0,173.0,184.0,135.0,155.0
Street Lights,741.0,684.0,634.0,801.0,752.0,972.0,1039.0,938.0,939.0,1059.0
Street Name Plates,17.0,16.0,18.0,27.0,29.0,33.0,33.0,29.0,28.0,24.0
Street Signs,101.0,76.0,88.0,155.0,139.0,206.0,280.0,276.0,229.0,234.0
Traffic Lights,110.0,102.0,75.0,149.0,102.0,137.0,181.0,160.0,112.0,145.0
