SHEF_A,Urban,Rural,More Rural
Abandoned Vehicles,33520.0,2554.0,2291.0
Accumulated Litter,2621.0,18.0,79.0
Admin,1380.0,,
Barriers/Bollards on RoW,273.0,9.0,23.0
Benches/Bicycle Racks,59.0,13.0,12.0
Bin Collection,488.0,16.0,25.0
Bin Repair/Replacement,546.0,4.0,6.0
Blocked Drains,7979.0,1815.0,2908.0
Bridge/Culvert Defects,375.0,112.0,265.0
Broken Fire Hydrant,1.0,,1.0
Broken Kerbs,241.0,83.0,89.0
Bus Stops Damage,4377.0,287.0,179.0
C.C.T.V Faults,3.0,,
Countryside RoW,18.0,7.0,7.0
Dangerous Building/Structure,514.0,1.0,2.0
Dead Animals,727.0,14.0,77.0
Debris/Spillage,583.0,152.0,288.0
Demo,43.0,,
Discarded Syringes,7.0,,
Dog Fouling,16477.0,1694.0,968.0
Dog Litter Bin,94.0,20.0,7.0
Dumped Rubbish,11497.0,7.0,127.0
Environmental Health,38.0,5.0,4.0
Fallen/Dangerous Trees,21143.0,2507.0,3148.0
Fences,137.0,19.0,26.0
Flooding,771.0,265.0,476.0
Floral displays,49.0,,
Fly-tipping,197996.0,10808.0,21534.0
Flyposting,4648.0,374.0,460.0
Garden Waste,3332.0,,
Gates/Stiles RoW,8.0,25.0,43.0
General Highways Enquiries,2889.0,69.0,76.0
Graffiti,28911.0,690.0,373.0
Grass/Weed Control,3689.0,889.0,1243.0
Grids and Drains,191.0,1.0,
Grit Bins,18.0,11.0,26.0
Gritting,88.0,,1.0
Grounds Maintenance,20.0,1.0,11.0
Gullies,848.0,103.0,181.0
Gully/Manhole Defects,597.0,129.0,179.0
Highway Condition,86147.0,12032.0,19001.0
Highway Drainage,81.0,36.0,94.0
Ice & Snow,53.0,8.0,26.0
Leafing,537.0,,3.0
Lewisham Homes,741.0,,
Lit Signs,,,1.0
Litter/Litter Bin,4169.0,112.0,188.0
Manhole Covers,1606.0,394.0,417.0
Manhole Defects,85.0,25.0,23.0
Missed Bin Collection,2446.0,,
Noise,103.0,,
Obstruction,3248.0,232.0,394.0
Open Spaces/Parks,21100.0,1131.0,765.0
Other,61625.0,6745.0,8229.0
Overgrown Vegetation,7422.0,829.0,940.0
Parking,39824.0,3108.0,1475.0
Pavement /Footway Defects,77078.0,8253.0,6272.0
Pest Control,29.0,,1.0
Phoenix HA,82.0,,
Potholes,161619.0,35458.0,68525.0
Property Damage,106.0,10.0,19.0
Protected Trees,3.0,,
Public Toilets,604.0,112.0,89.0
Recycling,808.0,,
Retaining Wall,50.0,4.0,3.0
Right of Way,1754.0,674.0,3036.0
Road Markings,1903.0,612.0,901.0
Road Safety,32.0,19.0,38.0
Road Surface Defects,15272.0,1351.0,2781.0
Road Works,526.0,201.0,150.0
Road/Pavement Defects,9681.0,21.0,20.0
Rubbish,43015.0,2028.0,2072.0
Salt Bins,10.0,6.0,8.0
Shopping Trolley,865.0,,
Sign or Marking,5.0,2.0,9.0
Skips,89.0,4.0,1.0
Spillage on Road,317.0,3.0,10.0
Street Cleaning,49343.0,2139.0,2670.0
Street Furniture,1080.0,20.0,18.0
Street Lights,95153.0,11752.0,6635.0
Street Name Plates,4875.0,621.0,579.0
Street Signs,23746.0,3462.0,5643.0
To Let Signs,23.0,,
Trade Waste,258.0,,
Traffic Lights,13921.0,780.0,762.0
Trees and Hedges RoW,722.0,212.0,238.0
Trees on RoW,507.0,41.0,62.0
Trip Hazard,350.0,195.0,129.0
Untaxed Vehcile,109.0,1.0,
Utility Works,449.0,69.0,96.0
Vehicle Access,14.0,,9.0
Zebra Crossing,7.0,,
