SHEF_A,2-20 Reports,21-50 Reports,50+ Reports,One Report
Abandoned Vehicles,13559.0,3823.0,4624.0,9522.0
Accumulated Litter,977.0,461.0,627.0,140.0
Admin,15.0,1.0,1354.0,10.0
Barriers/Bollards on RoW,84.0,22.0,76.0,13.0
Benches/Bicycle Racks,10.0,10.0,46.0,3.0
Bin Collection,226.0,62.0,134.0,89.0
Bin Repair/Replacement,133.0,49.0,218.0,20.0
Blocked Drains,3924.0,1550.0,2643.0,975.0
Bridge/Culvert Defects,197.0,103.0,58.0,40.0
Broken Fire Hydrant,2.0,,,
Broken Kerbs,97.0,28.0,38.0,23.0
Bus Stops Damage,1407.0,574.0,1483.0,594.0
C.C.T.V Faults,2.0,,1.0,
Countryside RoW,11.0,3.0,11.0,6.0
Dangerous Building/Structure,206.0,79.0,104.0,128.0
Dead Animals,282.0,116.0,145.0,92.0
Debris/Spillage,375.0,178.0,175.0,113.0
Demo,5.0,3.0,15.0,2.0
Discarded Syringes,3.0,,1.0,
Dog Fouling,6720.0,2564.0,3646.0,3876.0
Dog Litter Bin,53.0,18.0,13.0,11.0
Dumped Rubbish,3986.0,2003.0,4806.0,836.0
Environmental Health,10.0,2.0,15.0,7.0
Fallen/Dangerous Trees,9841.0,2809.0,3838.0,4141.0
Fences,74.0,31.0,28.0,27.0
Flooding,418.0,153.0,130.0,107.0
Floral displays,20.0,4.0,22.0,3.0
Fly-tipping,50931.0,29507.0,77257.0,10915.0
Flyposting,1026.0,647.0,2779.0,237.0
Garden Waste,191.0,76.0,2880.0,60.0
Gates/Stiles RoW,11.0,,6.0,1.0
General Highways Enquiries,962.0,546.0,759.0,213.0
Graffiti,5153.0,3271.0,14641.0,1195.0
Grass/Weed Control,2044.0,827.0,982.0,420.0
Grids and Drains,40.0,31.0,25.0,16.0
Grit Bins,21.0,3.0,5.0,2.0
Gritting,30.0,11.0,31.0,10.0
Grounds Maintenance,17.0,2.0,,8.0
Gullies,262.0,99.0,273.0,62.0
Gully/Manhole Defects,306.0,116.0,111.0,124.0
Highway Condition,37910.0,16023.0,33594.0,14567.0
Highway Drainage,54.0,44.0,39.0,26.0
Ice & Snow,37.0,12.0,5.0,21.0
Leafing,156.0,69.0,183.0,22.0
Lewisham Homes,84.0,30.0,437.0,22.0
Lit Signs,,,1.0,
Litter/Litter Bin,886.0,516.0,1377.0,173.0
Manhole Covers,734.0,265.0,330.0,236.0
Manhole Defects,51.0,6.0,18.0,27.0
Missed Bin Collection,397.0,201.0,1316.0,84.0
Noise,47.0,12.0,8.0,28.0
Obstruction,1138.0,350.0,844.0,262.0
Open Spaces/Parks,7188.0,3014.0,6231.0,1918.0
Other,27520.0,8135.0,10899.0,15504.0
Overgrown Vegetation,3069.0,1189.0,1554.0,696.0
Parking,15712.0,3604.0,4576.0,12653.0
Pavement /Footway Defects,31665.0,11752.0,19821.0,12226.0
Pest Control,19.0,4.0,6.0,
Phoenix HA,12.0,12.0,30.0,
Potholes,95925.0,38183.0,56625.0,33580.0
Property Damage,63.0,24.0,26.0,19.0
Protected Trees,,,1.0,
Public Toilets,250.0,128.0,217.0,104.0
Recycling,345.0,204.0,47.0,93.0
Retaining Wall,16.0,9.0,6.0,3.0
Right of Way,1208.0,551.0,2141.0,342.0
Road Markings,912.0,354.0,797.0,203.0
Road Safety,23.0,6.0,7.0,7.0
Road Surface Defects,5116.0,1953.0,4948.0,968.0
Road Works,247.0,71.0,93.0,130.0
Road/Pavement Defects,3711.0,1268.0,3040.0,1643.0
Rubbish,16091.0,6352.0,11247.0,4913.0
Salt Bins,13.0,1.0,1.0,3.0
Shopping Trolley,129.0,103.0,386.0,35.0
Sign or Marking,7.0,6.0,2.0,1.0
Skips,47.0,7.0,16.0,21.0
Spillage on Road,116.0,52.0,109.0,19.0
Street Cleaning,13484.0,6972.0,18950.0,3203.0
Street Furniture,301.0,119.0,365.0,94.0
Street Lights,36213.0,10895.0,29440.0,18869.0
Street Name Plates,2104.0,670.0,1493.0,795.0
Street Signs,9206.0,4347.0,11369.0,2326.0
To Let Signs,2.0,1.0,19.0,1.0
Trade Waste,70.0,36.0,58.0,24.0
Traffic Lights,5284.0,2138.0,3855.0,2102.0
Trees and Hedges RoW,391.0,181.0,103.0,133.0
Trees on RoW,216.0,63.0,100.0,57.0
Trip Hazard,161.0,48.0,61.0,80.0
Untaxed Vehcile,53.0,9.0,11.0,37.0
Utility Works,207.0,95.0,102.0,52.0
Vehicle Access,4.0,,1.0,4.0
Zebra Crossing,2.0,1.0,3.0,1.0
