SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,99.0,107.0,102.0,107.0,104.0,96.0,82.0,78.0,73.0,54.0
Bus Stops Damage,23.0,21.0,32.0,29.0,37.0,32.0,30.0,19.0,23.0,31.0
Dog Fouling,167.0,191.0,156.0,280.0,192.0,197.0,153.0,136.0,111.0,73.0
Fallen/Dangerous Trees,95.0,98.0,90.0,121.0,151.0,166.0,144.0,145.0,158.0,208.0
Fly-tipping,1091.0,1029.0,601.0,1129.0,815.0,665.0,654.0,370.0,478.0,521.0
Flyposting,19.0,21.0,22.0,23.0,49.0,37.0,16.0,15.0,23.0,28.0
Graffiti,68.0,39.0,85.0,52.0,50.0,81.0,85.0,41.0,58.0,145.0
Highway Condition,335.0,421.0,373.0,479.0,467.0,685.0,529.0,628.0,805.0,911.0
Open Spaces/Parks,95.0,96.0,146.0,102.0,91.0,167.0,96.0,70.0,118.0,168.0
Other,430.0,392.0,371.0,401.0,399.0,442.0,370.0,326.0,360.0,405.0
Parking,263.0,255.0,229.0,252.0,272.0,315.0,195.0,174.0,193.0,224.0
Pavement /Footway Defects,370.0,420.0,364.0,292.0,427.0,542.0,320.0,353.0,377.0,565.0
Potholes,742.0,695.0,614.0,826.0,771.0,1096.0,968.0,1128.0,1672.0,1956.0
Public Toilets,3.0,5.0,3.0,2.0,7.0,2.0,2.0,4.0,11.0,10.0
Rubbish,470.0,404.0,294.0,419.0,356.0,381.0,286.0,179.0,183.0,249.0
Street Cleaning,264.0,182.0,210.0,171.0,184.0,234.0,160.0,123.0,167.0,211.0
Street Lights,521.0,653.0,631.0,606.0,512.0,824.0,560.0,555.0,551.0,728.0
Street Name Plates,30.0,30.0,24.0,18.0,31.0,27.0,24.0,28.0,21.0,31.0
Street Signs,64.0,59.0,57.0,85.0,60.0,150.0,100.0,93.0,116.0,184.0
Traffic Lights,34.0,60.0,51.0,45.0,41.0,70.0,63.0,42.0,50.0,54.0
