SHEF_B,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Abandoned Vehicles,7232,7213,6971,6698,6201,4854,5281
Bin Replacement,164,190,177,144,122,73,79
Bridge/Culvert Defects,262,236,236,223,196,89,108
Bus Stops Damage,985,905,865,791,734,672,703
Dangerous Building/Structure,119,119,111,101,72,91,90
Dog Fouling,4383,4292,4269,4031,3515,2725,3138
Drainage,5108,4960,4753,5119,4178,2418,2884
Environmental Health,264,212,224,188,201,202,184
Fences,43,41,30,45,41,23,13
Floral Displays,7,5,8,11,4,6,8
Gritting,83,74,70,99,61,19,27
Grounds Maintenance,457,472,488,467,404,208,185
Highways Enquiries,22586,22426,22559,21412,19500,15039,17122
Incivilities,7254,7009,6598,6466,5867,5385,6278
Open Spaces/Parks,4205,4170,3885,3599,3251,3104,3715
Other,18364,18270,17890,17454,15945,10983,12372
Overgrown/Fallen Veg/Trees,9182,9339,9139,8507,7352,4624,5449
Parking,7820,8159,8093,7932,7360,5815,6027
Pavement /Footway Defects,16075,16480,15928,15416,13866,10665,11930
Property Damage,18,22,17,20,22,13,23
Public Toilets,155,145,125,145,139,127,130
Retaining Wall,9,10,11,10,6,6,5
Right of Way,3381,3234,2778,2733,2519,2199,2362
Road Safety,10406,10489,10456,9981,8612,6437,7313
Road Surface Defects,61554,62082,60303,58294,51201,38372,43113
Rubbish,66511,62990,58478,55830,49666,41805,48862
Street Furniture,4061,3888,3763,3514,3059,2528,2907
Street Lights,23796,23873,23125,21941,19274,14690,17033
Utility Works,239,222,206,204,191,103,83
