SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2914.0,4064.0,4296.0,4898.0,4231.0,3642.0,3207.0,3099.0,2978.0,2816.0
Bridge/Culvert Defects,15.0,20.0,39.0,57.0,51.0,89.0,156.0,86.0,130.0,109.0
Bus Stops Damage,341.0,487.0,474.0,580.0,443.0,351.0,390.0,311.0,305.0,361.0
Dangerous Building/Structure,21.0,74.0,82.0,87.0,68.0,56.0,38.0,31.0,27.0,41.0
Dog Fouling,1356.0,1692.0,1695.0,1927.0,1818.0,1640.0,1522.0,1393.0,1184.0,1018.0
Environmental Health,22.0,93.0,95.0,133.0,125.0,81.0,73.0,98.0,99.0,76.0
Fences,4.0,14.0,20.0,21.0,29.0,22.0,18.0,19.0,15.0,20.0
Gritting,11.0,14.0,18.0,28.0,29.0,36.0,27.0,18.0,29.0,45.0
Grounds Maintenance,101.0,91.0,80.0,95.0,97.0,141.0,185.0,126.0,164.0,132.0
Open Spaces/Parks,1889.0,2582.0,2648.0,2798.0,1894.0,2056.0,1611.0,1811.0,1697.0,1820.0
Other,6635.0,7302.0,7132.0,7239.0,7421.0,7626.0,6871.0,7081.0,7236.0,7197.0
Parking,3626.0,4325.0,4515.0,4721.0,4597.0,4147.0,3991.0,3885.0,3178.0,3191.0
Pavement /Footway Defects,5512.0,6338.0,6737.0,7663.0,7846.0,7850.0,8193.0,8292.0,8374.0,10283.0
Property Damage,7.0,5.0,4.0,13.0,18.0,16.0,16.0,21.0,18.0,17.0
Public Toilets,48.0,61.0,67.0,85.0,83.0,67.0,93.0,68.0,62.0,68.0
Retaining Wall,7.0,1.0,14.0,4.0,1.0,6.0,7.0,5.0,7.0,5.0
Right of Way,314.0,650.0,1079.0,1502.0,1687.0,2117.0,1786.0,1990.0,2404.0,1846.0
Road Safety,2760.0,3274.0,3965.0,4395.0,4773.0,5000.0,5459.0,5341.0,6072.0,6468.0
Road Surface Defects,9863.0,12766.0,16505.0,19949.0,22906.0,27478.0,32838.0,36696.0,42177.0,42109.0
Rubbish,38759.0,49229.0,45517.0,47184.0,36496.0,28323.0,21628.0,20939.0,19509.0,18702.0
Street Furniture,1116.0,1271.0,1838.0,2748.0,2455.0,1407.0,1797.0,2781.0,1642.0,1732.0
Street Lights,6790.0,8013.0,8365.0,9604.0,10791.0,9767.0,10948.0,10796.0,10817.0,12985.0
Utility Works,10.0,28.0,60.0,44.0,63.0,40.0,89.0,79.0,110.0,91.0
