SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3490.0,4231.0,4679.0,4582.0,4616.0,4710.0,4520.0,3901.0,3877.0,3066.0
Bin Replacement,90.0,169.0,143.0,132.0,125.0,112.0,75.0,43.0,38.0,22.0
Bridge/Culvert Defects,233.0,261.0,148.0,135.0,111.0,95.0,100.0,90.0,88.0,89.0
Bus Stops Damage,389.0,445.0,459.0,534.0,496.0,586.0,491.0,482.0,463.0,365.0
Dangerous Building/Structure,34.0,51.0,88.0,124.0,109.0,103.0,86.0,60.0,44.0,4.0
Dog Fouling,2690.0,2613.0,2400.0,2338.0,1966.0,1949.0,2098.0,1632.0,1772.0,1771.0
Drainage,4379.0,4413.0,3489.0,2561.0,2566.0,2798.0,2792.0,2561.0,2107.0,1727.0
Environmental Health,241.0,106.0,156.0,176.0,192.0,212.0,144.0,94.0,97.0,57.0
Fences,29.0,31.0,26.0,29.0,15.0,28.0,10.0,28.0,17.0,23.0
Floral Displays,,3.0,1.0,7.0,10.0,6.0,8.0,5.0,6.0,3.0
Gritting,84.0,75.0,47.0,26.0,39.0,32.0,41.0,34.0,36.0,19.0
Grounds Maintenance,475.0,403.0,351.0,326.0,273.0,212.0,162.0,194.0,126.0,159.0
Highways Enquiries,15657.0,16247.0,14563.0,12109.0,11555.0,11954.0,11811.0,10829.0,9548.0,9017.0
Incivilities,4465.0,5344.0,5818.0,5367.0,5096.0,3910.0,4298.0,2985.0,2792.0,2446.0
Open Spaces/Parks,1517.0,2240.0,2210.0,2684.0,2540.0,2393.0,2581.0,2278.0,2242.0,2570.0
Other,11559.0,12411.0,11563.0,9820.0,10012.0,9905.0,10061.0,8804.0,8274.0,8225.0
Overgrown/Fallen Veg/Trees,4562.0,5026.0,5043.0,4483.0,5062.0,5363.0,5594.0,5098.0,5674.0,5071.0
Parking,4525.0,5461.0,5300.0,5235.0,4806.0,4363.0,4345.0,4400.0,4077.0,3714.0
Pavement /Footway Defects,8623.0,9280.0,9346.0,8812.0,8608.0,9183.0,9752.0,8980.0,8353.0,8875.0
Property Damage,10.0,13.0,13.0,3.0,18.0,15.0,13.0,20.0,20.0,10.0
Public Toilets,119.0,120.0,98.0,109.0,87.0,92.0,61.0,52.0,64.0,50.0
Retaining Wall,1.0,13.0,18.0,5.0,4.0,10.0,2.0,,4.0,
Right of Way,3219.0,2744.0,1910.0,1732.0,1804.0,1919.0,1499.0,1648.0,1418.0,1313.0
Road Safety,7565.0,7302.0,7025.0,5931.0,5537.0,5459.0,5312.0,5217.0,4581.0,4125.0
Road Surface Defects,47151.0,41097.0,34107.0,30740.0,30045.0,31022.0,32166.0,31407.0,28497.0,25033.0
Rubbish,40096.0,48739.0,53609.0,45029.0,45121.0,34465.0,31424.0,24188.0,19889.0,16014.0
Street Furniture,1161.0,1680.0,1783.0,3996.0,2806.0,2428.0,2763.0,2387.0,2436.0,1600.0
Street Lights,10146.0,11324.0,11058.0,11076.0,11555.0,12077.0,13138.0,13710.0,14817.0,16366.0
Utility Works,212.0,216.0,160.0,166.0,117.0,127.0,100.0,57.0,64.0,29.0
