SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,4485.0,5088.0,5180.0,5007.0,4491.0,4296.0,4154.0,3464.0,3154.0,2353.0
Bin Replacement,156.0,196.0,210.0,124.0,58.0,48.0,65.0,40.0,20.0,32.0
Bridge/Culvert Defects,128.0,218.0,142.0,167.0,119.0,131.0,105.0,111.0,105.0,124.0
Bus Stops Damage,506.0,454.0,501.0,469.0,469.0,623.0,465.0,449.0,408.0,366.0
Dangerous Building/Structure,95.0,161.0,154.0,133.0,65.0,30.0,14.0,19.0,21.0,11.0
Dog Fouling,2522.0,2563.0,2281.0,2222.0,1834.0,2190.0,1917.0,1977.0,1778.0,1945.0
Drainage,3796.0,3416.0,3263.0,3427.0,2914.0,2807.0,2533.0,2612.0,2539.0,2086.0
Environmental Health,234.0,155.0,231.0,211.0,183.0,167.0,167.0,80.0,36.0,11.0
Fences,24.0,16.0,26.0,28.0,23.0,28.0,20.0,22.0,29.0,20.0
Floral Displays,,3.0,7.0,12.0,7.0,10.0,4.0,3.0,3.0,
Gritting,57.0,58.0,63.0,54.0,41.0,42.0,24.0,31.0,26.0,37.0
Grounds Maintenance,363.0,330.0,355.0,373.0,265.0,265.0,228.0,179.0,135.0,188.0
Highways Enquiries,15417.0,14764.0,14089.0,13678.0,12891.0,11569.0,11801.0,10442.0,10187.0,8452.0
Incivilities,6834.0,6812.0,7464.0,5573.0,3996.0,2852.0,3160.0,1769.0,2137.0,1924.0
Open Spaces/Parks,1901.0,2291.0,2792.0,2526.0,2540.0,2690.0,2286.0,2121.0,1904.0,2204.0
Other,12108.0,11488.0,11186.0,10639.0,10358.0,9147.0,10085.0,9139.0,8819.0,7665.0
Overgrown/Fallen Veg/Trees,4270.0,4471.0,5372.0,5174.0,5170.0,5437.0,5420.0,5409.0,5250.0,5003.0
Parking,4986.0,5318.0,5264.0,5114.0,4757.0,4551.0,4545.0,4221.0,3942.0,3528.0
Pavement /Footway Defects,9323.0,9346.0,9451.0,8987.0,9196.0,8565.0,9516.0,8662.0,8688.0,8078.0
Property Damage,11.0,5.0,7.0,11.0,13.0,19.0,9.0,22.0,25.0,13.0
Public Toilets,118.0,131.0,111.0,93.0,81.0,59.0,77.0,67.0,64.0,51.0
Retaining Wall,1.0,8.0,11.0,12.0,10.0,6.0,4.0,1.0,1.0,3.0
Right of Way,2176.0,2353.0,2668.0,2068.0,1829.0,1993.0,1771.0,1584.0,1485.0,1279.0
Road Safety,7638.0,7270.0,6776.0,6342.0,6030.0,5469.0,5215.0,4905.0,4593.0,3816.0
Road Surface Defects,40590.0,33332.0,33873.0,33736.0,33840.0,33154.0,34234.0,32615.0,31299.0,24592.0
Rubbish,59635.0,66119.0,64230.0,48975.0,30338.0,22436.0,22015.0,16910.0,14833.0,13083.0
Street Furniture,1228.0,1887.0,4054.0,3414.0,2657.0,3091.0,2598.0,1728.0,1387.0,996.0
Street Lights,9945.0,10331.0,10126.0,11159.0,12151.0,12281.0,14348.0,14318.0,15426.0,15182.0
Utility Works,155.0,179.0,185.0,145.0,149.0,117.0,112.0,104.0,68.0,34.0
