SHEF_B,No Photo,Photo
Abandoned Vehicles,27142,17308
Bin Replacement,550,399
Bridge/Culvert Defects,1017,333
Bus Stops Damage,3679,1976
Dangerous Building/Structure,504,199
Dog Fouling,20310,6043
Drainage,21726,7694
Environmental Health,1292,183
Fences,156,80
Floral Displays,25,24
Gritting,390,43
Grounds Maintenance,2316,365
Highways Enquiries,108169,32475
Incivilities,21964,22893
Open Spaces/Parks,13475,12454
Other,85405,25873
Overgrown/Fallen Veg/Trees,39027,14565
Parking,29844,21362
Pavement /Footway Defects,58397,41963
Property Damage,82,53
Public Toilets,761,205
Retaining Wall,18,39
Right of Way,11936,7270
Road Safety,49175,14519
Road Surface Defects,309415,65504
Rubbish,180819,203323
Street Furniture,13969,9751
Street Lights,122572,21160
Utility Works,1016,232
