SHEF_B,A1,B1,C1,C2,D1,D2,E1,E2
Abandoned Vehicles,18417.0,822.0,17981.0,88.0,2777.0,75.0,2315.0,99.0
Bin Replacement,519.0,,336.0,,69.0,,24.0,1.0
Bridge/Culvert Defects,15.0,,541.0,10.0,236.0,1.0,510.0,37.0
Bus Stops Damage,1767.0,271.0,2459.0,12.0,287.0,6.0,182.0,6.0
Dangerous Building/Structure,598.0,,69.0,,7.0,,29.0,
Dog Fouling,6978.0,1097.0,11408.0,155.0,2055.0,141.0,949.0,103.0
Drainage,5054.0,,12026.0,142.0,4439.0,87.0,7229.0,416.0
Environmental Health,663.0,,471.0,,117.0,,224.0,
Fences,16.0,,153.0,1.0,29.0,,36.0,1.0
Floral Displays,46.0,,3.0,,,,,
Gritting,65.0,,154.0,5.0,57.0,,135.0,17.0
Grounds Maintenance,280.0,,1446.0,2.0,503.0,2.0,436.0,12.0
Highways Enquiries,39848.0,5022.0,51428.0,223.0,12566.0,483.0,18019.0,1344.0
Incivilities,24138.0,1625.0,15411.0,40.0,1289.0,22.0,933.0,22.0
Open Spaces/Parks,10725.0,1059.0,10602.0,52.0,1165.0,47.0,712.0,47.0
Other,28220.0,3820.0,50990.0,222.0,9665.0,309.0,10739.0,573.0
Overgrown/Fallen Veg/Trees,13634.0,1086.0,24655.0,129.0,5854.0,86.0,6627.0,285.0
Parking,16228.0,2070.0,25137.0,116.0,3319.0,138.0,1493.0,107.0
Pavement /Footway Defects,30341.0,3730.0,45508.0,188.0,7859.0,281.0,5612.0,332.0
Property Damage,,,106.0,,10.0,,19.0,
Public Toilets,219.0,35.0,431.0,4.0,110.0,16.0,77.0,9.0
Retaining Wall,,,50.0,,4.0,,3.0,
Right of Way,4066.0,,7129.0,52.0,2288.0,41.0,5269.0,361.0
Road Safety,16043.0,1677.0,27396.0,110.0,5675.0,128.0,8127.0,378.0
Road Surface Defects,70919.0,7425.0,138464.0,600.0,42990.0,1014.0,75270.0,5058.0
Rubbish,207370.0,15985.0,102643.0,358.0,16501.0,343.0,27179.0,694.0
Street Furniture,13444.0,402.0,7156.0,25.0,967.0,11.0,1272.0,27.0
Street Lights,32750.0,4876.0,71317.0,569.0,13828.0,433.0,7237.0,405.0
Utility Works,122.0,,812.0,,173.0,,141.0,
