SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,105.0,109.0,128.0,141.0,195.0,149.0,264.0,179.0,212.0,320.0
Bus Stops Damage,25.0,46.0,50.0,66.0,51.0,80.0,93.0,63.0,98.0,89.0
Dog Fouling,147.0,360.0,255.0,208.0,293.0,218.0,261.0,266.0,887.0,417.0
Highways Enquiries,1783.0,1428.0,975.0,971.0,1092.0,941.0,958.0,1011.0,1080.0,1213.0
Incivilities,45.0,73.0,88.0,97.0,101.0,110.0,164.0,142.0,205.0,285.0
Open Spaces/Parks,110.0,165.0,166.0,180.0,142.0,175.0,126.0,133.0,135.0,165.0
Other,649.0,656.0,604.0,627.0,618.0,610.0,601.0,588.0,722.0,936.0
Overgrown/Fallen Veg/Trees,146.0,133.0,127.0,139.0,111.0,115.0,121.0,109.0,96.0,113.0
Parking,85.0,157.0,205.0,212.0,239.0,266.0,273.0,318.0,371.0,425.0
Pavement /Footway Defects,362.0,614.0,500.0,638.0,597.0,640.0,687.0,652.0,767.0,892.0
Public Toilets,12.0,2.0,3.0,2.0,4.0,9.0,3.0,8.0,6.0,14.0
Road Safety,370.0,382.0,365.0,349.0,363.0,382.0,442.0,474.0,454.0,493.0
Road Surface Defects,6941.0,4507.0,2494.0,2480.0,2768.0,2469.0,3022.0,2473.0,2817.0,2677.0
Rubbish,1225.0,1029.0,715.0,747.0,924.0,919.0,1485.0,1193.0,1883.0,2571.0
Street Furniture,25.0,46.0,61.0,44.0,38.0,46.0,26.0,32.0,40.0,37.0
Street Lights,611.0,1167.0,1265.0,1204.0,1121.0,1221.0,1268.0,1283.0,1299.0,1225.0
