SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,151.0,170.0,150.0,206.0,158.0,140.0,95.0,110.0,101.0,112.0
Bus Stops Damage,50.0,50.0,54.0,64.0,42.0,44.0,36.0,77.0,65.0,55.0
Dog Fouling,403.0,281.0,170.0,479.0,181.0,185.0,214.0,128.0,140.0,238.0
Open Spaces/Parks,116.0,92.0,103.0,138.0,150.0,107.0,88.0,107.0,115.0,119.0
Other,434.0,375.0,424.0,414.0,423.0,427.0,473.0,427.0,416.0,521.0
Parking,236.0,272.0,220.0,233.0,188.0,192.0,216.0,154.0,193.0,168.0
Pavement /Footway Defects,363.0,394.0,387.0,402.0,425.0,486.0,552.0,577.0,570.0,600.0
Public Toilets,5.0,1.0,2.0,11.0,3.0,10.0,8.0,6.0,3.0,6.0
Road Safety,236.0,171.0,207.0,248.0,231.0,348.0,454.0,361.0,392.0,409.0
Road Surface Defects,1827.0,1741.0,1387.0,1829.0,2026.0,2789.0,3169.0,3590.0,3105.0,4017.0
Rubbish,981.0,1006.0,1003.0,1056.0,1057.0,1036.0,1452.0,989.0,906.0,1013.0
Street Furniture,18.0,17.0,11.0,35.0,30.0,24.0,39.0,25.0,28.0,27.0
Street Lights,699.0,741.0,658.0,711.0,789.0,929.0,978.0,987.0,996.0,1071.0
