SHEF_B,2-20 Reports,21-50 Reports,50+ Reports,One Report
Abandoned Vehicles,13559.0,3823.0,4624.0,9522.0
Bridge/Culvert Defects,197.0,103.0,58.0,40.0
Bus Stops Damage,1407.0,574.0,1483.0,594.0
Dangerous Building/Structure,206.0,79.0,104.0,128.0
Dog Fouling,6720.0,2564.0,3646.0,3876.0
Environmental Health,311.0,122.0,166.0,99.0
Fences,74.0,31.0,28.0,27.0
Gritting,101.0,27.0,42.0,36.0
Grounds Maintenance,348.0,121.0,169.0,159.0
Open Spaces/Parks,7190.0,3015.0,6234.0,1921.0
Other,27792.0,8219.0,12806.0,15599.0
Parking,15712.0,3604.0,4576.0,12653.0
Pavement /Footway Defects,30202.0,11106.0,18960.0,11785.0
Property Damage,63.0,24.0,26.0,19.0
Public Toilets,250.0,128.0,217.0,104.0
Retaining Wall,16.0,9.0,6.0,3.0
Right of Way,4122.0,1607.0,3956.0,1151.0
Road Safety,15502.0,6864.0,16077.0,4645.0
Road Surface Defects,105730.0,41817.0,65013.0,36509.0
Rubbish,86261.0,45627.0,116243.0,20513.0
Street Furniture,4613.0,1935.0,4988.0,1162.0
Street Lights,36213.0,10895.0,29440.0,18869.0
Utility Works,207.0,95.0,102.0,52.0
