SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,125.0,103.0,61.0,76.0,95.0,90.0,53.0,72.0,39.0,41.0
Bus Stops Damage,42.0,26.0,30.0,27.0,25.0,46.0,16.0,17.0,18.0,12.0
Dog Fouling,111.0,265.0,134.0,165.0,119.0,157.0,134.0,83.0,105.0,45.0
Open Spaces/Parks,139.0,142.0,87.0,127.0,76.0,116.0,95.0,100.0,97.0,62.0
Other,462.0,419.0,265.0,355.0,350.0,326.0,270.0,253.0,272.0,230.0
Parking,343.0,252.0,186.0,277.0,198.0,270.0,199.0,152.0,129.0,104.0
Pavement /Footway Defects,425.0,382.0,241.0,338.0,399.0,479.0,370.0,330.0,337.0,342.0
Public Toilets,4.0,3.0,4.0,2.0,5.0,6.0,5.0,4.0,11.0,2.0
Road Safety,183.0,161.0,81.0,128.0,133.0,163.0,124.0,89.0,125.0,117.0
Road Surface Defects,632.0,783.0,637.0,748.0,939.0,1040.0,973.0,1018.0,1070.0,1146.0
Rubbish,2518.0,1902.0,1548.0,1382.0,1022.0,1040.0,913.0,534.0,454.0,381.0
Street Furniture,13.0,17.0,18.0,22.0,27.0,28.0,24.0,13.0,21.0,16.0
Street Lights,465.0,597.0,383.0,514.0,654.0,676.0,524.0,498.0,424.0,717.0
