SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,99.0,107.0,102.0,107.0,104.0,96.0,82.0,78.0,73.0,54.0
Bus Stops Damage,23.0,21.0,32.0,29.0,37.0,32.0,30.0,19.0,23.0,31.0
Dog Fouling,167.0,191.0,156.0,280.0,192.0,197.0,153.0,136.0,111.0,73.0
Highways Enquiries,335.0,421.0,373.0,479.0,467.0,685.0,529.0,628.0,805.0,911.0
Incivilities,87.0,60.0,107.0,75.0,99.0,118.0,101.0,56.0,81.0,173.0
Open Spaces/Parks,95.0,96.0,146.0,102.0,91.0,167.0,96.0,70.0,118.0,168.0
Other,430.0,392.0,371.0,401.0,399.0,442.0,370.0,326.0,360.0,405.0
Overgrown/Fallen Veg/Trees,95.0,98.0,90.0,121.0,151.0,166.0,144.0,145.0,158.0,208.0
Parking,263.0,255.0,229.0,252.0,272.0,315.0,195.0,174.0,193.0,224.0
Pavement /Footway Defects,370.0,420.0,364.0,292.0,427.0,542.0,320.0,353.0,377.0,565.0
Public Toilets,3.0,5.0,3.0,2.0,7.0,2.0,2.0,4.0,11.0,10.0
Road Safety,98.0,119.0,108.0,130.0,101.0,220.0,163.0,135.0,166.0,238.0
Road Surface Defects,742.0,695.0,614.0,826.0,771.0,1096.0,968.0,1128.0,1672.0,1956.0
Rubbish,1825.0,1615.0,1105.0,1719.0,1355.0,1280.0,1100.0,672.0,828.0,981.0
Street Furniture,30.0,30.0,24.0,18.0,31.0,27.0,24.0,28.0,21.0,31.0
Street Lights,521.0,653.0,631.0,606.0,512.0,824.0,560.0,555.0,551.0,728.0
