year,1,2,3,4,5,6,7,8,9,10
2007,831,917,942,1196,1011,1014,1105,966,951,1003
2008,1977,2019,2086,2312,2191,2333,2599,2181,2347,2431
2009,3670,3649,3722,4148,4202,4339,4599,4241,4287,4164
2010,4324,4619,4621,5464,5570,5929,6332,5882,6220,6600
2011,5379,5451,5062,5988,5847,6393,6688,6704,6983,6862
2012,5543,5666,5806,6237,6614,7078,7383,7528,7385,7454
2013,6290,6492,6461,7283,8174,8998,9909,9489,9464,9369
2014,7454,8864,8392,9274,10024,10497,11880,11651,11819,11438
2015,8889,11333,11265,11678,11456,11802,12515,12666,12031,10962
2016,11517,16180,15518,15771,15684,16223,15649,15422,14765,13911
2017,12538,15754,15493,16360,16274,16761,16113,16167,15873,15221
2018,15589,18846,18846,20553,20917,22655,21701,22617,22327,20730
2019,19478,23348,25591,27821,28003,27379,27067,27432,26148,23620
2020,23300,27589,31442,33967,35516,35508,36304,38037,34317,34411
