year,1,2,3,4,5,6,7,8,9,10
2007,756,725,803,748,759,915,843,896,1175,1297
2008,1978,1638,1607,1738,1603,1459,1723,1877,2025,2220
2009,4004,3409,3278,3442,3281,3349,3187,3525,3882,4248
2010,6594,4998,4692,4702,4544,4448,4263,4412,4877,4716
2011,7029,5201,4913,5146,4887,4821,4734,4868,4939,4805
2012,8420,6223,5605,5234,5213,5291,5196,5400,5812,5403
2013,12482,7836,7095,6694,6548,6805,6368,6510,6433,6410
2014,14089,9830,9088,8377,8784,8097,7989,8470,8279,8298
2015,13655,10091,9616,9210,9637,9135,9814,10792,10958,11048
2016,17557,12289,11488,11429,12247,12080,13538,14919,16038,15594
2017,19121,13017,11943,11954,13115,12283,14615,14728,15249,16605
2018,29101,17858,15495,15234,16584,16131,18293,18916,18087,18883
2019,37145,22739,18961,18918,21449,21735,23116,24785,24389,24281
2020,54697,31499,26689,26023,27874,28272,28399,29269,30255,26192
