year,1,2,3,4,5,6,7,8,9,10
2007,1178,1144,1290,996,800,717,772,789,653,578
2008,2150,2317,2250,1891,1560,1590,1763,1538,1579,1230
2009,4738,4284,4090,3678,3340,3383,3344,3002,3041,2705
2010,6113,5724,5254,4963,4512,4625,4842,4257,4061,3895
2011,6328,5931,5521,5479,4897,4858,5121,4814,4480,3914
2012,7418,6877,6350,6037,5495,5545,5684,4919,5091,4381
2013,9604,8140,7917,7745,7238,7128,7245,6576,6284,5304
2014,11412,9808,9961,9654,9516,8819,9397,8218,7415,7101
2015,12690,12371,13187,12237,10495,9711,10084,8491,8030,6660
2016,17718,18939,17326,16550,13379,11633,12272,10205,9841,9316
2017,18601,18775,18630,16141,13755,12573,12433,11522,11128,9072
2018,22937,23220,23511,21204,18056,16589,16654,15561,14769,12081
2019,29441,31960,32878,27538,23083,20380,20201,18358,17797,15882
2020,38374,39273,41907,35760,30349,26522,27080,24754,24193,20957
