year,1,2,3,4,5,6,7,8,9,10
2007,1865,943,825,847,806,869,660,630,678,794
2008,2711,1778,1674,1832,1642,2157,1668,1469,1455,1482
2009,4949,3834,3765,3690,3550,3457,3100,3061,3067,3132
2010,5485,5137,5103,5142,4619,4812,4488,4357,4376,4727
2011,5360,5372,5651,5816,5450,5133,4729,4659,4505,4668
2012,6478,5799,6085,6367,5787,5647,5344,5557,5413,5320
2013,7390,7598,8183,7884,7178,7074,6835,7005,6843,7191
2014,9620,10413,10890,10206,8716,8613,8334,8152,8208,8149
2015,15418,13462,11524,11021,9639,9581,9021,8446,8231,7613
2016,24727,19630,14300,13442,12089,11368,11037,10588,10090,9908
2017,24155,19363,15713,14087,12254,12170,12090,11816,10804,10178
2018,27772,25004,20643,17494,15748,15576,16340,17018,15493,13494
2019,40737,34908,26725,20935,19228,17497,19118,20144,20196,18030
2020,47537,41298,32812,26450,25499,25085,28241,29765,28084,24398
