year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,,209.0,1300.0,1236.0,1046.0,849.0,837.0,930.0,896.0,858.0,765.0,1012.0
2008,2003.0,1803.0,2124.0,1972.0,1379.0,1460.0,1938.0,1616.0,2027.0,1762.0,2200.0,2200.0
2009,3268.0,3692.0,4309.0,4212.0,3182.0,3203.0,3768.0,3130.0,3141.0,2887.0,3048.0,3188.0
2010,6386.0,5602.0,6339.0,5211.0,3769.0,4554.0,4034.0,3690.0,3914.0,4107.0,4306.0,3656.0
2011,9188.0,7842.0,6586.0,4480.0,4342.0,3958.0,3599.0,4053.0,4028.0,4360.0,4616.0,4315.0
2012,6966.0,5874.0,6499.0,4966.0,5167.0,5301.0,5742.0,4739.0,4248.0,5171.0,5680.0,6357.0
2013,10114.0,10598.0,10642.0,7930.0,5457.0,5045.0,5154.0,4424.0,5373.0,5166.0,6250.0,5791.0
2014,11331.0,11897.0,9283.0,6562.0,6328.0,11310.0,8352.0,7045.0,7233.0,7316.0,7868.0,6779.0
2015,10409.0,10987.0,11728.0,9358.0,8694.0,8939.0,9808.0,8775.0,8787.0,9059.0,8929.0,9138.0
2016,14429.0,14529.0,15232.0,12458.0,11022.0,12679.0,13369.0,12762.0,12175.0,11170.0,10600.0,10237.0
2017,14618.0,16079.0,17123.0,11942.0,11864.0,12569.0,12786.0,12329.0,11783.0,12633.0,11855.0,10998.0
2018,21675.0,18715.0,21804.0,20997.0,16775.0,15331.0,14976.0,13999.0,14439.0,15465.0,14807.0,15891.0
2019,19160.0,18833.0,20326.0,17894.0,17770.0,22099.0,23523.0,22648.0,20670.0,22648.0,24708.0,25645.0
2020,35969.0,36054.0,29370.0,15278.0,21017.0,26041.0,27424.0,28545.0,28856.0,27517.0,28063.0,26312.0
