year,1,2,3,4,5,6,7,8,9,10
2007,30.0,14.0,18.0,32.0,20.0,21.0,32.0,19.0,12.0,43.0
2008,66.0,51.0,58.0,66.0,45.0,41.0,86.0,71.0,53.0,62.0
2009,167.0,138.0,112.0,117.0,106.0,104.0,127.0,129.0,124.0,129.0
2010,282.0,186.0,168.0,162.0,120.0,141.0,176.0,172.0,181.0,181.0
2011,214.0,234.0,186.0,151.0,146.0,205.0,220.0,211.0,222.0,195.0
2012,285.0,316.0,248.0,184.0,133.0,238.0,226.0,193.0,237.0,226.0
2013,295.0,222.0,190.0,175.0,149.0,199.0,173.0,205.0,259.0,225.0
2014,632.0,479.0,301.0,317.0,269.0,286.0,345.0,330.0,357.0,395.0
2015,617.0,400.0,265.0,319.0,286.0,325.0,352.0,375.0,356.0,424.0
2016,1076.0,508.0,376.0,444.0,333.0,355.0,509.0,434.0,400.0,527.0
2017,1074.0,599.0,435.0,359.0,365.0,418.0,484.0,487.0,508.0,615.0
2018,1104.0,975.0,587.0,579.0,619.0,603.0,681.0,803.0,813.0,892.0
2019,1007.0,807.0,615.0,778.0,787.0,706.0,691.0,965.0,940.0,961.0
2020,960.0,925.0,709.0,937.0,966.0,837.0,707.0,1079.0,1113.0,1100.0
