SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3091.0,5405.0,7409.0,7999.0,7511.0,6916.0,6536.0,7394.0,7331.0,7861.0
Accumulated Litter,90.0,245.0,467.0,224.0,459.0,703.0,616.0,883.0,1471.0,2289.0
Admin,,63.0,150.0,104.0,97.0,227.0,81.0,241.0,205.0,212.0
Barriers/Bollards on RoW,20.0,50.0,38.0,40.0,56.0,77.0,57.0,106.0,85.0,233.0
Benches/Bicycle Racks,4.0,6.0,15.0,23.0,4.0,3.0,11.0,6.0,11.0,75.0
Bin Collection,4.0,27.0,29.0,48.0,62.0,61.0,47.0,92.0,94.0,152.0
Bin Repair/Replacement,10.0,38.0,60.0,116.0,92.0,172.0,134.0,133.0,150.0,295.0
Blocked Drains,854.0,1464.0,1898.0,2278.0,2885.0,3730.0,4908.0,6986.0,7988.0,8251.0
Bridge/Culvert Defects,102.0,149.0,188.0,215.0,208.0,328.0,339.0,527.0,523.0,336.0
Broken Fire Hydrant,,1.0,,,,,,,1.0,
Broken Kerbs,66.0,85.0,128.0,127.0,102.0,169.0,214.0,319.0,399.0,325.0
Bus Stops Damage,438.0,520.0,537.0,506.0,649.0,507.0,518.0,450.0,565.0,815.0
C.C.T.V Faults,3.0,,,,,,,,,
Countryside RoW,,1.0,,1.0,6.0,10.0,13.0,2.0,1.0,
Dangerous Building/Structure,7.0,34.0,32.0,60.0,40.0,56.0,53.0,49.0,92.0,184.0
Dead Animals,33.0,383.0,639.0,746.0,949.0,799.0,803.0,1023.0,707.0,915.0
Debris/Spillage,35.0,102.0,167.0,210.0,234.0,318.0,387.0,518.0,487.0,531.0
Demo,,,4.0,1.0,3.0,4.0,5.0,12.0,11.0,3.0
Discarded Syringes,,51.0,37.0,27.0,29.0,6.0,20.0,7.0,,
Dog Fouling,1585.0,2373.0,2730.0,2981.0,2971.0,2862.0,2586.0,2610.0,2472.0,2414.0
Dog Litter Bin,,9.0,25.0,31.0,36.0,52.0,57.0,26.0,35.0,35.0
Dumped Rubbish,278.0,2548.0,2884.0,1411.0,3210.0,3083.0,3944.0,4732.0,5357.0,3116.0
Environmental Health,11.0,29.0,26.0,8.0,5.0,12.0,19.0,7.0,32.0,59.0
Fallen/Dangerous Trees,1836.0,2653.0,3085.0,3480.0,4047.0,4816.0,4911.0,5696.0,6626.0,6835.0
Fences,8.0,29.0,42.0,56.0,62.0,49.0,64.0,64.0,43.0,42.0
Flooding,320.0,556.0,708.0,709.0,757.0,1150.0,975.0,1470.0,1444.0,1141.0
Floral displays,,7.0,11.0,4.0,14.0,18.0,31.0,30.0,31.0,23.0
Fly-tipping,23596.0,24195.0,30626.0,29655.0,28612.0,35730.0,25514.0,34014.0,33352.0,34056.0
Flyposting,460.0,478.0,641.0,605.0,726.0,662.0,757.0,771.0,933.0,1015.0
Garden Waste,,71.0,302.0,206.0,252.0,524.0,250.0,623.0,659.0,588.0
Gates/Stiles RoW,,6.0,4.0,7.0,12.0,29.0,55.0,92.0,138.0,
General Highways Enquiries,246.0,292.0,610.0,391.0,560.0,628.0,819.0,1038.0,1592.0,2173.0
Graffiti,1784.0,2623.0,3026.0,2897.0,4092.0,4148.0,4064.0,5580.0,7290.0,11164.0
Grass/Weed Control,266.0,678.0,1041.0,1116.0,1401.0,1852.0,2441.0,3160.0,3481.0,2824.0
Grids and Drains,43.0,20.0,20.0,35.0,36.0,26.0,23.0,6.0,23.0,66.0
Grit Bins,48.0,52.0,63.0,73.0,63.0,102.0,82.0,85.0,46.0,127.0
Gritting,11.0,4.0,9.0,5.0,13.0,19.0,21.0,31.0,57.0,45.0
Grounds Maintenance,,,1.0,1.0,2.0,2.0,2.0,11.0,10.0,5.0
Gullies,509.0,421.0,440.0,376.0,423.0,446.0,695.0,803.0,1039.0,2210.0
Gully/Manhole Defects,72.0,152.0,189.0,186.0,235.0,176.0,210.0,379.0,582.0,425.0
Highway Condition,7575.0,9250.0,9820.0,11387.0,11368.0,12775.0,14807.0,16716.0,18626.0,18280.0
Highway Drainage,,6.0,3.0,3.0,23.0,30.0,20.0,54.0,46.0,26.0
Ice & Snow,6.0,9.0,8.0,24.0,21.0,21.0,33.0,53.0,81.0,79.0
Leafing,6.0,73.0,108.0,75.0,126.0,211.0,245.0,280.0,392.0,483.0
Lewisham Homes,,9.0,98.0,39.0,91.0,172.0,87.0,115.0,83.0,47.0
Lit Signs,,,,,,,,,1.0,
Litter/Litter Bin,298.0,643.0,1160.0,784.0,1203.0,1422.0,1804.0,1878.0,2425.0,5395.0
Manhole Covers,263.0,387.0,674.0,737.0,744.0,734.0,926.0,930.0,1063.0,1268.0
Manhole Defects,,16.0,34.0,23.0,27.0,27.0,34.0,37.0,18.0,44.0
Missed Bin Collection,,41.0,135.0,192.0,196.0,431.0,319.0,439.0,407.0,379.0
Noise,12.0,8.0,14.0,16.0,18.0,28.0,15.0,6.0,1.0,9.0
Obstruction,1309.0,1732.0,2319.0,1888.0,2124.0,2188.0,2093.0,2537.0,2205.0,2942.0
Open Spaces/Parks,1827.0,2663.0,3283.0,2951.0,3227.0,3599.0,3061.0,3388.0,3289.0,2597.0
Other,8682.0,10019.0,11111.0,11285.0,10996.0,11602.0,12181.0,12820.0,13212.0,14256.0
Overgrown Vegetation,1020.0,2096.0,2964.0,2698.0,3456.0,4544.0,5675.0,6597.0,5824.0,4691.0
Parking,4175.0,4934.0,5169.0,5394.0,5308.0,5144.0,5177.0,5009.0,5006.0,5287.0
Pavement /Footway Defects,6829.0,8575.0,10707.0,12505.0,11471.0,13161.0,14617.0,16439.0,18728.0,24619.0
Pest Control,7.0,6.0,2.0,9.0,3.0,1.0,3.0,2.0,,13.0
Phoenix HA,,27.0,26.0,28.0,1.0,,,,,
Potholes,15984.0,19580.0,23325.0,27194.0,31885.0,40683.0,49399.0,62005.0,71539.0,58813.0
Property Damage,5.0,15.0,21.0,25.0,26.0,23.0,39.0,51.0,56.0,63.0
Protected Trees,,,1.0,,,,1.0,,,1.0
Public Toilets,32.0,63.0,69.0,97.0,87.0,86.0,122.0,141.0,117.0,162.0
Recycling,77.0,155.0,22.0,41.0,9.0,39.0,53.0,42.0,84.0,430.0
Retaining Wall,23.0,13.0,33.0,8.0,17.0,19.0,18.0,29.0,17.0,100.0
Right of Way,332.0,377.0,608.0,1335.0,1257.0,966.0,953.0,1621.0,1256.0,719.0
Road Markings,426.0,663.0,970.0,1043.0,1174.0,1644.0,1697.0,2178.0,2196.0,2073.0
Road Safety,19.0,48.0,73.0,51.0,45.0,79.0,69.0,77.0,21.0,7.0
Road Surface Defects,1368.0,2513.0,4344.0,3552.0,5115.0,6200.0,7603.0,11217.0,10300.0,11374.0
Road Works,82.0,178.0,366.0,468.0,372.0,457.0,522.0,551.0,699.0,655.0
Road/Pavement Defects,60.0,557.0,875.0,959.0,1279.0,942.0,1093.0,1201.0,2061.0,3678.0
Rubbish,5121.0,5094.0,4945.0,5040.0,5094.0,4953.0,4269.0,4652.0,5054.0,6456.0
