SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2613.0,4063.0,5057.0,6986.0,7054.0,6918.0,7850.0,7182.0,8021.0,11709.0
Accumulated Litter,60.0,347.0,170.0,136.0,345.0,460.0,638.0,1092.0,1653.0,2546.0
Admin,10.0,35.0,166.0,300.0,225.0,294.0,104.0,164.0,82.0,
Barriers/Bollards on RoW,17.0,65.0,38.0,25.0,46.0,110.0,71.0,113.0,113.0,164.0
Benches/Bicycle Racks,11.0,5.0,8.0,7.0,17.0,31.0,11.0,8.0,47.0,13.0
Bin Collection,2.0,14.0,52.0,63.0,94.0,73.0,82.0,82.0,68.0,86.0
Bin Repair/Replacement,12.0,48.0,112.0,181.0,172.0,204.0,118.0,126.0,76.0,151.0
Blocked Drains,645.0,1108.0,1467.0,1583.0,2344.0,2735.0,3755.0,4932.0,7686.0,14987.0
Bridge/Culvert Defects,97.0,109.0,122.0,146.0,202.0,298.0,318.0,375.0,530.0,718.0
Broken Fire Hydrant,1.0,,,,,,,,,1.0
Broken Kerbs,36.0,36.0,127.0,66.0,131.0,118.0,146.0,245.0,310.0,719.0
Bus Stops Damage,486.0,618.0,533.0,704.0,478.0,530.0,467.0,507.0,598.0,584.0
C.C.T.V Faults,3.0,,,,,,,,,
Countryside RoW,,,,1.0,5.0,2.0,2.0,5.0,13.0,6.0
Dangerous Building/Structure,2.0,16.0,50.0,59.0,86.0,75.0,60.0,92.0,73.0,94.0
Dead Animals,15.0,180.0,273.0,445.0,514.0,743.0,925.0,839.0,1184.0,1879.0
Debris/Spillage,41.0,76.0,129.0,115.0,221.0,269.0,282.0,418.0,555.0,883.0
Demo,,1.0,7.0,16.0,5.0,12.0,,1.0,1.0,
Discarded Syringes,,41.0,14.0,25.0,21.0,22.0,25.0,10.0,19.0,
Dog Fouling,2270.0,2561.0,2857.0,2919.0,2765.0,3114.0,2853.0,2201.0,2078.0,1966.0
Dog Litter Bin,,16.0,7.0,15.0,29.0,47.0,35.0,44.0,38.0,75.0
