SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,9860.0,12169.0,12572.0,9058.0,5862.0,4587.0,3742.0,3399.0,3298.0,2906.0
Accumulated Litter,1234.0,1787.0,647.0,113.0,102.0,278.0,280.0,475.0,1015.0,1516.0
Admin,933.0,447.0,,,,,,,,
Barriers/Bollards on RoW,154.0,107.0,6.0,1.0,12.0,59.0,21.0,52.0,130.0,220.0
Benches/Bicycle Racks,13.0,50.0,22.0,9.0,6.0,3.0,8.0,13.0,20.0,14.0
Bin Collection,360.0,112.0,33.0,12.0,14.0,3.0,1.0,20.0,40.0,21.0
Bin Repair/Replacement,661.0,111.0,22.0,31.0,47.0,48.0,69.0,41.0,96.0,74.0
Blocked Drains,2579.0,3794.0,4138.0,3305.0,3328.0,3375.0,4075.0,5338.0,5298.0,6012.0
Bridge/Culvert Defects,30.0,131.0,291.0,290.0,283.0,243.0,355.0,428.0,416.0,448.0
Broken Fire Hydrant,,1.0,,,,,1.0,,,
Broken Kerbs,15.0,24.0,68.0,99.0,129.0,181.0,260.0,422.0,466.0,270.0
Bus Stops Damage,713.0,668.0,796.0,551.0,475.0,442.0,487.0,428.0,468.0,477.0
C.C.T.V Faults,2.0,,1.0,,,,,,,
Countryside RoW,,3.0,1.0,10.0,2.0,6.0,9.0,3.0,,
Dangerous Building/Structure,381.0,160.0,48.0,16.0,1.0,,,,1.0,
Dead Animals,835.0,1617.0,1798.0,1179.0,488.0,291.0,164.0,127.0,186.0,312.0
Debris/Spillage,273.0,275.0,204.0,178.0,328.0,349.0,300.0,359.0,286.0,437.0
Demo,39.0,4.0,,,,,,,,
Discarded Syringes,7.0,,97.0,56.0,14.0,2.0,1.0,,,
Dog Fouling,3098.0,2596.0,2914.0,2612.0,2509.0,2454.0,2241.0,2124.0,2503.0,2533.0
Dog Litter Bin,25.0,21.0,50.0,21.0,45.0,19.0,36.0,43.0,22.0,24.0
Dumped Rubbish,5341.0,11212.0,7998.0,4835.0,829.0,306.0,42.0,,,
Environmental Health,,,1.0,2.0,3.0,11.0,20.0,39.0,53.0,79.0
Fallen/Dangerous Trees,3738.0,4260.0,4533.0,3993.0,4760.0,4519.0,5161.0,4921.0,4618.0,3482.0
Fences,4.0,24.0,48.0,57.0,62.0,66.0,63.0,59.0,44.0,32.0
Flooding,456.0,386.0,726.0,841.0,1119.0,1063.0,1120.0,1441.0,1239.0,839.0
Floral displays,10.0,48.0,56.0,45.0,8.0,,2.0,,,
Fly-tipping,101196.0,60157.0,31725.0,22414.0,18680.0,15434.0,13773.0,12504.0,12541.0,10926.0
Flyposting,1628.0,982.0,826.0,649.0,559.0,487.0,476.0,517.0,457.0,467.0
Garden Waste,2333.0,1004.0,64.0,60.0,11.0,3.0,,,,
Gates/Stiles RoW,,,,1.0,2.0,4.0,15.0,41.0,46.0,234.0
General Highways Enquiries,1411.0,2527.0,1717.0,771.0,510.0,493.0,459.0,290.0,113.0,58.0
Graffiti,15397.0,9281.0,6534.0,4423.0,2515.0,2336.0,1890.0,1462.0,1513.0,1317.0
Grass/Weed Control,768.0,1616.0,2228.0,2082.0,2097.0,1834.0,2427.0,2171.0,1777.0,1260.0
Grids and Drains,122.0,5.0,3.0,23.0,25.0,27.0,60.0,32.0,1.0,
Grit Bins,,9.0,35.0,72.0,105.0,115.0,99.0,76.0,111.0,119.0
Gritting,38.0,85.0,62.0,8.0,5.0,1.0,15.0,1.0,,
Grounds Maintenance,,4.0,9.0,10.0,6.0,1.0,2.0,2.0,,
Gullies,81.0,312.0,809.0,1202.0,1126.0,1055.0,1016.0,883.0,657.0,221.0
Gully/Manhole Defects,246.0,185.0,198.0,287.0,333.0,442.0,348.0,328.0,180.0,59.0
Highway Condition,12586.0,13678.0,13443.0,13667.0,12865.0,12942.0,13320.0,13697.0,12471.0,11935.0
Highway Drainage,,,,,17.0,7.0,21.0,66.0,73.0,27.0
Ice & Snow,5.0,30.0,34.0,13.0,34.0,31.0,44.0,30.0,53.0,61.0
Leafing,536.0,611.0,494.0,272.0,67.0,18.0,1.0,,,
Lewisham Homes,542.0,199.0,,,,,,,,
Lit Signs,,,,,1.0,,,,,
Litter/Litter Bin,5854.0,2857.0,2198.0,917.0,463.0,395.0,518.0,486.0,1468.0,1856.0
Manhole Covers,682.0,877.0,810.0,664.0,687.0,708.0,866.0,959.0,900.0,573.0
Manhole Defects,89.0,75.0,,,,,3.0,8.0,19.0,66.0
Missed Bin Collection,1855.0,676.0,8.0,,,,,,,
Noise,56.0,56.0,1.0,,2.0,,,1.0,4.0,7.0
Obstruction,768.0,2147.0,3482.0,3506.0,2534.0,2128.0,2043.0,1770.0,1518.0,1441.0
