SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abandoned Vehicles,501.0,208.0,159.0,103.0,83.0,192.0,561.0,1749.0,3581.0,5430.0,5676.0,5822.0,5613.0,5359.0,5364.0,5281.0,5048.0,4332.0,3784.0,3278.0,2917.0,2365.0,1729.0,1101.0
Accumulated Litter,32.0,21.0,8.0,5.0,8.0,6.0,57.0,167.0,436.0,777.0,716.0,761.0,663.0,635.0,593.0,516.0,464.0,365.0,270.0,233.0,236.0,187.0,184.0,107.0
Admin,1.0,1.0,,,,,1.0,4.0,9.0,152.0,233.0,191.0,126.0,98.0,123.0,195.0,172.0,37.0,8.0,13.0,5.0,6.0,4.0,1.0
Barriers/Bollards on RoW,4.0,4.0,2.0,1.0,3.0,5.0,3.0,16.0,37.0,58.0,71.0,83.0,72.0,59.0,65.0,72.0,63.0,32.0,25.0,28.0,23.0,17.0,15.0,4.0
Benches/Bicycle Racks,,,,,,,1.0,3.0,15.0,18.0,14.0,11.0,13.0,13.0,14.0,11.0,13.0,8.0,7.0,5.0,4.0,4.0,3.0,1.0
Bin Collection,8.0,2.0,3.0,,,,5.0,20.0,26.0,58.0,46.0,42.0,41.0,45.0,33.0,40.0,33.0,51.0,46.0,28.0,26.0,28.0,22.0,13.0
Bin Repair/Replacement,6.0,2.0,3.0,1.0,1.0,5.0,7.0,42.0,59.0,108.0,144.0,126.0,104.0,95.0,91.0,92.0,83.0,64.0,53.0,33.0,30.0,22.0,18.0,11.0
Blocked Drains,244.0,69.0,47.0,38.0,31.0,67.0,275.0,773.0,1866.0,3757.0,3976.0,4054.0,3663.0,3515.0,3703.0,3445.0,3085.0,2094.0,1584.0,1326.0,1208.0,1119.0,859.0,468.0
Bridge/Culvert Defects,12.0,4.0,,5.0,,5.0,18.0,60.0,128.0,231.0,281.0,292.0,246.0,234.0,274.0,258.0,243.0,154.0,131.0,103.0,96.0,70.0,43.0,27.0
Broken Fire Hydrant,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
