SHEF_A,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Abandoned Vehicles,5767.0,5118.0,5475.0,4989.0,5321.0,5926.0,6675.0,6450.0,6585.0,6476.0,6184.0,5270.0
Accumulated Litter,682.0,578.0,648.0,471.0,512.0,589.0,754.0,585.0,637.0,589.0,797.0,605.0
Admin,62.0,40.0,19.0,16.0,5.0,351.0,495.0,138.0,84.0,53.0,41.0,76.0
Barriers/Bollards on RoW,45.0,52.0,37.0,41.0,53.0,76.0,66.0,69.0,103.0,76.0,71.0,73.0
Benches/Bicycle Racks,20.0,13.0,5.0,6.0,13.0,10.0,14.0,17.0,20.0,18.0,12.0,10.0
Bin Collection,75.0,68.0,42.0,37.0,39.0,61.0,62.0,38.0,67.0,60.0,31.0,36.0
Bin Repair/Replacement,92.0,81.0,74.0,73.0,71.0,122.0,103.0,117.0,146.0,120.0,117.0,84.0
Blocked Drains,4102.0,3774.0,2875.0,1985.0,2265.0,3491.0,2501.0,3853.0,2814.0,4484.0,4595.0,4527.0
Bridge/Culvert Defects,224.0,246.0,175.0,175.0,204.0,222.0,199.0,210.0,243.0,332.0,329.0,356.0
Broken Fire Hydrant,,,,,,,,,,,1.0,1.0
Broken Kerbs,132.0,153.0,124.0,95.0,95.0,148.0,187.0,182.0,210.0,208.0,201.0,199.0
Bus Stops Damage,570.0,573.0,525.0,414.0,424.0,500.0,492.0,610.0,537.0,609.0,688.0,508.0
C.C.T.V Faults,,,,,,,1.0,,,,,2.0
Countryside RoW,,,,7.0,5.0,4.0,5.0,4.0,4.0,4.0,,1.0
Dangerous Building/Structure,59.0,49.0,55.0,41.0,44.0,47.0,48.0,49.0,69.0,47.0,48.0,51.0
Dead Animals,602.0,483.0,458.0,476.0,491.0,674.0,799.0,701.0,674.0,643.0,538.0,458.0
Debris/Spillage,306.0,310.0,265.0,166.0,155.0,213.0,241.0,247.0,218.0,257.0,313.0,298.0
Demo,3.0,7.0,3.0,7.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,2.0
Discarded Syringes,15.0,17.0,21.0,15.0,17.0,12.0,22.0,16.0,16.0,8.0,9.0,9.0
Dog Fouling,4313.0,4056.0,3662.0,2478.0,1705.0,1833.0,1760.0,1720.0,2136.0,2335.0,2214.0,2508.0
Dog Litter Bin,16.0,28.0,24.0,41.0,26.0,24.0,17.0,25.0,21.0,32.0,32.0,20.0
Dumped Rubbish,2699.0,2278.0,2490.0,2564.0,2280.0,2876.0,3091.0,3058.0,2714.0,2277.0,2123.0,2113.0
Environmental Health,7.0,18.0,18.0,15.0,10.0,20.0,37.0,25.0,18.0,19.0,9.0,12.0
Fallen/Dangerous Trees,2305.0,3285.0,2437.0,2055.0,4057.0,6232.0,6275.0,5938.0,4979.0,4073.0,2837.0,2130.0
Fences,44.0,46.0,52.0,39.0,30.0,43.0,44.0,22.0,42.0,22.0,37.0,38.0
Flooding,560.0,865.0,536.0,351.0,319.0,1067.0,367.0,703.0,548.0,1086.0,1459.0,1369.0
Floral displays,4.0,5.0,10.0,13.0,26.0,30.0,37.0,20.0,10.0,9.0,3.0,2.0
Fly-tipping,23817.0,21440.0,23893.0,24298.0,24349.0,26337.0,30199.0,29148.0,29772.0,27679.0,26934.0,24812.0
Flyposting,499.0,532.0,721.0,545.0,608.0,651.0,707.0,688.0,671.0,727.0,589.0,507.0
Garden Waste,56.0,54.0,37.0,43.0,66.0,339.0,1194.0,836.0,437.0,190.0,152.0,71.0
Gates/Stiles RoW,11.0,13.0,12.0,24.0,34.0,44.0,48.0,42.0,38.0,31.0,25.0,21.0
General Highways Enquiries,678.0,644.0,700.0,515.0,665.0,783.0,775.0,676.0,824.0,810.0,726.0,554.0
Graffiti,4187.0,3484.0,4134.0,3996.0,3844.0,4366.0,3961.0,4010.0,4263.0,4282.0,4261.0,3826.0
Grass/Weed Control,458.0,435.0,402.0,712.0,2448.0,4439.0,3217.0,2186.0,1804.0,1080.0,686.0,394.0
Grids and Drains,24.0,28.0,16.0,26.0,14.0,19.0,27.0,35.0,46.0,21.0,19.0,23.0
Grit Bins,135.0,163.0,80.0,21.0,12.0,15.0,15.0,22.0,23.0,43.0,77.0,135.0
Gritting,88.0,37.0,15.0,3.0,4.0,5.0,5.0,3.0,4.0,7.0,16.0,28.0
Grounds Maintenance,1.0,2.0,3.0,8.0,2.0,4.0,2.0,6.0,,1.0,3.0,2.0
Gullies,496.0,497.0,574.0,346.0,406.0,713.0,569.0,703.0,565.0,760.0,888.0,848.0
Gully/Manhole Defects,247.0,229.0,231.0,173.0,193.0,246.0,221.0,203.0,222.0,192.0,227.0,222.0
Highway Condition,15318.0,15335.0,14952.0,11314.0,10788.0,12066.0,11606.0,11000.0,10788.0,11225.0,11643.0,11934.0
Highway Drainage,28.0,21.0,20.0,13.0,8.0,22.0,12.0,10.0,15.0,22.0,23.0,17.0
Ice & Snow,139.0,44.0,12.0,3.0,4.0,2.0,1.0,2.0,6.0,12.0,25.0,85.0
Leafing,239.0,83.0,52.0,23.0,32.0,70.0,52.0,75.0,86.0,196.0,700.0,391.0
Lewisham Homes,48.0,48.0,44.0,47.0,47.0,93.0,108.0,84.0,93.0,50.0,47.0,32.0
Lit Signs,,,,,,,,1.0,,,,
Litter/Litter Bin,1208.0,1063.0,1171.0,1031.0,1134.0,1419.0,1679.0,1538.0,1710.0,1555.0,1839.0,1665.0
Manhole Covers,716.0,693.0,599.0,483.0,510.0,500.0,594.0,594.0,799.0,745.0,756.0,737.0
Manhole Defects,20.0,16.0,19.0,14.0,13.0,24.0,35.0,23.0,21.0,43.0,16.0,16.0
Missed Bin Collection,154.0,156.0,224.0,158.0,179.0,257.0,211.0,189.0,175.0,347.0,269.0,220.0
Noise,5.0,9.0,19.0,11.0,7.0,20.0,17.0,13.0,9.0,9.0,3.0,5.0
Obstruction,1400.0,1579.0,1311.0,938.0,1423.0,2067.0,2339.0,2434.0,2369.0,2054.0,1913.0,1510.0
Open Spaces/Parks,1743.0,1807.0,2057.0,2452.0,3511.0,4710.0,4186.0,3457.0,3018.0,2337.0,1766.0,1529.0
Other,10487.0,9662.0,10572.0,9468.0,10104.0,11967.0,12446.0,11895.0,10679.0,10197.0,9992.0,9368.0
Overgrown Vegetation,1342.0,1658.0,1504.0,1610.0,3666.0,6010.0,6137.0,5174.0,4469.0,3654.0,2606.0,1737.0
Parking,4393.0,4531.0,4722.0,3898.0,4262.0,4839.0,5064.0,4588.0,5191.0,5172.0,4888.0,4045.0
Pavement /Footway Defects,11516.0,11088.0,10962.0,9853.0,11411.0,14919.0,15438.0,13868.0,14072.0,12776.0,12168.0,10147.0
Pest Control,2.0,5.0,6.0,5.0,4.0,1.0,7.0,2.0,3.0,6.0,4.0,1.0
Phoenix HA,6.0,13.0,3.0,4.0,4.0,17.0,13.0,8.0,5.0,6.0,1.0,2.0
Potholes,63171.0,71407.0,70700.0,44562.0,30971.0,26060.0,20651.0,19168.0,19000.0,20122.0,23909.0,34381.0
Property Damage,38.0,39.0,31.0,22.0,28.0,29.0,26.0,20.0,26.0,22.0,24.0,19.0
Protected Trees,,,,,,1.0,,,1.0,1.0,,
Public Toilets,95.0,103.0,83.0,96.0,94.0,104.0,115.0,104.0,101.0,74.0,60.0,61.0
Recycling,43.0,75.0,60.0,66.0,90.0,114.0,100.0,96.0,99.0,84.0,57.0,68.0
Retaining Wall,21.0,22.0,20.0,26.0,17.0,16.0,30.0,25.0,33.0,23.0,24.0,20.0
