SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,85.0,110.0,134.0,114.0,93.0,88.0,67.0,74.0,88.0,53.0
Bus Stops Damage,31.0,16.0,30.0,36.0,24.0,26.0,34.0,25.0,30.0,28.0
Dog Fouling,154.0,176.0,190.0,243.0,182.0,177.0,147.0,151.0,132.0,108.0
Fallen/Dangerous Trees,65.0,80.0,132.0,119.0,163.0,116.0,178.0,170.0,180.0,179.0
Fly-tipping,1515.0,1194.0,741.0,694.0,791.0,507.0,521.0,513.0,586.0,299.0
Flyposting,22.0,25.0,20.0,32.0,38.0,24.0,17.0,17.0,31.0,27.0
Graffiti,64.0,74.0,71.0,51.0,65.0,75.0,46.0,74.0,111.0,77.0
Highway Condition,301.0,380.0,496.0,417.0,536.0,581.0,807.0,753.0,790.0,587.0
Open Spaces/Parks,88.0,145.0,117.0,84.0,128.0,78.0,93.0,109.0,163.0,151.0
Other,390.0,412.0,435.0,428.0,360.0,360.0,414.0,410.0,388.0,316.0
Parking,263.0,263.0,245.0,278.0,206.0,219.0,264.0,198.0,261.0,188.0
Pavement /Footway Defects,295.0,385.0,440.0,381.0,383.0,319.0,418.0,397.0,523.0,504.0
Potholes,524.0,741.0,851.0,794.0,772.0,1070.0,1359.0,1403.0,1620.0,1372.0
Public Toilets,3.0,3.0,4.0,6.0,1.0,5.0,8.0,4.0,4.0,11.0
Rubbish,569.0,433.0,346.0,384.0,446.0,258.0,215.0,171.0,242.0,179.0
Street Cleaning,265.0,197.0,244.0,176.0,209.0,154.0,146.0,162.0,240.0,122.0
Street Lights,405.0,520.0,820.0,529.0,559.0,389.0,612.0,658.0,845.0,817.0
Street Name Plates,25.0,33.0,24.0,24.0,14.0,16.0,35.0,37.0,27.0,29.0
Street Signs,59.0,61.0,78.0,64.0,98.0,103.0,119.0,130.0,146.0,113.0
Traffic Lights,38.0,63.0,59.0,37.0,36.0,44.0,46.0,53.0,84.0,51.0
