SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,8727.0,10746.0,8881.0,8509.0,6272.0,6611.0,5993.0,5855.0,5318.0,3319.0
Bridge/Culvert Defects,28.0,114.0,68.0,123.0,114.0,154.0,196.0,219.0,561.0,1338.0
Bus Stops Damage,492.0,674.0,673.0,756.0,666.0,758.0,888.0,696.0,569.0,278.0
Dangerous Building/Structure,259.0,126.0,72.0,51.0,44.0,35.0,47.0,32.0,24.0,33.0
Dog Fouling,3071.0,3699.0,3632.0,3387.0,3259.0,3177.0,3216.0,3143.0,2470.0,1587.0
Environmental Health,668.0,1036.0,790.0,1077.0,667.0,732.0,674.0,543.0,600.0,464.0
Fences,2.0,34.0,34.0,39.0,52.0,38.0,36.0,56.0,85.0,83.0
Gritting,49.0,132.0,96.0,142.0,106.0,118.0,143.0,126.0,211.0,405.0
Grounds Maintenance,233.0,266.0,312.0,320.0,293.0,349.0,389.0,486.0,1012.0,1027.0
Open Spaces/Parks,2116.0,3489.0,3108.0,4322.0,3628.0,4211.0,4047.0,3611.0,2809.0,1236.0
Other,11920.0,12927.0,11997.0,12169.0,12265.0,12505.0,12372.0,13131.0,14719.0,17175.0
Parking,5740.0,6909.0,6209.0,6002.0,6110.0,6028.0,5982.0,6048.0,4282.0,2279.0
Pavement /Footway Defects,11423.0,13025.0,13265.0,14016.0,12933.0,13647.0,13792.0,13273.0,12092.0,9316.0
Property Damage,3.0,22.0,31.0,28.0,23.0,21.0,33.0,32.0,56.0,75.0
Public Toilets,93.0,85.0,79.0,103.0,112.0,114.0,119.0,118.0,125.0,141.0
Retaining Wall,61.0,69.0,26.0,22.0,13.0,45.0,25.0,9.0,3.0,4.0
Right of Way,2580.0,4676.0,3841.0,4294.0,3580.0,3935.0,3936.0,3737.0,5474.0,10312.0
Road Safety,6601.0,6946.0,7137.0,7074.0,7757.0,8701.0,9809.0,10066.0,14154.0,17079.0
Road Surface Defects,17810.0,27205.0,30060.0,37972.0,36990.0,41600.0,46597.0,52318.0,87450.0,155172.0
Rubbish,111007.0,96135.0,52289.0,43351.0,31355.0,33611.0,29301.0,30322.0,36721.0,42863.0
Street Furniture,3525.0,8031.0,6165.0,6431.0,4725.0,5590.0,3550.0,3536.0,3448.0,1776.0
Street Lights,10338.0,18120.0,19446.0,22498.0,22367.0,23433.0,24736.0,23669.0,23542.0,15390.0
Utility Works,230.0,400.0,218.0,320.0,170.0,271.0,198.0,149.0,326.0,204.0
