SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3716.0,6045.0,7026.0,6596.0,7769.0,7019.0,7672.0,6519.0,7475.0,7616.0
Bridge/Culvert Defects,145.0,259.0,208.0,293.0,271.0,312.0,371.0,372.0,377.0,307.0
Bus Stops Damage,544.0,541.0,584.0,637.0,555.0,486.0,575.0,481.0,554.0,548.0
Dangerous Building/Structure,11.0,12.0,31.0,58.0,92.0,80.0,110.0,94.0,111.0,124.0
Dog Fouling,2270.0,2967.0,3162.0,2768.0,2863.0,2448.0,2719.0,2205.0,2383.0,1799.0
Environmental Health,124.0,424.0,438.0,562.0,762.0,628.0,979.0,805.0,1217.0,1312.0
Fences,32.0,50.0,61.0,47.0,58.0,51.0,67.0,45.0,30.0,18.0
Gritting,122.0,89.0,86.0,126.0,104.0,160.0,208.0,189.0,215.0,229.0
Grounds Maintenance,262.0,505.0,484.0,421.0,425.0,434.0,552.0,496.0,542.0,566.0
Open Spaces/Parks,2184.0,2463.0,2426.0,3114.0,3365.0,3077.0,3675.0,2522.0,3346.0,3722.0
Other,10691.0,12381.0,12193.0,12324.0,11889.0,11750.0,13311.0,12198.0,12365.0,11429.0
Parking,4632.0,5462.0,5392.0,5582.0,5372.0,5216.0,5093.0,4670.0,4595.0,4589.0
Pavement /Footway Defects,8499.0,9726.0,9665.0,11274.0,11116.0,10310.0,12536.0,11749.0,14148.0,17207.0
Property Damage,23.0,29.0,33.0,38.0,26.0,24.0,47.0,45.0,36.0,23.0
Public Toilets,68.0,68.0,78.0,105.0,107.0,111.0,102.0,95.0,115.0,127.0
Retaining Wall,50.0,38.0,26.0,47.0,9.0,24.0,16.0,15.0,20.0,32.0
Right of Way,3319.0,3784.0,3480.0,4578.0,4509.0,3979.0,5760.0,4905.0,6349.0,5702.0
Road Safety,5562.0,7173.0,7352.0,8268.0,8535.0,8721.0,10996.0,10347.0,11340.0,11392.0
Road Surface Defects,23727.0,31349.0,33716.0,38770.0,44786.0,48803.0,61881.0,64542.0,69255.0,72713.0
Rubbish,33541.0,39777.0,42709.0,48762.0,56669.0,53237.0,58697.0,51861.0,52014.0,44128.0
Street Furniture,1313.0,4181.0,4401.0,3953.0,4454.0,2746.0,5880.0,4569.0,6596.0,8004.0
Street Lights,16703.0,16376.0,16309.0,18452.0,17479.0,15760.0,20138.0,17820.0,20418.0,25044.0
Utility Works,324.0,454.0,301.0,310.0,186.0,203.0,170.0,172.0,187.0,179.0
