SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,3355.0,5697.0,6988.0,7663.0,7291.0,6927.0,7120.0,7243.0,8328.0,6841.0
Bin Replacement,35.0,46.0,124.0,183.0,165.0,197.0,221.0,146.0,227.0,162.0
Bridge/Culvert Defects,133.0,131.0,210.0,283.0,272.0,302.0,359.0,400.0,494.0,331.0
Bus Stops Damage,491.0,507.0,514.0,585.0,629.0,533.0,537.0,485.0,581.0,643.0
Dangerous Building/Structure,8.0,20.0,49.0,48.0,68.0,59.0,96.0,100.0,115.0,160.0
Dog Fouling,1857.0,2635.0,2953.0,2942.0,3044.0,2548.0,2586.0,2587.0,2450.0,1982.0
Drainage,2929.0,3081.0,4138.0,5435.0,5472.0,6112.0,8494.0,9154.0,12221.0,11899.0
Environmental Health,87.0,340.0,504.0,667.0,825.0,844.0,909.0,919.0,1214.0,942.0
Fences,22.0,38.0,57.0,38.0,69.0,52.0,59.0,55.0,40.0,29.0
Floral Displays,,6.0,8.0,8.0,10.0,17.0,17.0,27.0,39.0,37.0
Gritting,93.0,65.0,96.0,118.0,115.0,145.0,162.0,202.0,261.0,271.0
Grounds Maintenance,247.0,329.0,541.0,470.0,336.0,331.0,578.0,478.0,730.0,647.0
Highways Enquiries,8217.0,9745.0,11142.0,11650.0,12968.0,13776.0,16306.0,17197.0,18616.0,18892.0
Incivilities,2358.0,3347.0,3470.0,4498.0,5338.0,5799.0,6208.0,6641.0,8717.0,7824.0
Open Spaces/Parks,2042.0,2602.0,2506.0,3098.0,3209.0,3648.0,3070.0,3179.0,3892.0,2648.0
Other,9636.0,10818.0,12144.0,12224.0,11634.0,11247.0,13189.0,13266.0,13993.0,12380.0
Overgrown/Fallen Veg/Trees,4146.0,5930.0,6506.0,7916.0,8417.0,9681.0,12020.0,13477.0,16741.0,15415.0
Parking,4231.0,5296.0,5586.0,5320.0,5384.0,5158.0,5119.0,5087.0,4891.0,4531.0
Pavement /Footway Defects,7097.0,8493.0,9224.0,10294.0,10520.0,10422.0,12040.0,13486.0,16282.0,18372.0
Property Damage,13.0,21.0,26.0,22.0,37.0,33.0,33.0,48.0,49.0,42.0
Public Toilets,52.0,62.0,66.0,79.0,118.0,104.0,119.0,110.0,148.0,118.0
Retaining Wall,24.0,29.0,19.0,40.0,37.0,15.0,17.0,19.0,26.0,51.0
Right of Way,2672.0,2704.0,4087.0,5002.0,5204.0,4992.0,4984.0,4971.0,6338.0,5411.0
Road Safety,4300.0,5921.0,6549.0,7732.0,7460.0,8976.0,10173.0,11442.0,14297.0,12836.0
Road Surface Defects,20277.0,25720.0,30548.0,36181.0,39323.0,46268.0,59827.0,70598.0,82118.0,78682.0
Rubbish,33892.0,38996.0,43838.0,46637.0,45611.0,51988.0,60133.0,57860.0,58831.0,43609.0
Street Furniture,1012.0,3675.0,4690.0,4477.0,4442.0,3496.0,4063.0,7037.0,7246.0,5959.0
Street Lights,14303.0,14629.0,14812.0,16834.0,16965.0,18628.0,19470.0,19885.0,24192.0,24781.0
Utility Works,198.0,217.0,335.0,400.0,258.0,201.0,210.0,228.0,185.0,254.0
