SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,4817.0,5529.0,6539.0,6488.0,6865.0,7656.0,6662.0,7974.0,7018.0,7905.0
Bridge/Culvert Defects,1237.0,379.0,202.0,230.0,193.0,161.0,156.0,209.0,99.0,49.0
Bus Stops Damage,331.0,449.0,558.0,577.0,719.0,592.0,607.0,620.0,538.0,514.0
Dangerous Building/Structure,41.0,28.0,37.0,51.0,50.0,46.0,73.0,83.0,141.0,173.0
Dog Fouling,1643.0,2226.0,2337.0,2243.0,2535.0,2792.0,2669.0,2842.0,3025.0,3272.0
Environmental Health,625.0,568.0,777.0,740.0,638.0,869.0,737.0,925.0,598.0,774.0
Fences,102.0,73.0,48.0,44.0,46.0,54.0,35.0,39.0,15.0,3.0
Gritting,380.0,160.0,167.0,146.0,160.0,142.0,104.0,120.0,89.0,60.0
Grounds Maintenance,1027.0,608.0,363.0,426.0,439.0,398.0,381.0,370.0,334.0,341.0
Open Spaces/Parks,1905.0,2853.0,3238.0,3522.0,3251.0,3316.0,3141.0,3256.0,2809.0,2603.0
Other,17145.0,12280.0,11271.0,10840.0,10940.0,11611.0,11275.0,11726.0,11608.0,11835.0
Parking,2921.0,4452.0,4627.0,5118.0,5038.0,5359.0,5592.0,6101.0,5885.0,5510.0
Pavement /Footway Defects,10553.0,11631.0,11666.0,11335.0,12491.0,11391.0,11434.0,12977.0,11224.0,11528.0
Property Damage,73.0,49.0,33.0,37.0,26.0,32.0,26.0,24.0,14.0,10.0
Public Toilets,112.0,82.0,78.0,81.0,77.0,81.0,107.0,114.0,128.0,116.0
Retaining Wall,3.0,3.0,29.0,17.0,34.0,27.0,35.0,28.0,53.0,48.0
Right of Way,10098.0,5146.0,4133.0,3600.0,4357.0,4360.0,4249.0,4007.0,3505.0,2910.0
Road Safety,17242.0,9731.0,8426.0,8279.0,7669.0,8003.0,7735.0,8144.0,7172.0,7285.0
Road Surface Defects,137066.0,62989.0,46151.0,43215.0,40346.0,38726.0,35971.0,35356.0,26610.0,23112.0
Rubbish,43636.0,29440.0,31958.0,33938.0,40365.0,41724.0,48886.0,61721.0,69567.0,80160.0
Street Furniture,3314.0,3586.0,4830.0,4886.0,4634.0,5512.0,5862.0,5442.0,3354.0,4677.0
Street Lights,18316.0,22330.0,21355.0,20365.0,20393.0,20015.0,17826.0,17630.0,13711.0,12558.0
Utility Works,250.0,203.0,165.0,133.0,304.0,229.0,319.0,336.0,258.0,289.0
