SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,9678.0,11314.0,10662.0,8330.0,7690.0,5807.0,4846.0,3548.0,3185.0,2393.0
Bridge/Culvert Defects,816.0,460.0,341.0,253.0,197.0,191.0,154.0,192.0,214.0,97.0
Bus Stops Damage,565.0,762.0,676.0,588.0,547.0,529.0,489.0,468.0,483.0,398.0
Dangerous Building/Structure,185.0,180.0,85.0,81.0,56.0,51.0,32.0,17.0,22.0,14.0
Dog Fouling,1780.0,2538.0,2860.0,2694.0,2419.0,2640.0,2552.0,2684.0,2623.0,2794.0
Environmental Health,1079.0,1273.0,1127.0,1150.0,905.0,604.0,590.0,212.0,238.0,73.0
Fences,50.0,90.0,53.0,52.0,52.0,47.0,48.0,40.0,18.0,9.0
Gritting,267.0,178.0,208.0,211.0,174.0,114.0,123.0,112.0,77.0,64.0
Grounds Maintenance,654.0,618.0,564.0,444.0,364.0,460.0,372.0,583.0,392.0,236.0
Open Spaces/Parks,4189.0,5127.0,4096.0,3280.0,2897.0,2943.0,2483.0,1702.0,1731.0,1446.0
Other,15901.0,15563.0,14437.0,13611.0,12021.0,12112.0,10490.0,9963.0,8963.0,7470.0
Parking,4475.0,5709.0,5957.0,5649.0,5423.0,5134.0,4890.0,4725.0,4572.0,4069.0
Pavement /Footway Defects,10762.0,14992.0,15352.0,14145.0,12857.0,11643.0,9808.0,9911.0,9229.0,7531.0
Property Damage,39.0,44.0,43.0,41.0,25.0,39.0,29.0,28.0,29.0,7.0
Public Toilets,119.0,142.0,95.0,114.0,96.0,99.0,88.0,71.0,55.0,97.0
Retaining Wall,12.0,28.0,62.0,61.0,37.0,28.0,11.0,28.0,6.0,4.0
Right of Way,8622.0,7304.0,6213.0,5608.0,4937.0,4074.0,3244.0,2792.0,2219.0,1352.0
Road Safety,13298.0,12026.0,11643.0,10508.0,9018.0,8714.0,7258.0,6762.0,5763.0,4696.0
Road Surface Defects,92932.0,66388.0,56169.0,51187.0,43019.0,40928.0,38333.0,36998.0,35010.0,28578.0
Rubbish,99873.0,97651.0,75432.0,55909.0,43034.0,30318.0,27246.0,19097.0,18336.0,14499.0
Street Furniture,6007.0,8263.0,8937.0,6808.0,5495.0,4223.0,2739.0,1502.0,1228.0,895.0
Street Lights,14758.0,19841.0,22855.0,24803.0,22247.0,19356.0,17073.0,15933.0,15033.0,12600.0
Utility Works,247.0,380.0,353.0,287.0,225.0,253.0,233.0,289.0,140.0,79.0
