SHEF_B,Female,Male
Abandoned Vehicles,19857,37563
Bridge/Culvert Defects,690,1249
Bus Stops Damage,1420,3919
Dangerous Building/Structure,161,365
Dog Fouling,10459,13486
Environmental Health,2920,2128
Fences,134,213
Gritting,510,540
Grounds Maintenance,858,1793
Open Spaces/Parks,9651,17146
Other,36142,63628
Parking,14941,32066
Pavement /Footway Defects,33419,72610
Property Damage,113,159
Public Toilets,268,661
Retaining Wall,92,136
Right of Way,13873,20791
Road Safety,19612,57279
Road Surface Defects,121599,305862
Rubbish,137627,258564
Street Furniture,14282,20669
Street Lights,47958,119274
Utility Works,397,998
