SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,156.0,296.0,174.0,239.0,173.0,198.0,148.0,130.0,124.0,165.0
Bus Stops Damage,68.0,74.0,74.0,66.0,47.0,62.0,74.0,57.0,70.0,69.0
Dog Fouling,200.0,497.0,348.0,395.0,282.0,262.0,548.0,359.0,222.0,207.0
Highways Enquiries,591.0,862.0,839.0,984.0,994.0,1236.0,1384.0,1384.0,1503.0,1680.0
Incivilities,82.0,135.0,97.0,160.0,131.0,124.0,108.0,143.0,128.0,206.0
Open Spaces/Parks,123.0,149.0,174.0,183.0,132.0,148.0,142.0,136.0,143.0,179.0
Other,485.0,718.0,641.0,690.0,680.0,662.0,691.0,645.0,659.0,759.0
Overgrown/Fallen Veg/Trees,69.0,81.0,95.0,116.0,145.0,127.0,144.0,133.0,133.0,170.0
Parking,237.0,282.0,263.0,325.0,253.0,300.0,253.0,191.0,207.0,245.0
Pavement /Footway Defects,437.0,625.0,524.0,600.0,631.0,595.0,640.0,620.0,766.0,923.0
Public Toilets,2.0,9.0,,9.0,7.0,11.0,6.0,6.0,7.0,6.0
Road Safety,210.0,326.0,334.0,356.0,443.0,393.0,443.0,451.0,509.0,621.0
Road Surface Defects,1909.0,2321.0,2218.0,2611.0,2740.0,3241.0,3898.0,4552.0,4549.0,4619.0
Rubbish,856.0,1333.0,1404.0,1793.0,1185.0,1179.0,1292.0,1048.0,963.0,1650.0
Street Furniture,31.0,32.0,38.0,53.0,52.0,41.0,39.0,51.0,26.0,34.0
Street Lights,873.0,960.0,1118.0,1174.0,1245.0,1254.0,1225.0,1353.0,1345.0,1706.0
