SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,179.0,195.0,242.0,246.0,195.0,191.0,149.0,130.0,149.0,128.0
Bus Stops Damage,54.0,60.0,72.0,71.0,75.0,49.0,47.0,72.0,102.0,59.0
Dog Fouling,465.0,418.0,284.0,279.0,537.0,291.0,290.0,246.0,303.0,207.0
Highways Enquiries,676.0,723.0,748.0,1080.0,971.0,1196.0,1496.0,1613.0,1330.0,1626.0
Incivilities,96.0,121.0,106.0,128.0,140.0,155.0,119.0,163.0,134.0,153.0
Open Spaces/Parks,134.0,115.0,163.0,219.0,172.0,142.0,132.0,125.0,137.0,170.0
Other,619.0,531.0,632.0,751.0,735.0,638.0,720.0,691.0,679.0,635.0
Overgrown/Fallen Veg/Trees,79.0,76.0,106.0,114.0,126.0,127.0,148.0,140.0,140.0,157.0
Parking,261.0,271.0,293.0,333.0,259.0,260.0,297.0,222.0,198.0,162.0
Pavement /Footway Defects,495.0,466.0,555.0,633.0,595.0,648.0,753.0,768.0,688.0,762.0
Public Toilets,9.0,,4.0,10.0,6.0,11.0,14.0,2.0,1.0,6.0
Road Safety,260.0,238.0,255.0,393.0,340.0,466.0,570.0,566.0,467.0,531.0
Road Surface Defects,2294.0,2257.0,2074.0,2814.0,2520.0,3224.0,4854.0,4416.0,3802.0,4407.0
Rubbish,1179.0,1133.0,1130.0,1639.0,1388.0,1217.0,1323.0,1722.0,1021.0,955.0
Street Furniture,22.0,34.0,37.0,37.0,49.0,47.0,41.0,43.0,48.0,39.0
Street Lights,926.0,944.0,913.0,1151.0,1175.0,1368.0,1446.0,1409.0,1386.0,1536.0
