SHEF_B,Urban,Rural,More Rural
Abandoned Vehicles,63512.0,3474.0,3250.0
Bridge/Culvert Defects,1213.0,518.0,1184.0
Bus Stops Damage,5794.0,377.0,279.0
Dangerous Building/Structure,686.0,7.0,30.0
Dog Fouling,26639.0,2566.0,1515.0
Environmental Health,6558.0,150.0,543.0
Fences,326.0,58.0,75.0
Gritting,962.0,190.0,376.0
Grounds Maintenance,2984.0,850.0,853.0
Open Spaces/Parks,29951.0,1474.0,1157.0
Other,103243.0,12755.0,15206.0
Parking,49687.0,3935.0,1971.0
Pavement /Footway Defects,108251.0,10559.0,7987.0
Property Damage,210.0,50.0,64.0
Public Toilets,836.0,138.0,116.0
Retaining Wall,270.0,4.0,3.0
Right of Way,32383.0,4589.0,9393.0
Road Safety,69970.0,10413.0,14957.0
Road Surface Defects,325073.0,71391.0,136775.0
Rubbish,448356.0,20849.0,37793.0
Street Furniture,43679.0,1256.0,1844.0
Street Lights,169277.0,21553.0,12734.0
Utility Works,2106.0,204.0,176.0
