SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,79.0,125.0,114.0,112.0,94.0,102.0,85.0,68.0,67.0,60.0
Bus Stops Damage,31.0,18.0,27.0,34.0,19.0,35.0,31.0,31.0,25.0,29.0
Dog Fouling,142.0,139.0,189.0,185.0,296.0,218.0,170.0,126.0,107.0,89.0
Open Spaces/Parks,80.0,98.0,127.0,108.0,91.0,141.0,93.0,124.0,137.0,157.0
Other,300.0,440.0,411.0,406.0,382.0,415.0,343.0,395.0,391.0,424.0
Parking,216.0,257.0,292.0,222.0,275.0,221.0,176.0,264.0,199.0,262.0
Pavement /Footway Defects,268.0,407.0,383.0,355.0,364.0,486.0,373.0,428.0,424.0,548.0
Public Toilets,3.0,6.0,,8.0,3.0,,6.0,5.0,9.0,9.0
Road Safety,88.0,93.0,131.0,108.0,126.0,182.0,140.0,182.0,190.0,238.0
Road Surface Defects,541.0,731.0,669.0,801.0,827.0,942.0,1027.0,1288.0,1731.0,1944.0
Rubbish,1764.0,1175.0,1579.0,1320.0,1134.0,1351.0,786.0,1304.0,1047.0,1048.0
Street Furniture,24.0,35.0,18.0,23.0,14.0,37.0,27.0,35.0,21.0,30.0
Street Lights,408.0,660.0,619.0,651.0,602.0,624.0,575.0,531.0,780.0,691.0
