year,1,2,3,4,5,6,7,8,9,10
2007,835,927,1016,1212,1055,1002,1057,926,936,970
2008,1982,2048,2206,2354,2262,2335,2536,2113,2275,2365
2009,3677,3720,3932,4235,4329,4328,4545,4015,4192,4051
2010,4386,4716,5055,5742,5964,6093,6611,6036,6363,6565
2011,5503,5671,5480,6397,6316,6622,6947,6838,7113,6806
2012,5726,6264,6748,7413,7795,7746,9074,8586,8569,8099
2013,6592,7799,8424,9724,10908,11298,13475,12372,13243,12030
2014,7830,11251,10709,12869,14092,13811,17225,16247,17647,16079
2015,9466,14081,14121,16473,16524,16592,19354,19201,18948,16881
2016,12157,19564,19325,21665,20561,20867,21999,21374,22212,20451
2017,13265,19251,19042,22043,20762,21030,23378,21898,24249,23505
2018,16722,23360,23637,28725,28002,32740,37320,36292,42071,43403
2019,22301,30814,35441,42440,37606,42263,42128,45558,45423,46361
2020,27180,38323,45621,54627,51511,55876,55648,60714,56824,57418
