year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2007,1733,1541,1563,1728,1208,1023,1142
2008,3654,3902,3524,3395,2912,2208,2889
2009,6838,7018,6673,6159,5504,3903,4936
2010,9846,9752,9095,8601,7625,5725,6894
2011,10651,10781,10513,9520,8348,6229,7661
2012,13156,12230,12015,11723,10039,7662,9266
2013,17934,17826,17198,16397,13874,10519,12278
2014,23472,23172,22260,20749,18040,13599,16617
2015,27597,27114,25970,25277,21436,15776,18714
2016,33828,33272,32493,31123,27796,19769,22178
2017,34390,34934,34243,32904,28254,20787,23276
2018,53737,53381,52010,50198,44511,27350,31584
2019,68678,67811,63365,60532,55360,35313,39666
2020,86622,82360,81559,77878,69588,50527,55651
