year,1,2,3,4,5,6,7,8,9,10
2007,660,683,770,785,710,817,795,847,1134,1716
2008,1565,1356,1589,1543,1516,1715,1763,1815,2137,2869
2009,2857,2873,3102,2981,3168,3503,3474,3642,4404,5604
2010,3454,3547,3914,4088,4221,4888,5347,5712,6727,8223
2011,4323,4262,4527,4390,4554,5052,5603,5930,6875,8119
2012,4423,4866,5079,5144,6122,6680,7356,8220,9555,9733
2013,5357,6430,7625,8002,8651,9246,11216,12436,14458,13842
2014,6149,8839,9976,10291,11551,12555,14479,16420,19058,18588
2015,7095,10476,12757,13622,14511,15397,17132,19974,21273,18992
2016,8807,13240,15798,16883,17726,19270,20309,24364,25771,24516
2017,10327,13272,15685,16548,18040,19587,20402,25233,27676,27723
2018,13820,17463,21206,21880,24384,29383,31625,41183,46734,44771
2019,18898,24764,31152,31068,33427,40029,39674,49252,50574,53481
2020,24459,30272,40607,41665,42697,50882,52450,62920,64786,72170
