year,1,2,3,4,5,6,7,8,9,10
2007,681,777,941,994,939,924,828,899,923,1011
2008,1617,1495,1664,1879,1837,1835,1923,1680,1888,2050
2009,3168,3080,3063,3569,3660,3628,3694,3592,3852,4302
2010,3576,4054,4069,4777,5100,5160,5443,5350,5739,6853
2011,4305,4583,4686,5070,5182,5547,5733,5591,6014,6924
2012,4612,5313,5642,6153,6521,7076,7342,7144,8395,8980
2013,5429,6746,7669,8458,9432,9883,10710,10879,13587,14470
2014,6635,9501,10276,11021,13042,12520,13612,14407,17129,19763
2015,8572,11175,14172,14494,15513,15531,15635,16091,18872,21174
2016,10379,15405,19014,18950,18759,18673,19063,19330,22265,24846
2017,10678,15148,18383,19180,19346,18406,19520,20721,24572,28539
2018,13347,18717,22752,25317,27000,26669,28668,34643,43591,51745
2019,19187,25166,32933,36020,37717,37794,38832,41136,46467,57067
2020,24570,31843,42231,47404,47689,48789,50741,54723,60030,74888
