SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,565.0,1252.0,1240.0,1399.0,1294.0,1318.0,1228.0,1176.0,1345.0,1154.0
Accumulated Litter,29.0,110.0,53.0,160.0,70.0,292.0,184.0,228.0,312.0,425.0
Barriers/Bollards on RoW,4.0,10.0,11.0,30.0,12.0,36.0,18.0,22.0,20.0,46.0
Benches/Bicycle Racks,5.0,3.0,4.0,6.0,3.0,15.0,7.0,1.0,4.0,5.0
Bin Collection,,,2.0,,1.0,6.0,2.0,6.0,7.0,6.0
Bin Repair/Replacement,10.0,30.0,64.0,53.0,31.0,38.0,26.0,34.0,19.0,33.0
Blocked Drains,265.0,402.0,497.0,859.0,602.0,1155.0,1337.0,1729.0,1847.0,1969.0
Bridge/Culvert Defects,32.0,28.0,51.0,84.0,71.0,107.0,112.0,113.0,110.0,104.0
Broken Fire Hydrant,,1.0,,,,,,,,
Broken Kerbs,9.0,23.0,24.0,47.0,34.0,70.0,69.0,112.0,126.0,184.0
Bus Stops Damage,66.0,123.0,105.0,229.0,103.0,100.0,129.0,114.0,142.0,147.0
C.C.T.V Faults,1.0,,,,,,,,,
Countryside RoW,,,,,,,1.0,,,
Dead Animals,8.0,82.0,107.0,121.0,145.0,136.0,155.0,110.0,166.0,105.0
Debris/Spillage,3.0,22.0,34.0,59.0,66.0,47.0,52.0,66.0,50.0,34.0
Demo,,2.0,,3.0,,1.0,,,,
Discarded Syringes,,4.0,3.0,3.0,6.0,1.0,1.0,3.0,,
Dog Fouling,250.0,383.0,349.0,400.0,387.0,375.0,330.0,336.0,253.0,223.0
Dog Litter Bin,1.0,,3.0,2.0,7.0,4.0,12.0,8.0,6.0,6.0
Environmental Health,1.0,5.0,1.0,26.0,3.0,19.0,5.0,4.0,5.0,8.0
Fallen/Dangerous Trees,258.0,423.0,530.0,618.0,664.0,872.0,1041.0,1138.0,1282.0,1558.0
Fences,2.0,2.0,3.0,4.0,6.0,3.0,4.0,5.0,3.0,
Flooding,96.0,164.0,249.0,468.0,365.0,423.0,525.0,451.0,398.0,146.0
Fly-tipping,6436.0,8162.0,9348.0,9116.0,8763.0,7794.0,4899.0,4180.0,3269.0,2433.0
Flyposting,97.0,116.0,121.0,102.0,147.0,143.0,128.0,154.0,167.0,177.0
Garden Waste,4.0,41.0,41.0,30.0,17.0,21.0,8.0,3.0,,
Gates/Stiles RoW,,,3.0,1.0,,7.0,10.0,35.0,25.0,4.0
General Highways Enquiries,73.0,92.0,122.0,159.0,102.0,130.0,157.0,135.0,130.0,92.0
Graffiti,332.0,692.0,805.0,978.0,865.0,678.0,719.0,780.0,605.0,455.0
Grass/Weed Control,19.0,69.0,107.0,154.0,149.0,385.0,458.0,503.0,636.0,886.0
Grids and Drains,8.0,5.0,7.0,3.0,7.0,6.0,2.0,16.0,14.0,
Grit Bins,16.0,22.0,28.0,37.0,20.0,40.0,42.0,31.0,32.0,67.0
Gritting,2.0,,,1.0,2.0,,2.0,,,
Grounds Maintenance,,,,,1.0,1.0,,,1.0,2.0
Gullies,147.0,164.0,115.0,150.0,93.0,150.0,139.0,141.0,164.0,144.0
Gully/Manhole Defects,28.0,23.0,31.0,48.0,61.0,71.0,80.0,87.0,92.0,48.0
Highway Condition,842.0,1112.0,1196.0,1386.0,1699.0,1938.0,1857.0,2068.0,1998.0,2161.0
Highway Drainage,,2.0,1.0,,2.0,4.0,18.0,5.0,5.0,12.0
Ice & Snow,,1.0,2.0,9.0,5.0,8.0,15.0,10.0,7.0,21.0
Leafing,1.0,9.0,18.0,39.0,47.0,60.0,58.0,41.0,6.0,6.0
Lewisham Homes,5.0,61.0,46.0,27.0,16.0,11.0,9.0,6.0,,
Litter/Litter Bin,21.0,262.0,227.0,372.0,254.0,532.0,328.0,534.0,367.0,406.0
Manhole Covers,81.0,117.0,172.0,252.0,179.0,204.0,256.0,273.0,241.0,207.0
Manhole Defects,,6.0,5.0,20.0,10.0,15.0,9.0,11.0,5.0,1.0
Missed Bin Collection,7.0,121.0,150.0,108.0,148.0,66.0,20.0,13.0,2.0,
Noise,,1.0,3.0,7.0,,,1.0,,,
Obstruction,372.0,489.0,580.0,1007.0,503.0,602.0,775.0,662.0,627.0,425.0
Open Spaces/Parks,391.0,699.0,578.0,664.0,612.0,442.0,675.0,671.0,680.0,617.0
Other,1737.0,2019.0,2331.0,2150.0,2125.0,2694.0,3100.0,3344.0,2769.0,2618.0
Overgrown Vegetation,234.0,416.0,475.0,761.0,692.0,859.0,1174.0,1446.0,1510.0,1681.0
Parking,707.0,840.0,783.0,902.0,812.0,791.0,743.0,809.0,808.0,738.0
Pavement /Footway Defects,1377.0,1612.0,1652.0,1883.0,1877.0,2109.0,2223.0,2521.0,2725.0,3509.0
Pest Control,,,1.0,,,1.0,,2.0,,
