SHEF_A,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Abandoned Vehicles,1997.0,1945.0,1982.0,1810.0,1706.0,1222.0,1310.0
Accumulated Litter,411.0,318.0,288.0,302.0,282.0,125.0,137.0
Barriers/Bollards on RoW,40.0,33.0,45.0,37.0,20.0,19.0,15.0
Benches/Bicycle Racks,11.0,14.0,7.0,6.0,9.0,5.0,1.0
Bin Collection,8.0,3.0,5.0,2.0,5.0,2.0,5.0
Bin Repair/Replacement,59.0,58.0,61.0,49.0,54.0,28.0,29.0
Blocked Drains,1921.0,2031.0,1663.0,2053.0,1660.0,607.0,729.0
Bridge/Culvert Defects,165.0,128.0,145.0,149.0,136.0,44.0,45.0
Broken Fire Hydrant,1.0,,,,,,
Broken Kerbs,129.0,141.0,126.0,129.0,102.0,37.0,34.0
Bus Stops Damage,232.0,193.0,204.0,180.0,141.0,162.0,146.0
C.C.T.V Faults,1.0,,,,,,
Countryside RoW,,,,,1.0,,
Dead Animals,233.0,198.0,177.0,185.0,139.0,104.0,99.0
Debris/Spillage,61.0,80.0,64.0,92.0,74.0,31.0,31.0
Demo,1.0,3.0,1.0,,,1.0,
Discarded Syringes,7.0,1.0,4.0,2.0,4.0,1.0,2.0
Dog Fouling,561.0,543.0,523.0,503.0,466.0,308.0,391.0
Dog Litter Bin,7.0,9.0,10.0,10.0,5.0,5.0,3.0
Environmental Health,16.0,9.0,14.0,17.0,11.0,4.0,6.0
Fallen/Dangerous Trees,1500.0,1468.0,1467.0,1304.0,1193.0,656.0,796.0
Fences,3.0,2.0,6.0,7.0,8.0,3.0,3.0
Flooding,412.0,689.0,418.0,738.0,617.0,220.0,191.0
Fly-tipping,11768.0,11034.0,9772.0,9131.0,8531.0,6618.0,7547.0
Flyposting,211.0,238.0,197.0,225.0,195.0,138.0,148.0
Garden Waste,22.0,21.0,30.0,24.0,28.0,24.0,16.0
Gates/Stiles RoW,17.0,16.0,15.0,15.0,10.0,5.0,7.0
General Highways Enquiries,229.0,223.0,204.0,192.0,160.0,81.0,104.0
Graffiti,1115.0,1177.0,1079.0,1039.0,836.0,762.0,901.0
Grass/Weed Control,577.0,650.0,633.0,557.0,489.0,242.0,218.0
Grids and Drains,16.0,12.0,8.0,9.0,7.0,6.0,10.0
Grit Bins,91.0,45.0,62.0,52.0,65.0,9.0,11.0
Gritting,3.0,,2.0,,1.0,,1.0
Grounds Maintenance,1.0,2.0,1.0,,1.0,,
Gullies,222.0,251.0,197.0,251.0,262.0,104.0,120.0
Gully/Manhole Defects,95.0,104.0,91.0,89.0,69.0,53.0,68.0
Highway Condition,2507.0,2704.0,2539.0,2411.0,2333.0,1840.0,1925.0
Highway Drainage,9.0,12.0,7.0,4.0,9.0,3.0,5.0
Ice & Snow,9.0,11.0,14.0,23.0,16.0,1.0,4.0
Leafing,53.0,49.0,42.0,43.0,30.0,24.0,44.0
Lewisham Homes,33.0,40.0,29.0,25.0,24.0,18.0,12.0
Litter/Litter Bin,698.0,625.0,477.0,416.0,386.0,312.0,389.0
Manhole Covers,352.0,394.0,360.0,361.0,305.0,116.0,94.0
Manhole Defects,5.0,14.0,22.0,10.0,16.0,5.0,10.0
Missed Bin Collection,104.0,125.0,110.0,134.0,98.0,41.0,23.0
Noise,,3.0,3.0,,1.0,2.0,3.0
Obstruction,1106.0,1146.0,1065.0,969.0,852.0,430.0,474.0
Open Spaces/Parks,1016.0,978.0,916.0,831.0,745.0,706.0,837.0
Other,4312.0,4428.0,4459.0,4056.0,3962.0,1770.0,1901.0
Overgrown Vegetation,1716.0,1738.0,1660.0,1584.0,1342.0,577.0,632.0
Parking,1249.0,1274.0,1181.0,1254.0,1136.0,901.0,940.0
Pavement /Footway Defects,3644.0,3756.0,3522.0,3368.0,3159.0,1965.0,2076.0
