SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,631.0,893.0,1148.0,1095.0,1323.0,1248.0,1403.0,1231.0,1361.0,1272.0
Accumulated Litter,152.0,61.0,85.0,88.0,267.0,128.0,205.0,220.0,382.0,275.0
Barriers/Bollards on RoW,9.0,7.0,6.0,17.0,20.0,10.0,26.0,40.0,48.0,26.0
Benches/Bicycle Racks,8.0,9.0,5.0,7.0,4.0,2.0,5.0,2.0,7.0,4.0
Bin Collection,2.0,1.0,6.0,,3.0,1.0,,8.0,6.0,3.0
Bin Repair/Replacement,12.0,15.0,24.0,32.0,56.0,43.0,69.0,28.0,31.0,28.0
Blocked Drains,507.0,673.0,720.0,940.0,916.0,1119.0,1558.0,1394.0,1600.0,1232.0
Bridge/Culvert Defects,46.0,86.0,55.0,88.0,78.0,93.0,79.0,110.0,103.0,74.0
Broken Fire Hydrant,,,1.0,,,,,,,
Broken Kerbs,45.0,44.0,36.0,52.0,52.0,55.0,71.0,77.0,122.0,144.0
Bus Stops Damage,98.0,79.0,106.0,200.0,96.0,86.0,119.0,108.0,109.0,124.0
C.C.T.V Faults,1.0,,,,,,,,,
Countryside RoW,,,,,1.0,,,,,
Dead Animals,21.0,76.0,62.0,116.0,143.0,115.0,133.0,152.0,198.0,119.0
Debris/Spillage,17.0,22.0,27.0,48.0,47.0,36.0,54.0,54.0,88.0,40.0
Demo,,2.0,2.0,1.0,,,,,1.0,
Discarded Syringes,,8.0,8.0,,2.0,1.0,1.0,1.0,,
Dog Fouling,169.0,275.0,323.0,290.0,312.0,297.0,325.0,242.0,216.0,251.0
Dog Litter Bin,,10.0,6.0,3.0,5.0,6.0,2.0,4.0,8.0,5.0
Environmental Health,12.0,7.0,8.0,4.0,8.0,,14.0,17.0,4.0,3.0
Fallen/Dangerous Trees,455.0,564.0,575.0,717.0,856.0,780.0,939.0,882.0,1018.0,1214.0
Fences,3.0,4.0,6.0,7.0,3.0,3.0,1.0,2.0,2.0,1.0
Flooding,217.0,240.0,292.0,368.0,284.0,380.0,447.0,410.0,341.0,306.0
Fly-tipping,3536.0,4960.0,5653.0,6518.0,7546.0,7231.0,8281.0,7031.0,6978.0,4412.0
Flyposting,98.0,147.0,90.0,133.0,128.0,137.0,104.0,154.0,156.0,147.0
Garden Waste,,3.0,17.0,33.0,30.0,28.0,23.0,14.0,12.0,5.0
Gates/Stiles RoW,,3.0,7.0,,11.0,7.0,13.0,19.0,21.0,4.0
General Highways Enquiries,138.0,87.0,78.0,82.0,86.0,97.0,123.0,108.0,172.0,221.0
Graffiti,260.0,312.0,486.0,601.0,750.0,668.0,987.0,816.0,826.0,1080.0
Grass/Weed Control,157.0,241.0,215.0,283.0,316.0,326.0,529.0,507.0,434.0,358.0
Grids and Drains,3.0,6.0,7.0,1.0,6.0,11.0,8.0,19.0,3.0,4.0
Grit Bins,39.0,23.0,21.0,34.0,39.0,27.0,44.0,41.0,35.0,32.0
Gritting,,1.0,,1.0,,2.0,1.0,2.0,,
Grounds Maintenance,1.0,,,,,,,2.0,2.0,
Gullies,212.0,201.0,117.0,173.0,84.0,70.0,94.0,133.0,125.0,198.0
Gully/Manhole Defects,39.0,34.0,41.0,39.0,51.0,42.0,81.0,48.0,88.0,106.0
Highway Condition,788.0,946.0,1192.0,1474.0,1558.0,1622.0,1892.0,2030.0,1593.0,1443.0
Highway Drainage,2.0,1.0,2.0,,8.0,5.0,14.0,6.0,8.0,3.0
Ice & Snow,5.0,6.0,2.0,2.0,4.0,10.0,9.0,12.0,15.0,13.0
Leafing,,2.0,,24.0,16.0,11.0,38.0,60.0,79.0,55.0
Lewisham Homes,,1.0,17.0,18.0,21.0,32.0,17.0,59.0,12.0,4.0
Litter/Litter Bin,194.0,111.0,120.0,176.0,332.0,301.0,555.0,540.0,578.0,396.0
Manhole Covers,206.0,151.0,181.0,270.0,198.0,171.0,249.0,223.0,203.0,130.0
