SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,865.0,1424.0,1482.0,1403.0,1452.0,1277.0,1269.0,1075.0,696.0,662.0
Accumulated Litter,24.0,123.0,277.0,248.0,218.0,288.0,238.0,201.0,128.0,118.0
Barriers/Bollards on RoW,11.0,14.0,32.0,33.0,24.0,17.0,29.0,25.0,5.0,19.0
Benches/Bicycle Racks,1.0,2.0,4.0,17.0,4.0,2.0,,4.0,7.0,12.0
Bin Collection,,3.0,3.0,1.0,4.0,2.0,1.0,3.0,7.0,6.0
Bin Repair/Replacement,25.0,30.0,63.0,35.0,61.0,51.0,35.0,21.0,3.0,14.0
Blocked Drains,354.0,494.0,627.0,660.0,775.0,865.0,1164.0,1414.0,1691.0,2615.0
Bridge/Culvert Defects,37.0,21.0,21.0,52.0,46.0,54.0,61.0,84.0,149.0,287.0
Broken Fire Hydrant,1.0,,,,,,,,,
Broken Kerbs,8.0,18.0,28.0,18.0,49.0,71.0,76.0,96.0,119.0,215.0
Bus Stops Damage,95.0,100.0,122.0,136.0,256.0,75.0,119.0,77.0,73.0,72.0
C.C.T.V Faults,1.0,,,,,,,,,
Countryside RoW,,,,,,,,1.0,,
Dead Animals,54.0,118.0,148.0,134.0,132.0,108.0,170.0,148.0,68.0,55.0
Debris/Spillage,15.0,42.0,68.0,53.0,44.0,36.0,53.0,50.0,44.0,28.0
Demo,,1.0,2.0,2.0,,1.0,,,,
Discarded Syringes,4.0,6.0,3.0,3.0,1.0,2.0,,2.0,,
Dog Fouling,244.0,336.0,393.0,278.0,357.0,265.0,271.0,173.0,171.0,212.0
Dog Litter Bin,1.0,3.0,2.0,3.0,8.0,5.0,5.0,11.0,8.0,3.0
Environmental Health,,3.0,32.0,16.0,9.0,6.0,4.0,3.0,1.0,3.0
Fallen/Dangerous Trees,296.0,498.0,665.0,611.0,780.0,825.0,809.0,1119.0,1067.0,1330.0
Fences,,1.0,3.0,1.0,4.0,6.0,4.0,7.0,5.0,1.0
Flooding,173.0,151.0,125.0,216.0,210.0,198.0,242.0,329.0,444.0,1197.0
Fly-tipping,7799.0,10749.0,10828.0,8043.0,8250.0,4991.0,4561.0,2840.0,2091.0,1994.0
Flyposting,133.0,103.0,151.0,111.0,131.0,121.0,117.0,136.0,139.0,152.0
Garden Waste,8.0,29.0,51.0,34.0,26.0,3.0,12.0,2.0,,
Gates/Stiles RoW,,,4.0,8.0,3.0,7.0,16.0,18.0,14.0,15.0
General Highways Enquiries,187.0,179.0,191.0,148.0,135.0,97.0,60.0,70.0,63.0,62.0
Graffiti,982.0,974.0,1003.0,852.0,910.0,577.0,587.0,453.0,281.0,167.0
Grass/Weed Control,59.0,121.0,189.0,172.0,244.0,300.0,330.0,428.0,611.0,912.0
Grids and Drains,9.0,11.0,2.0,4.0,4.0,16.0,9.0,9.0,4.0,
Grit Bins,34.0,18.0,28.0,15.0,29.0,22.0,38.0,46.0,41.0,64.0
