SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1771.0,2000.0,1882.0,1450.0,1266.0,905.0,810.0,588.0,595.0,338.0
Accumulated Litter,126.0,104.0,182.0,96.0,189.0,112.0,465.0,204.0,295.0,90.0
Barriers/Bollards on RoW,43.0,21.0,17.0,21.0,6.0,12.0,33.0,18.0,23.0,15.0
Benches/Bicycle Racks,4.0,7.0,8.0,8.0,8.0,5.0,1.0,3.0,8.0,1.0
Bin Collection,5.0,1.0,5.0,7.0,1.0,1.0,7.0,2.0,1.0,
Bin Repair/Replacement,27.0,57.0,52.0,41.0,37.0,10.0,46.0,19.0,39.0,10.0
Blocked Drains,1853.0,1232.0,1241.0,1229.0,1009.0,930.0,889.0,727.0,967.0,582.0
Bridge/Culvert Defects,243.0,133.0,98.0,52.0,50.0,55.0,39.0,43.0,58.0,41.0
Broken Fire Hydrant,,,,,,,1.0,,,
Broken Kerbs,98.0,66.0,75.0,82.0,66.0,73.0,76.0,61.0,65.0,36.0
Bus Stops Damage,106.0,272.0,113.0,117.0,103.0,87.0,106.0,66.0,100.0,55.0
C.C.T.V Faults,,1.0,,,,,,,,
Countryside RoW,,1.0,,,,,,,,
Dead Animals,204.0,159.0,149.0,165.0,131.0,85.0,120.0,50.0,56.0,16.0
Debris/Spillage,99.0,62.0,73.0,57.0,17.0,24.0,34.0,27.0,29.0,11.0
Demo,1.0,4.0,1.0,,,,,,,
Discarded Syringes,,5.0,3.0,3.0,2.0,3.0,4.0,1.0,,
Dog Fouling,246.0,312.0,362.0,329.0,241.0,238.0,258.0,269.0,212.0,233.0
Dog Litter Bin,3.0,4.0,5.0,1.0,1.0,6.0,8.0,9.0,3.0,9.0
Environmental Health,,1.0,4.0,,6.0,6.0,34.0,9.0,12.0,5.0
Fallen/Dangerous Trees,1243.0,1038.0,984.0,948.0,845.0,656.0,686.0,639.0,560.0,401.0
Fences,3.0,5.0,2.0,2.0,4.0,5.0,1.0,5.0,3.0,2.0
Flooding,830.0,402.0,428.0,331.0,252.0,293.0,183.0,192.0,189.0,185.0
Fly-tipping,16158.0,14712.0,9810.0,6866.0,4705.0,2674.0,2708.0,1711.0,1555.0,1247.0
Flyposting,206.0,176.0,180.0,167.0,106.0,126.0,93.0,106.0,79.0,55.0
Garden Waste,61.0,54.0,29.0,14.0,7.0,,,,,
Gates/Stiles RoW,20.0,18.0,13.0,3.0,4.0,4.0,5.0,1.0,2.0,15.0
General Highways Enquiries,199.0,206.0,234.0,180.0,125.0,108.0,38.0,55.0,23.0,24.0
Graffiti,931.0,1113.0,1212.0,1258.0,711.0,631.0,368.0,211.0,195.0,156.0
