SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,623.0,765.0,1145.0,1356.0,1414.0,1322.0,1531.0,1272.0,1232.0,945.0
Accumulated Litter,146.0,312.0,172.0,174.0,246.0,226.0,196.0,220.0,103.0,68.0
Barriers/Bollards on RoW,18.0,19.0,31.0,24.0,26.0,26.0,25.0,18.0,16.0,6.0
Benches/Bicycle Racks,9.0,19.0,3.0,6.0,6.0,1.0,4.0,3.0,1.0,1.0
Bin Collection,3.0,,6.0,2.0,,5.0,,4.0,5.0,5.0
Bin Repair/Replacement,38.0,47.0,51.0,46.0,32.0,37.0,44.0,23.0,16.0,4.0
Blocked Drains,1284.0,1428.0,1214.0,793.0,946.0,932.0,1192.0,1050.0,937.0,883.0
Bridge/Culvert Defects,135.0,148.0,78.0,86.0,55.0,51.0,77.0,58.0,65.0,59.0
Broken Fire Hydrant,,,,,,,,,1.0,
Broken Kerbs,48.0,61.0,50.0,51.0,34.0,59.0,68.0,96.0,110.0,121.0
Bus Stops Damage,81.0,85.0,76.0,113.0,113.0,244.0,124.0,136.0,95.0,58.0
C.C.T.V Faults,,,,1.0,,,,,,
Countryside RoW,,,,1.0,,,,,,
Dead Animals,76.0,90.0,130.0,128.0,173.0,180.0,129.0,113.0,69.0,47.0
Debris/Spillage,43.0,51.0,39.0,41.0,76.0,65.0,46.0,40.0,21.0,11.0
Demo,,,,,4.0,1.0,1.0,,,
Discarded Syringes,,,,,3.0,,6.0,3.0,6.0,3.0
Dog Fouling,348.0,301.0,316.0,308.0,289.0,263.0,270.0,212.0,205.0,188.0
Dog Litter Bin,2.0,3.0,9.0,5.0,7.0,8.0,5.0,3.0,4.0,3.0
Environmental Health,24.0,21.0,5.0,5.0,3.0,8.0,5.0,2.0,1.0,3.0
Fallen/Dangerous Trees,567.0,687.0,761.0,642.0,690.0,782.0,931.0,915.0,1032.0,993.0
Fences,2.0,2.0,7.0,5.0,1.0,8.0,,3.0,3.0,1.0
Flooding,566.0,622.0,413.0,343.0,333.0,267.0,193.0,183.0,159.0,206.0
Fly-tipping,5724.0,7503.0,9481.0,8267.0,8884.0,6264.0,5805.0,3832.0,3602.0,2784.0
Flyposting,122.0,147.0,126.0,138.0,115.0,133.0,99.0,128.0,133.0,153.0
Garden Waste,4.0,30.0,43.0,39.0,21.0,14.0,11.0,2.0,1.0,
Gates/Stiles RoW,13.0,17.0,19.0,9.0,9.0,3.0,6.0,4.0,,5.0
General Highways Enquiries,46.0,144.0,132.0,138.0,127.0,205.0,171.0,145.0,60.0,24.0
Graffiti,589.0,743.0,864.0,1232.0,850.0,651.0,716.0,439.0,457.0,245.0
Grass/Weed Control,239.0,252.0,269.0,273.0,260.0,282.0,450.0,438.0,478.0,425.0
Grids and Drains,4.0,13.0,10.0,16.0,5.0,5.0,5.0,2.0,,8.0
Grit Bins,37.0,53.0,37.0,19.0,37.0,39.0,33.0,33.0,26.0,21.0
Gritting,,1.0,1.0,,1.0,,2.0,1.0,1.0,
Grounds Maintenance,1.0,,,2.0,,,,,1.0,1.0
Gullies,86.0,337.0,240.0,197.0,101.0,137.0,147.0,98.0,46.0,18.0
Gully/Manhole Defects,44.0,90.0,85.0,102.0,65.0,44.0,41.0,44.0,28.0,26.0
Highway Condition,1740.0,1872.0,1695.0,1368.0,1363.0,1444.0,1460.0,1403.0,1174.0,1019.0
Highway Drainage,12.0,14.0,2.0,1.0,2.0,1.0,2.0,5.0,6.0,4.0
Ice & Snow,10.0,5.0,7.0,7.0,5.0,10.0,5.0,13.0,4.0,12.0
Leafing,9.0,3.0,47.0,58.0,63.0,40.0,22.0,25.0,16.0,2.0
Lewisham Homes,3.0,13.0,23.0,16.0,38.0,4.0,74.0,3.0,7.0,
Litter/Litter Bin,334.0,301.0,394.0,521.0,369.0,397.0,330.0,379.0,221.0,57.0
Manhole Covers,267.0,294.0,225.0,139.0,205.0,164.0,181.0,145.0,176.0,186.0
Manhole Defects,3.0,1.0,11.0,18.0,20.0,12.0,9.0,3.0,5.0,
Missed Bin Collection,17.0,102.0,142.0,120.0,134.0,30.0,59.0,22.0,9.0,
Noise,1.0,4.0,4.0,,3.0,,,,,
Obstruction,511.0,960.0,731.0,674.0,659.0,836.0,566.0,528.0,293.0,284.0
Open Spaces/Parks,270.0,409.0,536.0,648.0,645.0,711.0,763.0,642.0,575.0,481.0
Other,2333.0,3181.0,2682.0,2252.0,2399.0,2397.0,2476.0,2178.0,1940.0,1919.0
Overgrown Vegetation,591.0,820.0,673.0,788.0,1008.0,987.0,1204.0,1096.0,1137.0,944.0
Parking,620.0,794.0,792.0,779.0,860.0,690.0,794.0,721.0,670.0,546.0
Pavement /Footway Defects,1671.0,2127.0,2019.0,1964.0,1931.0,2105.0,2289.0,2093.0,2065.0,1981.0
Pest Control,,1.0,,,2.0,,1.0,,,
Phoenix HA,,1.0,3.0,9.0,16.0,,1.0,,,
Potholes,7939.0,7335.0,5317.0,4501.0,4395.0,4336.0,5358.0,5068.0,4868.0,5130.0
Property Damage,,1.0,1.0,,1.0,1.0,,2.0,5.0,1.0
Public Toilets,14.0,18.0,17.0,17.0,16.0,6.0,7.0,5.0,8.0,10.0
Recycling,7.0,15.0,20.0,5.0,19.0,6.0,12.0,9.0,5.0,
Retaining Wall,1.0,11.0,9.0,24.0,2.0,5.0,3.0,5.0,3.0,
Right of Way,511.0,227.0,154.0,119.0,98.0,95.0,65.0,81.0,71.0,90.0
Road Markings,469.0,591.0,444.0,363.0,335.0,362.0,432.0,503.0,576.0,602.0
Road Safety,43.0,77.0,19.0,23.0,25.0,16.0,14.0,10.0,20.0,26.0
Road Surface Defects,1089.0,1631.0,1235.0,1743.0,1571.0,1615.0,2072.0,1972.0,2380.0,1304.0
Road Works,137.0,123.0,95.0,77.0,89.0,60.0,69.0,79.0,39.0,78.0
Road/Pavement Defects,,2.0,36.0,30.0,37.0,115.0,48.0,21.0,16.0,1.0
Rubbish,864.0,1132.0,997.0,850.0,776.0,615.0,627.0,517.0,430.0,494.0
Salt Bins,12.0,9.0,14.0,12.0,6.0,14.0,15.0,14.0,35.0,28.0
Shopping Trolley,22.0,49.0,60.0,18.0,27.0,3.0,16.0,8.0,22.0,
Skips,1.0,1.0,,2.0,,1.0,1.0,,,1.0
Spillage on Road,21.0,34.0,36.0,18.0,45.0,31.0,26.0,19.0,16.0,20.0
Street Cleaning,731.0,1407.0,1632.0,2934.0,2406.0,1993.0,2476.0,2071.0,2018.0,764.0
Street Furniture,48.0,81.0,91.0,105.0,118.0,85.0,84.0,54.0,31.0,20.0
Street Lights,1830.0,2994.0,3029.0,2949.0,3162.0,3322.0,3951.0,4409.0,4806.0,5042.0
Street Name Plates,104.0,122.0,104.0,81.0,135.0,110.0,119.0,134.0,107.0,122.0
Street Signs,1039.0,1088.0,1341.0,1161.0,853.0,868.0,968.0,864.0,692.0,674.0
Trade Waste,6.0,18.0,15.0,20.0,22.0,2.0,5.0,4.0,5.0,
