SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,6.0,10.0,17.0,13.0,10.0,13.0,10.0,10.0,10.0,12.0
Bus Stops Damage,2.0,3.0,7.0,6.0,10.0,4.0,8.0,6.0,5.0,6.0
Dog Fouling,11.0,11.0,27.0,28.0,22.0,18.0,34.0,14.0,20.0,10.0
Fallen/Dangerous Trees,12.0,11.0,24.0,30.0,22.0,41.0,21.0,25.0,24.0,38.0
Fly-tipping,342.0,262.0,223.0,120.0,155.0,78.0,102.0,102.0,81.0,70.0
Flyposting,5.0,2.0,9.0,6.0,6.0,6.0,,2.0,1.0,5.0
Graffiti,5.0,5.0,8.0,1.0,1.0,6.0,3.0,2.0,,8.0
Highway Condition,33.0,57.0,58.0,58.0,66.0,79.0,74.0,106.0,110.0,121.0
Open Spaces/Parks,9.0,23.0,22.0,17.0,20.0,18.0,11.0,16.0,16.0,23.0
Other,48.0,58.0,59.0,50.0,43.0,62.0,39.0,65.0,48.0,57.0
Parking,25.0,40.0,39.0,35.0,27.0,31.0,26.0,29.0,29.0,34.0
Pavement /Footway Defects,34.0,51.0,102.0,43.0,47.0,65.0,59.0,48.0,59.0,89.0
Potholes,52.0,111.0,113.0,92.0,140.0,151.0,145.0,211.0,268.0,241.0
Public Toilets,,1.0,1.0,,,1.0,,1.0,,5.0
Rubbish,52.0,48.0,48.0,56.0,83.0,32.0,38.0,26.0,26.0,36.0
Street Cleaning,34.0,39.0,40.0,37.0,20.0,26.0,38.0,28.0,31.0,22.0
Street Lights,66.0,94.0,185.0,117.0,84.0,114.0,99.0,102.0,103.0,137.0
Street Name Plates,5.0,4.0,5.0,3.0,3.0,,3.0,2.0,2.0,5.0
Street Signs,5.0,13.0,12.0,9.0,23.0,15.0,15.0,23.0,13.0,18.0
Traffic Lights,7.0,8.0,9.0,3.0,6.0,15.0,5.0,8.0,5.0,12.0
