SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,584.0,856.0,1189.0,1271.0,1222.0,1286.0,1303.0,1269.0,1458.0,1167.0
Bin Replacement,11.0,8.0,29.0,34.0,41.0,38.0,84.0,34.0,65.0,43.0
Bridge/Culvert Defects,42.0,44.0,74.0,87.0,65.0,87.0,94.0,114.0,121.0,84.0
Bus Stops Damage,83.0,67.0,92.0,92.0,221.0,91.0,101.0,97.0,139.0,142.0
Dog Fouling,142.0,240.0,283.0,285.0,353.0,267.0,285.0,277.0,309.0,259.0
Drainage,998.0,986.0,1294.0,1781.0,1365.0,1795.0,2345.0,2300.0,2690.0,2547.0
Environmental Health,24.0,48.0,105.0,146.0,159.0,173.0,168.0,110.0,133.0,150.0
Fences,3.0,,8.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0
Gritting,31.0,29.0,39.0,47.0,39.0,66.0,47.0,68.0,102.0,111.0
Grounds Maintenance,61.0,61.0,113.0,70.0,59.0,72.0,160.0,77.0,149.0,105.0
Highways Enquiries,797.0,822.0,1154.0,1351.0,1501.0,1601.0,2012.0,2261.0,2141.0,2000.0
Incivilities,323.0,422.0,492.0,669.0,716.0,823.0,926.0,1086.0,1616.0,1204.0
Open Spaces/Parks,295.0,445.0,486.0,525.0,614.0,727.0,616.0,671.0,854.0,447.0
Other,1804.0,2194.0,2529.0,2540.0,2168.0,2250.0,2917.0,2819.0,3192.0,2261.0
Overgrown/Fallen Veg/Trees,945.0,1091.0,1356.0,1658.0,1716.0,2165.0,2541.0,2664.0,3320.0,2922.0
Parking,620.0,691.0,775.0,721.0,801.0,752.0,688.0,772.0,785.0,661.0
Pavement /Footway Defects,993.0,1134.0,1282.0,1407.0,1323.0,1242.0,1602.0,1614.0,1771.0,2088.0
Property Damage,1.0,,1.0,4.0,1.0,1.0,,1.0,3.0,
Public Toilets,5.0,3.0,5.0,8.0,13.0,16.0,18.0,11.0,17.0,22.0
Retaining Wall,3.0,8.0,5.0,10.0,9.0,6.0,7.0,3.0,5.0,7.0
Right of Way,746.0,656.0,993.0,1199.0,1290.0,1144.0,1218.0,974.0,1235.0,1043.0
Road Safety,856.0,1087.0,1335.0,1656.0,1464.0,1927.0,2210.0,2312.0,3110.0,2456.0
Road Surface Defects,3352.0,4084.0,5201.0,5956.0,5799.0,7517.0,9535.0,9989.0,12573.0,11422.0
Rubbish,5984.0,6179.0,7899.0,8558.0,7616.0,9563.0,11785.0,10259.0,9749.0,7492.0
Street Furniture,154.0,771.0,964.0,997.0,1104.0,998.0,1175.0,2212.0,2613.0,1907.0
Street Lights,2618.0,2471.0,2923.0,3536.0,3163.0,3486.0,4186.0,3746.0,4517.0,4848.0
Utility Works,43.0,48.0,53.0,79.0,45.0,31.0,38.0,43.0,32.0,47.0
