SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1866.0,2144.0,2134.0,1509.0,880.0,768.0,628.0,505.0,577.0,594.0
Bridge/Culvert Defects,4.0,35.0,87.0,77.0,81.0,54.0,100.0,112.0,122.0,140.0
Bus Stops Damage,116.0,146.0,285.0,112.0,60.0,70.0,74.0,73.0,80.0,109.0
Dog Fouling,563.0,319.0,248.0,186.0,234.0,222.0,223.0,192.0,236.0,277.0
Environmental Health,179.0,222.0,191.0,115.0,92.0,71.0,42.0,61.0,79.0,164.0
Fences,,3.0,2.0,2.0,11.0,5.0,3.0,3.0,3.0,
Gritting,7.0,14.0,25.0,27.0,57.0,69.0,79.0,81.0,108.0,112.0
Grounds Maintenance,52.0,89.0,65.0,81.0,115.0,74.0,152.0,139.0,95.0,65.0
Open Spaces/Parks,685.0,1029.0,1130.0,900.0,426.0,347.0,296.0,288.0,319.0,260.0
Other,2420.0,2445.0,2658.0,2407.0,2191.0,2167.0,2386.0,2461.0,2402.0,3137.0
Parking,833.0,1140.0,1071.0,854.0,717.0,699.0,578.0,536.0,466.0,372.0
Pavement /Footway Defects,1864.0,1792.0,1719.0,1476.0,1382.0,1423.0,1481.0,1320.0,1155.0,844.0
Property Damage,,,,,3.0,2.0,2.0,3.0,2.0,
Public Toilets,18.0,11.0,9.0,11.0,10.0,9.0,11.0,16.0,13.0,10.0
Retaining Wall,,2.0,11.0,16.0,12.0,8.0,7.0,5.0,1.0,1.0
Right of Way,526.0,751.0,1296.0,1335.0,1105.0,1087.0,1036.0,1114.0,1137.0,1111.0
Road Safety,1987.0,1573.0,1717.0,1441.0,1760.0,1601.0,1857.0,2247.0,2193.0,2037.0
Road Surface Defects,2622.0,5478.0,8252.0,7442.0,7114.0,6334.0,8225.0,9491.0,10216.0,10254.0
Rubbish,30603.0,17582.0,7882.0,5120.0,4231.0,3865.0,3543.0,3611.0,4423.0,4224.0
Street Furniture,1139.0,4122.0,3991.0,2031.0,647.0,304.0,227.0,142.0,170.0,122.0
Street Lights,2180.0,2947.0,3931.0,3545.0,3625.0,3140.0,4177.0,4528.0,4026.0,3395.0
Utility Works,19.0,36.0,51.0,79.0,90.0,74.0,50.0,31.0,24.0,5.0
